recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_clinica
R0001;P001;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0002;P001;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0003;P001;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0004;P001;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0005;P001;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0006;P001;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0007;P001;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0008;P001;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0009;P001;T003;TA008;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0010;P001;T003;TA017;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0011;P001;T004;TA009;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0012;P001;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0013;P001;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0014;P001;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0015;P001;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0016;P001;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0017;P001;T006;TA011;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0018;P001;T014;TA010;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0026;P002;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0027;P002;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0028;P002;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0029;P002;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0030;P002;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0031;P002;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0032;P002;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0033;P002;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0034;P002;T003;TA008;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0035;P002;T003;TA017;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0036;P002;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0037;P002;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0038;P002;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0039;P002;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0040;P002;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0041;P002;T008;TA015;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0042;P002;T015;TA059;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0043;P002;T020;TA057;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0047;P003;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0048;P003;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0049;P003;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0050;P003;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0051;P003;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0052;P003;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0053;P003;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0054;P003;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0055;P003;T003;TA008;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0056;P003;T003;TA017;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0057;P003;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0058;P003;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0059;P003;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0060;P003;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0061;P003;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0062;P003;T007;TA012;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0063;P003;T007;TA013;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0064;P003;T007;TA014;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0071;P004;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0072;P004;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0073;P004;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0074;P004;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0075;P004;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0076;P004;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0077;P004;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0078;P004;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0079;P004;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0080;P004;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0081;P004;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0082;P004;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0083;P004;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0084;P004;T007;TA012;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0085;P004;T007;TA013;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0086;P004;T007;TA014;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0087;P004;T007;TA053;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0088;P004;T016;TA034;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0100;P005;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0101;P005;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0102;P005;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0103;P005;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0104;P005;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0105;P005;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0106;P005;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0107;P005;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0108;P005;T007;TA012;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0109;P005;T007;TA013;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0110;P005;T007;TA014;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0111;P005;T007;TA053;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0112;P005;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0113;P005;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0114;P005;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0115;P005;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0116;P005;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0117;P005;T020;TA057;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0121;P006;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0122;P006;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0123;P006;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0124;P006;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0125;P006;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0126;P006;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0127;P006;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0128;P006;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0129;P006;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0130;P006;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0131;P006;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0132;P006;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0133;P006;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0134;P006;T007;TA012;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0135;P006;T007;TA013;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0136;P006;T007;TA014;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0137;P006;T007;TA053;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0138;P006;T014;TA010;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0146;P007;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0147;P007;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0148;P007;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0149;P007;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0150;P007;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0151;P007;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
