tecnica_id;nombre;descripcion;nivel_riesgo;tipo_intervencion;fuente_ids
FIS2_T001;Entrevista y anamnesis fisioterapéutica;Recoger motivo, historia, evolución, función, salud, medicación, actividad y objetivos.;bajo;evaluación;"FIS2_SRC003;FIS2_SRC004"
FIS2_T002;Cribado de banderas rojas;Detectar signos de derivación urgente/preferente y límites de intervención.;alto;seguridad;"FIS2_SRC003;FIS2_SRC006"
FIS2_T003;Evaluación funcional por objetivos;Medir tareas relevantes: marcha, escaleras, levantarse, cargar, deporte, trabajo.;bajo;evaluación;"FIS2_SRC001;FIS2_SRC004"
FIS2_T004;Medición de dolor y función;Usar escalas, cuestionarios y tests de función para seguimiento.;bajo;evaluación;"FIS2_SRC003;FIS2_SRC004"
FIS2_T005;Educación sobre dolor y pronóstico;Explicar dolor, recuperación, carga, señales de alarma y autocuidado.;bajo;educación;"FIS2_SRC006;FIS2_SRC007"
FIS2_T006;Actividad gradual;Reintroducir actividad aumentando dosis según tolerancia.;bajo;educación/ejercicio;"FIS2_SRC001;FIS2_SRC006"
FIS2_T007;Pacing y dosificación;Regular actividad para evitar ciclos de sobrecarga-reposo excesivo.;bajo;dolor_persistente;"FIS2_SRC006;FIS2_SRC007"
FIS2_T008;Ejercicio terapéutico individualizado;Prescribir fuerza, movilidad, control motor o cardio según evaluación.;bajo;ejercicio;"FIS2_SRC005;FIS2_SRC003"
FIS2_T009;Movilidad articular activa;Ejercicios activos para recuperar rango y confianza.;bajo;movilidad;"FIS2_SRC005;FIS2_SRC018"
FIS2_T010;Movilización manual / terapia manual;Técnicas manuales como complemento al ejercicio y educación cuando proceda.;medio;manual;"FIS2_SRC006;FIS2_SRC011"
FIS2_T011;Control motor cervical;Trabajo de flexores profundos, coordinación y posicionamiento cervical.;bajo;control_motor;FIS2_SRC011
FIS2_T012;Movilidad cervical graduada;Movimientos cervicales suaves y progresivos en rangos tolerados.;bajo;movilidad;FIS2_SRC011
FIS2_T013;Movilidad torácica;Extensión, rotación y movilidad costovertebral progresiva.;bajo;movilidad;"FIS2_SRC002;FIS2_SRC016"
FIS2_T014;Ejercicios respiratorios básicos;Respiración diafragmática/costal, control ventilatorio y expansión torácica.;medio;respiratoria;"FIS2_SRC001;FIS2_SRC018"
FIS2_T015;Control lumbo-pélvico;Ejercicios de estabilidad y coordinación de pelvis/columna.;medio;control_motor;"FIS2_SRC007;FIS2_SRC016"
FIS2_T016;Fortalecimiento de core;Trabajo anti-extensión, anti-rotación, resistencia y estabilidad.;bajo;fuerza;"FIS2_SRC007;FIS2_SRC005"
FIS2_T017;Higiene de carga lumbar;Estrategias de manejo de carga, variación postural y exposición gradual.;bajo;educación;"FIS2_SRC006;FIS2_SRC007"
FIS2_T018;Neurodinamia dosificada;Movilización neural suave cuando procede y no irritativa.;medio;neural;FIS2_SRC006
FIS2_T019;Fortalecimiento escapular;Trabajo de serrato, trapecio, romboides y control escapular.;bajo;fuerza/control;"FIS2_SRC012;FIS2_SRC016"
FIS2_T020;Fortalecimiento manguito rotador;Rotaciones, elevaciones y progresiones de estabilidad de hombro.;medio;fuerza;FIS2_SRC012
FIS2_T021;Movilidad de hombro graduada;Movilidad asistida/activa y progresiones de rango.;medio;movilidad;FIS2_SRC012
FIS2_T022;Progresión de carga de hombro;Subir carga de hombro gradualmente según tolerancia.;medio;ejercicio;FIS2_SRC012
FIS2_T023;Fortalecimiento de agarre y antebrazo;Carga progresiva de muñeca, codo, agarre y antebrazo.;medio;fuerza;FIS2_SRC002
FIS2_T024;Carga progresiva tendinosa;Gestionar carga, dolor aceptable y progresión para tendón.;medio;tendón;"FIS2_SRC013;FIS2_SRC014"
FIS2_T025;Isométricos analgésicos/tolerancia;Contracciones isométricas dosificadas según dolor y objetivo.;medio;tendón/fuerza;FIS2_SRC013
FIS2_T026;Fortalecimiento excéntrico-concéntrico;Progresión de fuerza con fases controladas para tendón/músculo.;medio;fuerza;FIS2_SRC013
FIS2_T027;Fortalecimiento de glúteos;Progresiones de glúteo medio/mayor y control pélvico.;bajo;fuerza;FIS2_SRC016
FIS2_T028;Movilidad de cadera;Movimientos activos de flexión, extensión, rotación y abducción.;bajo;movilidad;FIS2_SRC016
FIS2_T029;Control de valgo de rodilla;Trabajo de alineación, fuerza de cadera/pie y feedback.;medio;control_motor;"FIS2_SRC014;FIS2_SRC016"
FIS2_T030;Fortalecimiento de cuádriceps;Progresiones de extensión, sentadilla, prensa, step o isométricos.;medio;fuerza;"FIS2_SRC014;FIS2_SRC008"
FIS2_T031;Fortalecimiento de isquiosurales;Bisagra, curl, puente y progresiones de fuerza posterior.;bajo;fuerza;FIS2_SRC016
FIS2_T032;Movilidad de rodilla;Trabajo de flexión/extensión según tolerancia y fase.;medio;movilidad;FIS2_SRC008
FIS2_T033;Propiocepción de tobillo;Equilibrio, superficies, perturbaciones y control del tobillo.;medio;propiocepción;FIS2_SRC002
FIS2_T034;Movilidad de tobillo;Dorsiflexión, movilidad talocrural y control de rango.;bajo;movilidad;FIS2_SRC016
FIS2_T035;Fortalecimiento de tríceps sural;Elevaciones de talón, sóleo/gemelo y progresión de carga.;medio;fuerza/tendón;FIS2_SRC013
FIS2_T036;Trabajo intrínsecos del pie;Ejercicios de control del arco, dedos y pie.;bajo;fuerza/control;FIS2_SRC015
FIS2_T037;Reeducación de la marcha;Trabajo de patrón, apoyo, cadencia, simetría y seguridad.;medio;funcional;"FIS2_SRC001;FIS2_SRC009"
FIS2_T038;Retorno progresivo a carrera;Alternar caminar/correr y progresar volumen/intensidad según tolerancia.;medio;readaptación;"FIS2_SRC005;FIS2_SRC017"
