tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
TO_TA001;Perfil ocupacional inicial;Formulario de roles, rutinas, prioridades, dificultades y objetivos.;Definir punto de partida.;bajo;30 min;TO_T001
TO_TA002;Registro de actividades de 3 días;Registrar actividades, ayuda necesaria, fatiga, dolor, satisfacción y barreras.;Identificar patrones.;bajo;3 días;TO_T001
TO_TA003;Lista de prioridades ocupacionales;Elegir 3 actividades importantes que quiere/necesita mejorar.;Orientar objetivos.;bajo;15 min;TO_T001
TO_TA004;Análisis de actividad problemática;Descomponer actividad en pasos, demandas y puntos de dificultad.;Planificar intervención.;bajo;20 min;TO_T002
TO_TA005;Practicar vestido por pasos;Entrenar vestido con secuencia, ayudas o adaptación acordada.;Mejorar autonomía en vestido.;medio;10-15 min/día;TO_T003
TO_TA006;Entrenamiento de botones/cremallera;Practicar cierres con ropa real o material adaptado.;Mejorar destreza aplicada.;bajo;10 min/día;TO_T003
TO_TA007;Rutina de baño segura;Aplicar pasos y ayudas para ducha/baño seguro.;Mejorar seguridad e independencia.;alto;supervisado;TO_T003
TO_TA008;Entrenamiento de higiene oral/aseo;Practicar secuencia de aseo con apoyo visual o adaptación.;Aumentar independencia.;bajo;diario;TO_T003
TO_TA009;Uso de cubiertos adaptado;Practicar agarre, corte, llevar alimento o utensilios adaptados.;Mejorar alimentación funcional.;medio;10 min/día;TO_T003
TO_TA010;Secuencia WC segura;Practicar transferencia, ropa e higiene con ayudas necesarias.;Mejorar seguridad.;alto;supervisado;TO_T003
TO_TA011;Preparar comida simple;Preparar receta sencilla con pasos escritos y entorno seguro.;Mejorar cocina funcional.;medio;1-2 veces/semana;TO_T004
TO_TA012;Lista de compra funcional;Crear lista, organizar por secciones y practicar compra real/simulada.;Mejorar compras.;bajo;semanal;TO_T004
TO_TA013;Organizador de medicación;Usar pastillero, alarma o lista según pauta médica indicada.;Reducir olvidos.;alto;supervisado;TO_T004
TO_TA014;Rutina de lavandería graduada;Separar, lavar, tender/doblar con pasos adaptados.;Mejorar hogar.;bajo;semanal;TO_T004
TO_TA015;Plan de transporte seguro;Planificar ruta, horarios, referencias y alternativa de ayuda.;Mejorar movilidad comunitaria.;medio;30 min;TO_T004
TO_TA016;Modificar método de tarea;Probar forma alternativa de realizar actividad difícil.;Reducir barrera.;bajo;1 semana;TO_T005
TO_TA017;Dividir tarea en subtareas;Separar actividad compleja en pasos pequeños y visibles.;Facilitar finalización.;bajo;1 semana;TO_T005
TO_TA018;Aumentar dificultad progresiva;Añadir duración, precisión o menos ayuda gradualmente.;Progresar desempeño.;bajo;2 semanas;TO_T006
TO_TA019;Entrenar uso de ayuda técnica;Practicar uso de calzador, pinza, cubiertos adaptados u otra ayuda.;Mejorar autonomía.;medio;10 min/día;TO_T007
TO_TA020;Checklist de baño seguro;Revisar alfombrillas, barras, silla, iluminación, altura y acceso.;Reducir riesgo.;alto;30 min;TO_T008
TO_TA021;Reorganizar cocina por seguridad;Colocar objetos frecuentes a altura segura y reducir riesgos.;Mejorar acceso.;medio;30-60 min;TO_T008
TO_TA022;Retirar riesgos de caída;Identificar alfombras, cables, iluminación, calzado y obstáculos.;Reducir riesgo ambiental.;alto;30 min;TO_T009
TO_TA023;Plan de prevención de caídas;Definir estrategias en baño, noche, cocina, escaleras y exterior.;Aumentar seguridad.;alto;30 min;TO_T009
TO_TA024;Practicar transferencia cama-silla;Entrenar transferencia con técnica y ayuda indicada.;Mejorar seguridad.;alto;supervisado;TO_T010
TO_TA025;Practicar transferencia baño/WC;Entrenar transferencia específica con productos de apoyo si procede.;Mejorar seguridad.;alto;supervisado;TO_T010
TO_TA026;Plan de descansos programados;Programar pausas antes de fatiga intensa.;Mejorar tolerancia.;bajo;7 días;TO_T011
TO_TA027;Priorizar actividades del día;Clasificar actividades en imprescindibles, importantes y opcionales.;Conservar energía.;bajo;diario;TO_T011
TO_TA028;Alternar actividad-descanso;Organizar bloques de actividad y descanso según tolerancia.;Mejorar pacing.;bajo;7 días;TO_T011
TO_TA029;Educación en autogestión;Repasar pauta sobre síntomas, actividad, descanso y seguridad.;Aumentar autonomía.;bajo;15 min;TO_T012
TO_TA030;Plan personal de seguridad;Anotar señales de riesgo, contactos y pasos ante problema.;Aumentar seguridad.;alto;30 min;TO_T012
TO_TA031;Alcance funcional en actividad real;Practicar alcanzar objetos en armario, mesa o estantería.;Mejorar uso de brazo.;medio;10 min/día;TO_T013
TO_TA032;Práctica de agarre/pinza funcional;Usar pinzas, monedas, botones, tapas o utensilios.;Mejorar destreza.;bajo;10 min/día;TO_T014
TO_TA033;Coordinación bimanual en tarea real;Abrir recipientes, doblar ropa o preparar comida con ambas manos.;Mejorar bimanualidad.;bajo;10-15 min/día;TO_T014
TO_TA034;Escritura funcional graduada;Practicar firma, lista breve, formulario o notas.;Mejorar escritura útil.;bajo;10 min/día;TO_T014
TO_TA035;Lista visual de pasos;Crear lista/pictograma para actividad concreta.;Apoyar secuenciación.;bajo;20 min;TO_T015
TO_TA036;Entrenamiento con alarma/agenda;Usar alarma, calendario o app para recordar actividad clave.;Compensar memoria.;bajo;7 días;TO_T016
TO_TA037;Etiquetado del entorno;Colocar etiquetas visuales en armarios, medicación o materiales.;Facilitar orientación.;bajo;30 min;TO_T016
TO_TA038;Rutina diaria visual;Diseñar horario visual o lista diaria de actividades.;Estructurar día.;bajo;7 días;TO_T017
TO_TA039;Rutina de mañana/noche;Practicar secuencia estable para levantarse o acostarse.;Mejorar hábito.;bajo;7 días;TO_T017
TO_TA040;Actividad significativa en demencia;Programar actividad familiar/placentera adaptada.;Mantener participación.;medio;3 veces/semana;TO_T018
TO_TA041;Caja de orientación personal;Preparar fotos, objetos, calendario y notas de orientación.;Apoyar identidad.;bajo;30-60 min;TO_T018
TO_TA042;Pauta al cuidador para ayuda graduada;Entrenar dar solo la ayuda necesaria, esperar y guiar.;Mantener autonomía.;medio;20 min;TO_T019
TO_TA043;Plan de autocuidado del cuidador;Programar descanso, apoyo y señales de sobrecarga.;Reducir sobrecarga.;medio;semanal;TO_T019
TO_TA044;Exploración visual hacia lado afectado;Practicar búsqueda visual de objetos hacia lado inatendido.;Aumentar atención.;alto;supervisado;TO_T021
TO_TA045;Guía verbal para secuencia de tarea;Usar instrucciones breves durante actividad compleja.;Apoyar apraxia.;medio;supervisado;TO_T021
TO_TA046;Retomar actividad post-ictus prioritaria;Seleccionar actividad importante y practicarla por pasos.;Mejorar reintegración.;alto;supervisado;TO_T020
TO_TA047;Juego de motricidad fina;Ensartar, pinzas, plastilina, construcciones o recorte.;Mejorar motricidad fina.;bajo;10-15 min/día;TO_T022
TO_TA048;Juego simbólico guiado;Practicar juego de roles con turnos y secuencia sencilla.;Favorecer juego.;bajo;15 min;TO_T022
TO_TA049;Rutina sensorial reguladora;Aplicar actividades sensoriales acordadas antes de tarea difícil.;Mejorar regulación.;medio;diario;TO_T023
TO_TA050;Diario sensorial;Registrar estímulos, reacción, duración y estrategias útiles.;Identificar patrón.;medio;7 días;TO_T023
TO_TA051;Adaptación escolar de material;Revisar agarres, tijeras, papel, postura, tiempos y organización.;Mejorar participación escolar.;bajo;30 min;TO_T024
TO_TA052;Organizador de mochila/material;Crear sistema visual para preparar mochila o materiales.;Mejorar autonomía escolar.;bajo;semanal;TO_T024
TO_TA053;Análisis ergonómico de puesto;Revisar silla, mesa, pantalla, alcance, iluminación y pausas.;Mejorar ergonomía.;bajo;30 min;TO_T025
TO_TA054;Plan gradual de retorno al trabajo;Definir tareas, tiempos, descansos y adaptación progresiva.;Facilitar retorno laboral.;medio;2-4 semanas;TO_T025
TO_TA055;Agenda de actividades significativas;Programar actividades agradables o con sentido.;Aumentar participación.;bajo;semanal;TO_T026
TO_TA056;Actividad de ocio adaptada;Modificar un ocio previo para hacerlo posible.;Recuperar ocio.;bajo;1 semana;TO_T026
TO_TA057;Salida comunitaria planificada;Planificar y realizar salida breve con apoyos y seguridad.;Aumentar participación.;medio;1 vez/semana;TO_T027
TO_TA058;Mapa de red de apoyo;Identificar personas, recursos y actividades comunitarias.;Mejorar participación social.;bajo;30 min;TO_T027
TO_TA059;Resumen para otro profesional;Preparar informe breve de objetivos, barreras, apoyos y evolución.;Facilitar coordinación.;medio;20 min;TO_T028
TO_TA060;Reunión familia/escuela/cuidador;Definir pautas compartidas y responsabilidades.;Alinear intervención.;medio;30-45 min;TO_T028
TO_TA061;Escala de desempeño percibido 0-10;Valorar dificultad, satisfacción y ayuda necesaria en actividad objetivo.;Medir evolución.;bajo;semanal;TO_T029
TO_TA062;Registro de independencia;Registrar ayuda: independiente, supervisión, mínima, moderada, máxima.;Medir autonomía.;bajo;semanal;TO_T029
