problema_id;tecnica_id
NUT2_P001;NUT2_T001
NUT2_P001;NUT2_T002
NUT2_P001;NUT2_T003
NUT2_P001;NUT2_T004
NUT2_P001;NUT2_T005
NUT2_P001;NUT2_T006
NUT2_P001;NUT2_T007
NUT2_P001;NUT2_T008
NUT2_P001;NUT2_T052
NUT2_P001;NUT2_T053
NUT2_P002;NUT2_T001
NUT2_P002;NUT2_T002
NUT2_P002;NUT2_T003
NUT2_P002;NUT2_T004
NUT2_P002;NUT2_T005
NUT2_P002;NUT2_T006
NUT2_P002;NUT2_T007
NUT2_P002;NUT2_T008
NUT2_P002;NUT2_T052
NUT2_P002;NUT2_T053
NUT2_P003;NUT2_T001
NUT2_P003;NUT2_T002
NUT2_P003;NUT2_T003
NUT2_P003;NUT2_T004
NUT2_P003;NUT2_T005
NUT2_P003;NUT2_T006
NUT2_P003;NUT2_T007
NUT2_P003;NUT2_T008
NUT2_P003;NUT2_T052
NUT2_P003;NUT2_T053
NUT2_P004;NUT2_T001
NUT2_P004;NUT2_T002
NUT2_P004;NUT2_T003
NUT2_P004;NUT2_T004
NUT2_P004;NUT2_T005
NUT2_P004;NUT2_T006
NUT2_P004;NUT2_T007
NUT2_P004;NUT2_T008
NUT2_P004;NUT2_T052
NUT2_P004;NUT2_T053
NUT2_P005;NUT2_T001
NUT2_P005;NUT2_T002
NUT2_P005;NUT2_T003
NUT2_P005;NUT2_T004
NUT2_P005;NUT2_T005
NUT2_P005;NUT2_T006
NUT2_P005;NUT2_T007
NUT2_P005;NUT2_T008
NUT2_P005;NUT2_T052
NUT2_P005;NUT2_T053
NUT2_P006;NUT2_T001
NUT2_P006;NUT2_T002
NUT2_P006;NUT2_T003
NUT2_P006;NUT2_T004
NUT2_P006;NUT2_T005
NUT2_P006;NUT2_T006
NUT2_P006;NUT2_T007
NUT2_P006;NUT2_T008
NUT2_P006;NUT2_T052
NUT2_P006;NUT2_T053
NUT2_P007;NUT2_T001
NUT2_P007;NUT2_T002
NUT2_P007;NUT2_T003
NUT2_P007;NUT2_T004
NUT2_P007;NUT2_T005
NUT2_P007;NUT2_T006
NUT2_P007;NUT2_T007
NUT2_P007;NUT2_T008
NUT2_P007;NUT2_T052
NUT2_P007;NUT2_T053
NUT2_P008;NUT2_T013
NUT2_P008;NUT2_T014
NUT2_P008;NUT2_T015
