problema_id;area_id;nombre;descripcion;poblacion;tipo_intervencion;nivel_riesgo;fuente_ids
FIS2_P001;FIS2_A001;Valoración funcional inicial;Necesidad de evaluar dolor, movilidad, fuerza, función, objetivos y riesgos.;general;evaluación;bajo;"FIS2_SRC003;FIS2_SRC004"
FIS2_P002;FIS2_A001;Banderas rojas musculoesqueléticas;Síntomas o signos que requieren derivación médica urgente o preferente.;general;seguridad;alto;"FIS2_SRC003;FIS2_SRC006"
FIS2_P003;FIS2_A001;Dolor agudo no explicado;Dolor intenso, progresivo o no relacionado con carga que requiere criterio profesional.;general;seguridad;alto;"FIS2_SRC003;FIS2_SRC018"
FIS2_P004;FIS2_A001;Limitación funcional no específica;Dificultad para tareas cotidianas sin diagnóstico claro inicial.;general;evaluación;medio;"FIS2_SRC001;FIS2_SRC002"
FIS2_P005;FIS2_A001;Miedo al movimiento;Evitación de actividad por miedo a daño o empeoramiento.;general;educación;medio;"FIS2_SRC001;FIS2_SRC006"
FIS2_P006;FIS2_A002;Cervicalgia mecánica;Dolor cervical asociado a movimiento, postura, carga o tensión muscular.;adultos;musculoesquelética;medio;FIS2_SRC011
FIS2_P007;FIS2_A002;Rigidez cervical;Pérdida de rango cervical con molestias o limitación funcional.;adultos;movilidad;bajo;FIS2_SRC011
FIS2_P008;FIS2_A002;Cefalea cervicogénica referida;Cefalea relacionada con cuello que requiere valoración diferencial.;adultos;seguridad;medio;FIS2_SRC011
FIS2_P009;FIS2_A002;Dolor cervical con trabajo de pantalla;Molestias cervicales asociadas a sedentarismo, pantalla o pausas insuficientes.;adultos;ergonomía;bajo;"FIS2_SRC011;FIS2_SRC017"
FIS2_P010;FIS2_A002;Control motor cervical bajo;Dificultad para controlar posición cervical y musculatura profunda.;adultos;control_motor;bajo;FIS2_SRC011
FIS2_P011;FIS2_A003;Dorsalgia mecánica;Dolor dorsal asociado a movilidad, postura, respiración o carga.;adultos;musculoesquelética;bajo;"FIS2_SRC002;FIS2_SRC018"
FIS2_P012;FIS2_A003;Rigidez torácica;Limitación de extensión/rotación dorsal que afecta hombro, cuello o respiración.;adultos;movilidad;bajo;"FIS2_SRC002;FIS2_SRC016"
FIS2_P013;FIS2_A003;Movilidad costal reducida;Dificultad de expansión torácica o rigidez en caja torácica.;adultos;respiratoria/movilidad;medio;"FIS2_SRC014;FIS2_SRC018"
FIS2_P014;FIS2_A003;Control postural torácico bajo;Dificultad para sostener postura o variar posiciones sin fatiga.;adultos;control_motor;bajo;"FIS2_SRC017;FIS2_SRC018"
FIS2_P015;FIS2_A004;Lumbalgia aguda/subaguda;Dolor lumbar reciente sin señales de alarma, con limitación funcional variable.;adultos;musculoesquelética;medio;"FIS2_SRC006;FIS2_SRC007"
FIS2_P016;FIS2_A004;Lumbalgia crónica/persistente;Dolor lumbar mantenido con impacto funcional, miedo, desacondicionamiento o recaídas.;adultos;dolor_persistente;medio;"FIS2_SRC006;FIS2_SRC007"
FIS2_P017;FIS2_A004;Ciática o dolor radicular referido;Dolor irradiado con posible afectación neural que requiere valoración cuidadosa.;adultos;seguridad;alto;FIS2_SRC006
FIS2_P018;FIS2_A004;Rigidez lumbar;Sensación de bloqueo o limitación de movilidad lumbar/pélvica.;adultos;movilidad;bajo;"FIS2_SRC006;FIS2_SRC007"
FIS2_P019;FIS2_A004;Déficit de control lumbo-pélvico;Dificultad para estabilizar pelvis/columna en movimientos y ejercicios.;adultos;control_motor;medio;"FIS2_SRC007;FIS2_SRC016"
FIS2_P020;FIS2_A004;Recaídas lumbares frecuentes;Episodios repetidos de dolor lumbar asociados a carga, estrés, sedentarismo o técnica.;adultos;prevención;medio;"FIS2_SRC006;FIS2_SRC007"
FIS2_P021;FIS2_A005;Dolor de hombro inespecífico;Dolor de hombro con limitación de movimiento o función sin diagnóstico específico.;adultos;musculoesquelética;medio;"FIS2_SRC012;FIS2_SRC018"
FIS2_P022;FIS2_A005;Síndrome subacromial / dolor relacionado con manguito;Dolor al elevar brazo o cargar, con posible contribución de fuerza, movilidad y control.;adultos;musculoesquelética;medio;FIS2_SRC012
FIS2_P023;FIS2_A005;Rigidez de hombro / capsulitis adhesiva;Limitación progresiva de rango activo/pasivo y dolor.;adultos;movilidad;alto;FIS2_SRC012
FIS2_P024;FIS2_A005;Déficit de control escapular;Dificultad para coordinar escápula en empuje, tracción o elevación.;adultos;control_motor;bajo;FIS2_SRC016
