AREA;PROBLEMA_OBJETIVO;ALIAS;RIESGO_PROBLEMA;TECNICA_METODO;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO;RIESGO_TAREA;DURACION;PRIORIDAD;FUENTE_IDS;NOTA_PROFESIONAL
Actividades básicas de la vida diaria (ABVD);Dificultad para vestirse;Vestido;medio;Valoración ocupacional inicial;Perfil ocupacional inicial;Formulario de roles, rutinas, prioridades, dificultades y objetivos.;Definir punto de partida.;bajo;30 min;media;"TO_SRC001;TO_SRC011";El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
Actividades básicas de la vida diaria (ABVD);Dificultad para vestirse;Vestido;medio;Valoración ocupacional inicial;Registro de actividades de 3 días;Registrar actividades, ayuda necesaria, fatiga, dolor, satisfacción y barreras.;Identificar patrones.;bajo;3 días;media;"TO_SRC001;TO_SRC011";El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
Actividades básicas de la vida diaria (ABVD);Dificultad para vestirse;Vestido;medio;Valoración ocupacional inicial;Lista de prioridades ocupacionales;Elegir 3 actividades importantes que quiere/necesita mejorar.;Orientar objetivos.;bajo;15 min;media;"TO_SRC001;TO_SRC011";El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
Actividades básicas de la vida diaria (ABVD);Dificultad para vestirse;Vestido;medio;Análisis de actividad;Análisis de actividad problemática;Descomponer actividad en pasos, demandas y puntos de dificultad.;Planificar intervención.;bajo;20 min;media;"TO_SRC001;TO_SRC011";El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
Actividades básicas de la vida diaria (ABVD);Dificultad para vestirse;Vestido;medio;Entrenamiento en ABVD;Practicar vestido por pasos;Entrenar vestido con secuencia, ayudas o adaptación acordada.;Mejorar autonomía en vestido.;medio;10-15 min/día;media;"TO_SRC001;TO_SRC011";El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
Actividades básicas de la vida diaria (ABVD);Dificultad para vestirse;Vestido;medio;Entrenamiento en ABVD;Entrenamiento de botones/cremallera;Practicar cierres con ropa real o material adaptado.;Mejorar destreza aplicada.;bajo;10 min/día;media;"TO_SRC001;TO_SRC011";El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
Actividades básicas de la vida diaria (ABVD);Dificultad para vestirse;Vestido;medio;Entrenamiento en ABVD;Rutina de baño segura;Aplicar pasos y ayudas para ducha/baño seguro.;Mejorar seguridad e independencia.;alto;supervisado;alta;"TO_SRC001;TO_SRC011";El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
Actividades básicas de la vida diaria (ABVD);Dificultad para vestirse;Vestido;medio;Entrenamiento en ABVD;Entrenamiento de higiene oral/aseo;Practicar secuencia de aseo con apoyo visual o adaptación.;Aumentar independencia.;bajo;diario;media;"TO_SRC001;TO_SRC011";El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
Actividades básicas de la vida diaria (ABVD);Dificultad para vestirse;Vestido;medio;Entrenamiento en ABVD;Uso de cubiertos adaptado;Practicar agarre, corte, llevar alimento o utensilios adaptados.;Mejorar alimentación funcional.;medio;10 min/día;media;"TO_SRC001;TO_SRC011";El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
Actividades básicas de la vida diaria (ABVD);Dificultad para vestirse;Vestido;medio;Entrenamiento en ABVD;Secuencia WC segura;Practicar transferencia, ropa e higiene con ayudas necesarias.;Mejorar seguridad.;alto;supervisado;alta;"TO_SRC001;TO_SRC011";El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
