recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
PSY2_R0001;PSY2_P001;PSY2_T001;PSY2_TA010;alta;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0002;PSY2_P001;PSY2_T016;PSY2_TA001;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0003;PSY2_P001;PSY2_T016;PSY2_TA004;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0004;PSY2_P001;PSY2_T016;PSY2_TA050;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0005;PSY2_P001;PSY2_T017;PSY2_TA002;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0006;PSY2_P001;PSY2_T017;PSY2_TA028;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0007;PSY2_P001;PSY2_T017;PSY2_TA051;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0008;PSY2_P001;PSY2_T018;PSY2_TA003;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0009;PSY2_P001;PSY2_T019;PSY2_TA005;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0010;PSY2_P001;PSY2_T019;PSY2_TA016;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0011;PSY2_P001;PSY2_T029;PSY2_TA009;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0012;PSY2_P001;PSY2_T030;PSY2_TA006;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0013;PSY2_P001;PSY2_T030;PSY2_TA007;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0014;PSY2_P001;PSY2_T031;PSY2_TA008;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0015;PSY2_P001;PSY2_T025;PSY2_TA052;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0016;PSY2_P002;PSY2_T001;PSY2_TA010;alta;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0017;PSY2_P002;PSY2_T016;PSY2_TA001;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0018;PSY2_P002;PSY2_T016;PSY2_TA004;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0019;PSY2_P002;PSY2_T016;PSY2_TA050;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0020;PSY2_P002;PSY2_T017;PSY2_TA002;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0021;PSY2_P002;PSY2_T017;PSY2_TA028;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0022;PSY2_P002;PSY2_T017;PSY2_TA051;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0023;PSY2_P002;PSY2_T018;PSY2_TA003;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0024;PSY2_P002;PSY2_T019;PSY2_TA005;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0025;PSY2_P002;PSY2_T019;PSY2_TA016;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0026;PSY2_P002;PSY2_T029;PSY2_TA009;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0027;PSY2_P002;PSY2_T030;PSY2_TA006;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0028;PSY2_P002;PSY2_T030;PSY2_TA007;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0029;PSY2_P002;PSY2_T031;PSY2_TA008;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0030;PSY2_P002;PSY2_T025;PSY2_TA052;media;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
PSY2_R0031;PSY2_P003;PSY2_T001;PSY2_TA010;alta;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
