documento_id;nombre;tipo;descripcion;problema_ids;nivel_riesgo
FIS2_D001;Informe fisioterapéutico inicial;Informe;Motivo, historia, exploración, función, hipótesis fisioterapéutica, riesgos y plan.;Todos;medio
FIS2_D002;Plan de tratamiento fisioterapéutico;Plan;Objetivos, técnicas, ejercicios, dosis, criterios de progresión y revisión.;Todos;bajo
FIS2_D003;Consentimiento informado fisioterapia;Documento legal;Alcance, límites, terapia manual, ejercicio, riesgos, derivación y protección de datos.;Todos;medio
FIS2_D004;Hoja de ejercicios domiciliarios;Documento;Ejercicios, dosis, frecuencia, imágenes/notas, semáforo de dolor y revisión.;Todos;bajo
FIS2_D005;Informe de derivación médica;Documento;Motivo, signos de alarma, evolución, limitación y profesional sugerido.;"FIS2_P002;FIS2_P003;FIS2_P017;FIS2_P026;FIS2_P072;FIS2_P087;FIS2_P088";alto
FIS2_D006;Plan cervical;Plan;Dolor cervical, movilidad, control motor, ergonomía y tareas domiciliarias.;"FIS2_P006;FIS2_P007;FIS2_P008;FIS2_P009;FIS2_P010";bajo
FIS2_D007;Plan lumbar;Plan;Educación, actividad gradual, core, movilidad, carga y prevención de recaídas.;"FIS2_P015;FIS2_P016;FIS2_P017;FIS2_P018;FIS2_P019;FIS2_P020";medio
FIS2_D008;Plan hombro;Plan;Movilidad, manguito, escápula, carga progresiva y función.;"FIS2_P021;FIS2_P022;FIS2_P023;FIS2_P024;FIS2_P025;FIS2_P026";medio
FIS2_D009;Plan rodilla;Plan;Fuerza, control, movilidad, artrosis/femoropatelar y retorno funcional.;"FIS2_P037;FIS2_P038;FIS2_P039;FIS2_P040;FIS2_P041;FIS2_P042";medio
FIS2_D010;Plan tobillo/pie;Plan;Movilidad, equilibrio, Aquiles, fascia plantar, marcha y carga.;"FIS2_P043;FIS2_P044;FIS2_P045;FIS2_P046;FIS2_P047;FIS2_P048";medio
FIS2_D011;Plan tendinopatía;Plan;Educación de carga, isométricos, fuerza progresiva, registro 24h y prevención.;"FIS2_P045;FIS2_P049;FIS2_P050;FIS2_P051;FIS2_P052;FIS2_P053";medio
FIS2_D012;Plan readaptación deportiva;Plan;Carrera, saltos, agilidad, fuerza, criterios retorno y prevención.;"FIS2_P054;FIS2_P055;FIS2_P056;FIS2_P057;FIS2_P058";medio
FIS2_D013;Plan postoperatorio/fractura;Plan;Fases, restricciones, movilidad, fuerza, edema, signos de alarma y coordinación médica.;"FIS2_P059;FIS2_P060;FIS2_P061;FIS2_P062;FIS2_P063";alto
FIS2_D014;Plan neurológico funcional;Plan;Marcha, equilibrio, fuerza funcional, tareas, seguridad y participación.;"FIS2_P064;FIS2_P065;FIS2_P066;FIS2_P067;FIS2_P068";alto
FIS2_D015;Plan mayores prevención de caídas;Plan;Fuerza, equilibrio, entorno, marcha, sit-to-stand y seguimiento.;"FIS2_P073;FIS2_P074;FIS2_P075;FIS2_P076;FIS2_P077";alto
FIS2_D016;Plan dolor persistente;Plan;Educación, actividad gradual, pacing, exposición, sueño y prevención.;"FIS2_P005;FIS2_P078;FIS2_P079;FIS2_P080;FIS2_P081";medio
FIS2_D017;Plan ergonomía y hábitos;Plan;Puesto, pausas activas, cargas, sueño y autocuidado.;"FIS2_P082;FIS2_P083;FIS2_P084;FIS2_P085";bajo
FIS2_D018;Informe de evolución fisioterapéutica;Informe;Dolor, función, tests, adherencia, progresión, barreras y próximos pasos.;Todos;bajo
FIS2_D019;Informe de alta/mantenimiento;Informe;Objetivos alcanzados, plan de mantenimiento, señales de recaída y recomendaciones.;Todos;bajo
FIS2_D020;Plan suelo pélvico básico/derivación;Plan;Educación, señales de derivación y coordinación con especialista.;"FIS2_P086;FIS2_P087;FIS2_P088;FIS2_P089;FIS2_P090";alto
