rutina_id;tarea_id
FIT2_ROUT001;FIT2_TA003
FIT2_ROUT001;FIT2_TA013
FIT2_ROUT001;FIT2_TA027
FIT2_ROUT001;FIT2_TA041
FIT2_ROUT001;FIT2_TA080
FIT2_ROUT002;FIT2_TA004
FIT2_ROUT002;FIT2_TA006
FIT2_ROUT002;FIT2_TA007
FIT2_ROUT002;FIT2_TA008
FIT2_ROUT002;FIT2_TA037
FIT2_ROUT002;FIT2_TA057
FIT2_ROUT003;FIT2_TA010
FIT2_ROUT003;FIT2_TA012
FIT2_ROUT003;FIT2_TA024
FIT2_ROUT003;FIT2_TA067
FIT2_ROUT003;FIT2_TA075
FIT2_ROUT004;FIT2_TA025
FIT2_ROUT004;FIT2_TA027
FIT2_ROUT004;FIT2_TA035
FIT2_ROUT004;FIT2_TA037
FIT2_ROUT004;FIT2_TA041
FIT2_ROUT005;FIT2_TA031
FIT2_ROUT005;FIT2_TA032
FIT2_ROUT005;FIT2_TA062
FIT2_ROUT005;FIT2_TA063
FIT2_ROUT005;FIT2_TA034
FIT2_ROUT006;FIT2_TA015
FIT2_ROUT006;FIT2_TA016
FIT2_ROUT006;FIT2_TA017
FIT2_ROUT006;FIT2_TA018
FIT2_ROUT006;FIT2_TA066
FIT2_ROUT007;FIT2_TA020
FIT2_ROUT007;FIT2_TA021
FIT2_ROUT007;FIT2_TA022
FIT2_ROUT007;FIT2_TA023
FIT2_ROUT007;FIT2_TA064
FIT2_ROUT008;FIT2_TA027
FIT2_ROUT008;FIT2_TA028
FIT2_ROUT008;FIT2_TA030
FIT2_ROUT008;FIT2_TA016
FIT2_ROUT008;FIT2_TA038
FIT2_ROUT009;FIT2_TA047
FIT2_ROUT009;FIT2_TA048
FIT2_ROUT009;FIT2_TA049
FIT2_ROUT009;FIT2_TA004
FIT2_ROUT009;FIT2_TA041
FIT2_ROUT010;FIT2_TA012
FIT2_ROUT010;FIT2_TA068
FIT2_ROUT010;FIT2_TA069
FIT2_ROUT010;FIT2_TA070
FIT2_ROUT010;FIT2_TA071
FIT2_ROUT010;FIT2_TA072
FIT2_ROUT011;FIT2_TA050
FIT2_ROUT011;FIT2_TA051
FIT2_ROUT011;FIT2_TA073
FIT2_ROUT011;FIT2_TA075
FIT2_ROUT011;FIT2_TA079
FIT2_ROUT012;FIT2_TA053
FIT2_ROUT012;FIT2_TA054
FIT2_ROUT012;FIT2_TA055
FIT2_ROUT012;FIT2_TA056
FIT2_ROUT012;FIT2_TA052
