area_id;nombre;descripcion
PSP2_A001;TDAH y autorregulación;Atención, hiperactividad, impulsividad, organización, planificación y seguimiento de tareas.
PSP2_A002;TEA / Autismo / Asperger;Comunicación social, flexibilidad, rutinas, anticipación, intereses, regulación sensorial y participación.
PSP2_A003;Altas Capacidades y doble excepcionalidad;Enriquecimiento, motivación, perfeccionismo, desajuste curricular y perfiles 2e.
PSP2_A004;Dislexia y lectura;Conciencia fonológica, decodificación, fluidez, comprensión y apoyo lector.
PSP2_A005;Discalculia y matemáticas;Sentido numérico, cálculo, resolución de problemas, ansiedad matemática y estrategias visuales.
PSP2_A006;Disgrafía y escritura;Grafomotricidad, ortografía, planificación textual, organización de ideas y producción escrita.
PSP2_A007;Funciones ejecutivas;Memoria de trabajo, planificación, iniciación, monitorización, flexibilidad, inhibición y organización.
PSP2_A008;Ansiedad académica y emocional;Exámenes, participación oral, miedo al error, bloqueo y autoconcepto académico.
PSP2_A009;Técnicas de estudio y aprendizaje;Estudio activo, recuperación, repaso espaciado, planificación y metacognición.
PSP2_A010;Adaptaciones educativas y coordinación;Ajustes razonables, apoyos visuales, coordinación familia-centro y seguimiento.
PSP2_A011;Conducta y convivencia;Normas, refuerzo, conducta disruptiva leve, resolución de conflictos y participación.
PSP2_A012;Motivación y adherencia escolar;Desmotivación, evitación de tareas, autonomía, objetivos y seguimiento.
