evaluacion_id;nombre;area_uso;tipo;notas;problema_ids
PSP2_E001;Cuestionario de cribado TDAH;TDAH;Cribado/entrevista;"Puede usarse como orientación profesional. No diagnostica automáticamente; revisar licencias si se integran ítems completos.";"PSP2_P001;PSP2_P002;PSP2_P003;PSP2_P004;PSP2_P005;PSP2_P006;PSP2_P007;PSP2_P008"
PSP2_E002;Registro de atención y tareas;TDAH/funciones ejecutivas;Autorregistro;Tareas iniciadas, completadas, distractores, apoyos usados y barreras.;"PSP2_P001;PSP2_P004;PSP2_P005;PSP2_P006"
PSP2_E003;Perfil de funciones ejecutivas;Funciones ejecutivas;Observación/entrevista;Planificación, memoria de trabajo, inhibición, flexibilidad y monitorización.;"PSP2_P035;PSP2_P036;PSP2_P037;PSP2_P038;PSP2_P039;PSP2_P040"
PSP2_E004;Observación de comunicación social;TEA;Observación;Iniciativa social, reciprocidad, comprensión de claves, conversación y participación.;"PSP2_P009;PSP2_P013;PSP2_P016"
PSP2_E005;Perfil sensorial educativo;TEA/sensorial;Entrevista/registro;Estímulos sensibles, umbral, señales de sobrecarga y adaptaciones útiles.;"PSP2_P012;PSP2_P014"
PSP2_E006;Seguimiento de anticipación y transiciones;TEA/flexibilidad;Registro;Cambios previstos/imprevistos, respuesta, apoyo usado y recuperación.;"PSP2_P010;PSP2_P014"
PSP2_E007;Perfil de altas capacidades y enriquecimiento;Altas capacidades;Entrevista/observación;Intereses, ritmo, profundidad, creatividad, motivación, frustración y ajuste curricular.;"PSP2_P017;PSP2_P018;PSP2_P019;PSP2_P020;PSP2_P021"
PSP2_E008;Indicadores de doble excepcionalidad;Altas capacidades/NEAE;Entrevista/observación;Fortalezas altas coexistentes con dificultades específicas o neurodivergencia.;PSP2_P020
PSP2_E009;Evaluación lectora funcional;Lectura/dislexia;Prueba/observación;Conciencia fonológica, precisión, fluidez, comprensión y fatiga lectora.;"PSP2_P022;PSP2_P023;PSP2_P024;PSP2_P025"
PSP2_E010;Registro de fluidez lectora;Lectura;Seguimiento;Precisión, tiempo, errores, autocorrecciones y comprensión breve.;"PSP2_P023;PSP2_P024;PSP2_P025"
PSP2_E011;Evaluación matemática funcional;Matemáticas/discalculia;Prueba/observación;Sentido numérico, cálculo, procedimientos, problemas y ansiedad matemática.;"PSP2_P027;PSP2_P028;PSP2_P029;PSP2_P030"
PSP2_E012;Registro de resolución de problemas;Matemáticas;Seguimiento;Comprensión de enunciado, elección de operación, cálculo y revisión.;PSP2_P029
PSP2_E013;Evaluación de escritura funcional;Escritura/disgrafía;Observación;Grafomotricidad, legibilidad, fatiga, estructura textual y revisión.;"PSP2_P031;PSP2_P032;PSP2_P033;PSP2_P034"
PSP2_E014;Rúbrica de producción escrita;Escritura;Rúbrica;Ideas, organización, vocabulario, ortografía, puntuación y revisión.;"PSP2_P033;PSP2_P034"
PSP2_E015;Escala de ansiedad académica propia;Ansiedad académica;Autorregistro;Ansiedad 0-10, situación, pensamiento, conducta y estrategia usada.;"PSP2_P041;PSP2_P042;PSP2_P043;PSP2_P044"
PSP2_E016;Seguimiento de estudio activo;Técnicas de estudio;Registro;Recuperación activa, repaso espaciado, mapas, tiempo y resultado.;"PSP2_P045;PSP2_P046;PSP2_P047;PSP2_P048"
PSP2_E017;Ficha de adaptación educativa;Adaptaciones;Documento/registro;Necesidad, ajuste, responsable, duración, evidencia y revisión.;"PSP2_P049;PSP2_P050;PSP2_P051;PSP2_P052"
PSP2_E018;Registro de conducta y convivencia;Conducta;ABC/observación;Antecedente, conducta, consecuencia, función posible y estrategia.;"PSP2_P053;PSP2_P054;PSP2_P055;PSP2_P056"
PSP2_E019;Indicador de motivación y adherencia;Motivación;Seguimiento;Inicio, persistencia, autonomía, cumplimiento y barreras.;"PSP2_P057;PSP2_P058;PSP2_P059;PSP2_P060"
