tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
PSP_TA001;Entrevista inicial familia/alumno;Recoger demanda, historia escolar, fortalezas, dificultades y objetivos.;Definir caso y prioridades.;bajo;30-45 min;PSP_T001
PSP_TA002;Registro semanal de tareas escolares;Anotar deberes, entregas, tiempo invertido, ayuda y dificultades.;Detectar patrón académico.;bajo;7 días;PSP_T001
PSP_TA003;Muestra de lectura/escritura/cálculo;Recoger muestra breve de rendimiento en área objetivo.;Observar errores funcionales.;medio;15-20 min;PSP_T001
PSP_TA004;Descomponer una tarea difícil;Separar una tarea escolar en pasos y demandas.;Reducir bloqueo y planificar apoyos.;bajo;15 min;PSP_T002
PSP_TA005;Modelado del primer ejercicio;El profesional resuelve un ejemplo verbalizando pasos y decisiones.;Aprender procedimiento.;bajo;10 min;PSP_T003
PSP_TA006;Práctica guiada con retirada de ayuda;Resolver ejercicios con apoyos que se retiran gradualmente.;Aumentar autonomía.;bajo;15-20 min;PSP_T004
PSP_TA007;Corrección con feedback específico;Revisar error indicando qué cambiar y cómo intentarlo de nuevo.;Mejorar aprendizaje por error.;bajo;10 min;PSP_T005
PSP_TA008;Ejercicios de rimas;Identificar y crear palabras que riman.;Mejorar conciencia fonológica.;bajo;10 min/día;PSP_T006
PSP_TA009;Segmentación silábica/fonémica;Separar palabras en sílabas o sonidos con apoyo visual.;Mejorar base lectora.;bajo;10 min/día;PSP_T006
PSP_TA010;Mezcla de sonidos;Unir sonidos o sílabas para formar palabras.;Apoyar decodificación.;bajo;10 min/día;PSP_T006
PSP_TA011;Lectura repetida breve;Leer el mismo texto 2-3 veces registrando precisión y comodidad.;Mejorar fluidez.;bajo;10 min/día;PSP_T007
PSP_TA012;Lista de palabras objetivo;Practicar palabras frecuentes o con patrón trabajado.;Automatizar lectura.;bajo;10 min/día;PSP_T007
PSP_TA013;Lectura cronometrada amable;Medir avance sin presión, comparando progreso propio.;Mejorar fluidez y motivación.;bajo;5-10 min;PSP_T007
PSP_TA014;Preguntas antes-durante-después;Responder preguntas de predicción, comprensión y reflexión.;Mejorar comprensión.;bajo;15 min;PSP_T008
PSP_TA015;Subrayar idea principal;Marcar idea principal y detalles de apoyo en un párrafo.;Mejorar extracción de información.;bajo;10-15 min;PSP_T008
PSP_TA016;Resumen de 3 frases;Escribir resumen breve con quién/qué, idea principal y conclusión.;Mejorar síntesis.;bajo;10 min;PSP_T008
PSP_TA017;Mapa semántico de vocabulario;Palabra, definición propia, ejemplo, dibujo, antónimo/sinónimo.;Mejorar vocabulario académico.;bajo;10 min;PSP_T009
PSP_TA018;Tarjetas de vocabulario;Crear tarjetas con palabra, significado, ejemplo y recuperación.;Consolidar vocabulario.;bajo;10 min/día;PSP_T009
PSP_TA019;Organizador previo de texto;Completar esquema antes de escribir: inicio, ideas, argumentos, cierre.;Planificar escritura.;bajo;15 min;PSP_T010
