problema_id;tecnica_id
OST_P001;OST_T001
OST_P001;OST_T002
OST_P001;OST_T003
OST_P001;OST_T005
OST_P001;OST_T007
OST_P001;OST_T008
OST_P001;OST_T009
OST_P001;OST_T010
OST_P001;OST_T012
OST_P001;OST_T013
OST_P001;OST_T014
OST_P002;OST_T001
OST_P002;OST_T002
OST_P002;OST_T003
OST_P002;OST_T005
OST_P002;OST_T007
OST_P002;OST_T008
OST_P002;OST_T013
OST_P003;OST_T001
OST_P003;OST_T002
OST_P003;OST_T003
OST_P003;OST_T005
OST_P003;OST_T007
OST_P003;OST_T008
OST_P003;OST_T010
OST_P003;OST_T012
OST_P003;OST_T014
OST_P004;OST_T001
OST_P004;OST_T003
OST_P004;OST_T005
OST_P004;OST_T007
OST_P004;OST_T008
OST_P004;OST_T013
OST_P005;OST_T001
OST_P005;OST_T002
OST_P005;OST_T003
OST_P005;OST_T005
OST_P005;OST_T008
OST_P005;OST_T011
OST_P005;OST_T013
OST_P006;OST_T001
OST_P006;OST_T002
OST_P006;OST_T011
OST_P006;OST_T014
OST_P007;OST_T001
OST_P007;OST_T002
OST_P007;OST_T005
OST_P007;OST_T006
OST_P007;OST_T007
OST_P007;OST_T012
OST_P007;OST_T014
OST_P008;OST_T001
OST_P008;OST_T002
OST_P008;OST_T003
OST_P008;OST_T005
OST_P008;OST_T007
OST_P008;OST_T008
OST_P008;OST_T012
OST_P008;OST_T014
OST_P009;OST_T001
OST_P009;OST_T002
OST_P009;OST_T003
OST_P009;OST_T005
OST_P009;OST_T006
OST_P009;OST_T007
OST_P009;OST_T008
OST_P009;OST_T009
OST_P009;OST_T012
OST_P010;OST_T001
OST_P010;OST_T002
OST_P010;OST_T003
OST_P010;OST_T005
OST_P010;OST_T006
OST_P010;OST_T007
OST_P010;OST_T008
OST_P010;OST_T009
OST_P010;OST_T012
OST_P011;OST_T001
OST_P011;OST_T002
OST_P011;OST_T007
OST_P011;OST_T008
OST_P011;OST_T009
OST_P011;OST_T012
OST_P011;OST_T013
OST_P012;OST_T001
OST_P012;OST_T002
OST_P012;OST_T007
OST_P012;OST_T008
OST_P012;OST_T009
OST_P012;OST_T012
OST_P012;OST_T014
OST_P013;OST_T001
OST_P013;OST_T002
OST_P013;OST_T007
OST_P013;OST_T008
OST_P013;OST_T010
OST_P013;OST_T012
OST_P013;OST_T013
