problema_id;area_id;nombre;alias;descripcion;poblacion;nivel_riesgo;fuente_ids
OST_P001;OST_A001;Dolor lumbar mecánico;Lumbalgia;Dolor lumbar relacionado con movimiento, carga, rigidez o función.;Adultos;medio;"OST_SRC001;OST_SRC003;OST_SRC005"
OST_P002;OST_A001;Rigidez lumbar;Restricción lumbar;Sensación de movilidad lumbar reducida o rigidez funcional.;Adultos;bajo;"OST_SRC001;OST_SRC005"
OST_P003;OST_A002;Cervicalgia mecánica;Dolor cervical;Dolor o rigidez cervical asociado a movimiento, postura o carga.;Adultos;medio;"OST_SRC001;OST_SRC005"
OST_P004;OST_A002;Restricción cervical;Movilidad cervical limitada;Limitación funcional de movilidad cervical.;Adultos;bajo;OST_SRC001
OST_P005;OST_A003;Rigidez torácica;Movilidad torácica;Restricción o incomodidad torácica asociada a postura, respiración o carga.;Adultos;bajo;OST_SRC001
OST_P006;OST_A003;Patrón respiratorio disfuncional leve;Respiración funcional;Dificultad funcional leve de patrón respiratorio sin sustituir valoración médica.;Adultos;medio;"OST_SRC001;OST_SRC005"
OST_P007;OST_A004;Dolor o disfunción ATM;ATM;Molestia mandibular, tensión, chasquidos o limitación funcional.;Adultos;medio;OST_SRC001
OST_P008;OST_A004;Cefalea asociada a región cervical;Cefalea cervicogénica/tensional;Cefalea relacionada con tensión o movilidad cervical, tras cribado de signos de alarma.;Adultos;medio;"OST_SRC001;OST_SRC005"
OST_P009;OST_A005;Dolor lumbopélvico;Pelvis/cadera;Dolor o rigidez en región pélvica o cadera con impacto funcional.;Adultos;medio;"OST_SRC001;OST_SRC005"
OST_P010;OST_A006;Dolor de hombro funcional;Hombro doloroso;Dolor de hombro asociado a movilidad, carga o control funcional.;Adultos;medio;"OST_SRC001;OST_SRC005"
OST_P011;OST_A007;Dolor de rodilla funcional;Rodilla;Dolor de rodilla asociado a carga, marcha, escaleras o actividad.;Adultos;medio;"OST_SRC004;OST_SRC005"
OST_P012;OST_A007;Alteración de marcha / apoyo;Marcha y apoyo;Dificultad funcional relacionada con apoyo, pie, tobillo o patrón de marcha.;Adultos;medio;OST_SRC005
OST_P013;OST_A008;Mantenimiento musculoesquelético;Prevención funcional;Seguimiento preventivo y autocuidado de movilidad/fuerza funcional.;Adultos;bajo;"OST_SRC001;OST_SRC005"
