problema_id;area_id;nombre;alias;descripcion;poblacion;nivel_riesgo;fuente_ids
LOG_P001;LOG_A001;Trastorno de los sonidos del habla;Dislalia / articulación;Dificultad para producir sonidos del habla adecuados para la edad o contexto.;Infantil;bajo;"LOG_SRC001;LOG_SRC002"
LOG_P002;LOG_A001;Trastorno fonológico;Procesos fonológicos persistentes;Uso de patrones fonológicos que reducen inteligibilidad.;Infantil;medio;"LOG_SRC001;LOG_SRC002"
LOG_P003;LOG_A001;Baja inteligibilidad del habla;Habla poco clara;Dificultad general para que otros comprendan el habla espontánea.;Infantil/Adultos;medio;"LOG_SRC001;LOG_SRC002"
LOG_P004;LOG_A001;Dificultad con fonema /r/;Rotacismo;Dificultad específica con vibrante simple o múltiple, según evaluación profesional.;Infantil;bajo;LOG_SRC002
LOG_P005;LOG_A001;Dificultad con fonemas sibilantes;Sigmatismo / /s/;Producción alterada de /s/ u otros sonidos sibilantes.;Infantil;bajo;LOG_SRC002
LOG_P006;LOG_A002;Retraso del lenguaje;Inicio tardío / lenguaje lento;Desarrollo lingüístico más lento en vocabulario, frases, comprensión o expresión.;Infantil;medio;"LOG_SRC001;LOG_SRC002;LOG_SRC009"
LOG_P007;LOG_A002;Trastorno del desarrollo del lenguaje;TDL;Dificultades persistentes de lenguaje que afectan aprendizaje, comunicación y participación.;Infantil;medio;"LOG_SRC001;LOG_SRC002"
LOG_P008;LOG_A002;Dificultad de comprensión verbal;Comprensión oral;Problemas para seguir instrucciones, comprender preguntas o procesar lenguaje oral.;Infantil/Adultos;medio;LOG_SRC002
LOG_P009;LOG_A002;Dificultad expresiva;Expresión oral;Dificultad para encontrar palabras, construir frases o expresar ideas.;Infantil/Adultos;medio;LOG_SRC002
LOG_P010;LOG_A002;Dificultad narrativa;Narración oral;Problemas para contar hechos con estructura, secuencia, personajes y coherencia.;Infantil;bajo;LOG_SRC002
LOG_P011;LOG_A003;Tartamudez;Disfemia;Repeticiones, prolongaciones o bloqueos que afectan fluidez y participación comunicativa.;Infantil/Adultos;medio;"LOG_SRC001;LOG_SRC002;LOG_SRC003"
LOG_P012;LOG_A003;Cluttering / taquifemia;Habla rápida/desorganizada;Habla excesivamente rápida o irregular que afecta inteligibilidad y organización del mensaje.;Infantil/Adultos;medio;"LOG_SRC002;LOG_SRC003"
LOG_P013;LOG_A003;Evitación comunicativa por fluidez;Miedo a hablar;Evitación de situaciones de habla por experiencias de disfluencia.;Infantil/Adultos;medio;"LOG_SRC002;LOG_SRC003"
LOG_P014;LOG_A004;Disfonía funcional;Alteración de voz;Cambios de calidad vocal asociados a uso vocal, tensión, hábitos o fatiga.;Adultos;medio;"LOG_SRC002;LOG_SRC006;LOG_SRC008"
LOG_P015;LOG_A004;Fatiga vocal profesional;Sobrecarga vocal;Cansancio, ronquera o pérdida de eficiencia en usuarios profesionales de voz.;Adultos;medio;"LOG_SRC002;LOG_SRC008"
LOG_P016;LOG_A004;Higiene vocal deficiente;Malos hábitos vocales;Hábitos que favorecen sobrecarga: gritos, carraspeo, baja hidratación, abuso vocal.;Infantil/Adultos;bajo;LOG_SRC002
LOG_P017;LOG_A004;Alteración de resonancia;Hipernasalidad/hiponasalidad;Alteración perceptiva de resonancia que requiere evaluación especializada.;Infantil/Adultos;alto;LOG_SRC002
LOG_P018;LOG_A005;Disfagia adulta;Dificultad deglutoria;Dificultad para tragar con posible impacto en seguridad, hidratación o nutrición.;Adultos/Mayores;alto;"LOG_SRC002;LOG_SRC004;LOG_SRC006"
LOG_P019;LOG_A005;Disfagia pediátrica;Alimentación/deglución infantil;Dificultades de alimentación o deglución en población pediátrica.;Infantil;alto;"LOG_SRC002;LOG_SRC004"
LOG_P020;LOG_A005;Selectividad alimentaria con componente oral;Alimentación restrictiva funcional;Rechazo o limitación de alimentos por textura, oralidad o experiencia sensorial, sin sustituir evaluación médica/psicológica.;Infantil;medio;"LOG_SRC002;LOG_SRC004"
LOG_P021;LOG_A005;Babeo / control salival;Sialorrea funcional;Dificultad en control de saliva asociada a función oral o neurológica.;Infantil/Adultos;medio;"LOG_SRC002;LOG_SRC004"
LOG_P022;LOG_A006;Dificultades de conciencia fonológica;Base lectoescritura;Dificultad para identificar, segmentar o manipular sílabas y fonemas.;Infantil;bajo;LOG_SRC002
LOG_P023;LOG_A006;Dificultades de lectura;Lectura lenta o imprecisa;Dificultad de precisión, fluidez o comprensión lectora.;Infantil;medio;LOG_SRC002
