problema_id;area_id;nombre;descripcion;poblacion;tipo_intervencion;nivel_riesgo;fuente_ids
FIT2_P001;FIT2_A001;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003"
FIT2_P002;FIT2_A001;Sedentarismo elevado;Muchas horas sentado/a y baja actividad diaria.;adultos;hábitos;medio;"FIT2_SRC001;FIT2_SRC003"
FIT2_P003;FIT2_A001;Baja tolerancia al esfuerzo;Fatiga rápida ante actividad moderada o tareas cotidianas.;principiante;entrenamiento;medio;"FIT2_SRC002;FIT2_SRC008"
FIT2_P004;FIT2_A001;Retomar ejercicio tras mucho tiempo;Necesidad de reiniciar ejercicio con prudencia y progresión.;principiante;entrenamiento;medio;"FIT2_SRC002;FIT2_SRC011"
FIT2_P005;FIT2_A001;Crear rutina semanal equilibrada;Objetivo de combinar fuerza, cardio, movilidad y descanso.;general;programación;bajo;"FIT2_SRC001;FIT2_SRC002"
FIT2_P006;FIT2_A001;Mejorar bienestar y energía diaria;Objetivo de usar el ejercicio para mejorar estado general y vitalidad.;general;hábitos;bajo;"FIT2_SRC001;FIT2_SRC008"
FIT2_P007;FIT2_A002;Ganar masa muscular general;Aumentar músculo de forma progresiva y sostenible.;general;entrenamiento;bajo;"FIT2_SRC004;FIT2_SRC005;FIT2_SRC007"
FIT2_P008;FIT2_A002;Hipertrofia de tren superior;Priorizar pecho, espalda, hombros y brazos.;general;entrenamiento;bajo;"FIT2_SRC004;FIT2_SRC007"
FIT2_P009;FIT2_A002;Hipertrofia de tren inferior;Priorizar glúteos, cuádriceps, isquiosurales y gemelos.;general;entrenamiento;bajo;"FIT2_SRC004;FIT2_SRC007"
FIT2_P010;FIT2_A002;Brazos poco desarrollados;Objetivo estético de mejorar bíceps, tríceps y antebrazo.;general;entrenamiento;bajo;"FIT2_SRC004;FIT2_SRC007"
FIT2_P011;FIT2_A002;Espalda poco desarrollada;Objetivo de mejorar dorsales, trapecios y musculatura escapular.;general;entrenamiento;bajo;"FIT2_SRC004;FIT2_SRC007"
FIT2_P012;FIT2_A002;Estancamiento en hipertrofia;Falta de progreso visible o de cargas tras varias semanas.;intermedio;programación;medio;"FIT2_SRC004;FIT2_SRC005"
