evaluacion_id;problema_id;nombre;area_uso;tipo;notas;fuente_ids
FIS_E001;FIS_P001;Oswestry Disability Index;Función lumbar;Cuestionario;Revisar licencia/condiciones antes de integrar formulario completo.;"FIS_SRC005;FIS_SRC001"
FIS_E002;FIS_P001;Roland-Morris Disability Questionnaire;Función lumbar;Cuestionario;Revisar licencia/condiciones antes de integrar formulario completo.;"FIS_SRC005;FIS_SRC001"
FIS_E003;FIS_P003;Neck Disability Index;Función cervical;Cuestionario;Revisar licencia/condiciones antes de integrar formulario completo.;FIS_SRC001
FIS_E004;FIS_P005;KOOS / WOMAC;Rodilla/OA;Cuestionario;Revisar licencia/condiciones antes de integrar formulario completo.;"FIS_SRC003;FIS_SRC001"
FIS_E005;FIS_P012;QuickDASH;Miembro superior;Cuestionario;Revisar licencia/condiciones antes de integrar formulario completo.;FIS_SRC001
FIS_E006;FIS_P008;FAAM;Pie/tobillo;Cuestionario;Revisar licencia/condiciones antes de integrar formulario completo.;FIS_SRC001
FIS_E007;FIS_P019;Timed Up and Go;Función/equilibrio;Test funcional;Requiere aplicación y seguridad por profesional.;FIS_SRC009
FIS_E008;FIS_P019;Five Times Sit-to-Stand;Fuerza funcional;Test funcional;Adaptar a seguridad del paciente.;"FIS_SRC009;FIS_SRC008"
FIS_E009;FIS_P022;Pain Self-Efficacy Questionnaire;Dolor persistente;Cuestionario;Revisar licencia/condiciones antes de integrar formulario completo.;FIS_SRC001
FIS_E010;FIS_P023;Tampa Scale of Kinesiophobia;Miedo movimiento;Cuestionario;Revisar licencia/condiciones antes de integrar formulario completo.;FIS_SRC005
