area_id;nombre;descripcion
FIT2_A001;Condición física general;Mejora global de salud, energía, movilidad, fuerza básica, cardio y constancia.
FIT2_A002;Hipertrofia;Ganancia de masa muscular mediante fuerza, volumen, progresión, recuperación y nutrición.
FIT2_A003;Fuerza;Incremento de fuerza en patrones básicos, levantamientos y movimientos funcionales.
FIT2_A004;Pérdida de grasa y recomposición;Reducción de grasa corporal, mantenimiento muscular, hábitos y actividad diaria.
FIT2_A005;Resistencia muscular;Capacidad para mantener esfuerzos repetidos, circuitos y trabajo local prolongado.
FIT2_A006;Movilidad y flexibilidad;Rango de movimiento activo, control articular, movilidad dinámica y rigidez.
FIT2_A007;Core, postura y estabilidad;Control del tronco, estabilidad lumbo-pélvica, respiración y patrones posturales.
FIT2_A008;Cardio y capacidad aeróbica;Trabajo cardiovascular, zona 2, intervalos, recuperación y salud cardiorrespiratoria.
FIT2_A009;Entrenamiento en casa/material limitado;Programas con peso corporal, bandas, mancuernas, barra, comba o material básico.
FIT2_A010;Técnica de básicos;Aprendizaje y mejora técnica de sentadilla, bisagra, empuje, tracción, zancadas y core.
FIT2_A011;Readaptación y vuelta al entrenamiento;Retorno progresivo tras pausa, molestias leves o baja forma, sin sustituir fisioterapia.
FIT2_A012;Entrenamiento para mayores;Fuerza, equilibrio, movilidad, autonomía y prevención de pérdida funcional.
FIT2_A013;Hábitos, adherencia y estilo de vida;Rutina, motivación, sueño, pasos, seguimiento, barreras y consistencia.
FIT2_A014;Nutrición deportiva básica;Pautas no clínicas de proteína, hidratación, timing, energía y recuperación.
