tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
TA001;Leer explicación básica del problema;Leer una ficha psicoeducativa adaptada sobre el problema seleccionado.;Comprender el problema y reducir miedo o confusión inicial.;bajo;10-20 min;T001
TA002;Dibujar el ciclo del problema;Completar un esquema de ciclo: situación, pensamiento, emoción, sensación, conducta y consecuencia.;Identificar mecanismos de mantenimiento.;bajo;15-30 min;T001
TA003;Registro diario de síntomas;Registrar intensidad, duración, situación y respuesta ante síntomas relevantes.;Aumentar conciencia y facilitar análisis clínico.;bajo;7 días;T002
TA004;Registro de emociones;Anotar emoción, intensidad, desencadenante, pensamiento asociado y conducta realizada.;Mejorar identificación emocional.;bajo;7 días;T002
TA005;Registro de pensamientos automáticos;Registrar situación, pensamiento, emoción, intensidad y respuesta alternativa.;Detectar patrones cognitivos.;bajo;7 días;T005
TA006;Evidencias a favor y en contra;Analizar un pensamiento automático buscando pruebas que lo apoyen y lo contradigan.;Flexibilizar interpretaciones.;medio;20-30 min;T005
TA007;Pensamiento alternativo equilibrado;Formular una interpretación alternativa más realista y útil.;Reducir impacto emocional de pensamientos disfuncionales.;medio;15-20 min;T005
TA008;Respiración diafragmática diaria;Practicar respiración lenta abdominal durante 10 minutos.;Reducir activación fisiológica.;bajo;10 min/día;T003
TA009;Relajación muscular por grupos;Practicar tensión-distensión de grupos musculares siguiendo una guía.;Reducir tensión corporal.;bajo;15-20 min;T004
TA010;Pausa consciente de 3 minutos;Hacer una pausa breve observando respiración, cuerpo y entorno.;Interrumpir automatismos y bajar activación.;bajo;3 min;T014
TA011;Hoja de resolución de problemas;Definir problema, alternativas, pros/contras, acción elegida y revisión.;Aumentar afrontamiento activo.;bajo;30-45 min;T006
TA012;Jerarquía de exposición;Crear lista graduada de situaciones temidas de menor a mayor dificultad.;Preparar exposición gradual.;medio;30-45 min;T007
TA013;Exposición gradual planificada;Realizar una exposición acordada, registrando ansiedad inicial, máxima y final.;Reducir evitación y habituar/actualizar aprendizaje.;medio;variable;T007
TA014;Prevención de evitación sutil;Identificar conductas de seguridad y reducir una de forma acordada.;Reducir mantenimiento de ansiedad.;medio;7 días;T007
TA015;Exposición interoceptiva supervisada;Practicar ejercicios que provoquen sensaciones físicas temidas bajo indicación clínica.;Reducir miedo a sensaciones corporales.;alto;supervisado;T008
TA016;Registro de ataques de pánico;Registrar síntomas, pensamientos, conducta y evolución temporal de cada crisis.;Comprender patrón de pánico.;medio;cada episodio;T002
TA017;Plan personal ante crisis de pánico;Crear una tarjeta con pasos de afrontamiento durante una crisis.;Aumentar sensación de control.;bajo;20 min;T003
TA018;Registro de obsesiones y compulsiones;Anotar obsesión, ansiedad, compulsión, alivio y coste a largo plazo.;Identificar mapa TOC.;medio;7 días;T002
TA019;ERP acordada con terapeuta;Realizar exposición a disparador evitando rituales pactados.;Reducir compulsiones y tolerar ansiedad.;alto;supervisado;T009
TA020;Retrasar ritual 5 minutos;Retrasar una compulsión durante un tiempo acordado antes de decidir si realizarla.;Incrementar control sobre compulsiones.;alto;7 días;T009
TA021;Actividad agradable diaria;Planificar y realizar una actividad agradable pequeña cada día.;Incrementar reforzamiento positivo.;bajo;7 días;T010
TA022;Actividad de dominio;Realizar una tarea breve que genere sensación de eficacia o avance.;Reducir apatía y mejorar autoeficacia.;bajo;7 días;T010
TA023;Plan semanal de actividades;Crear calendario con actividades de autocuidado, obligación y disfrute.;Estructurar rutina y evitar inactividad.;bajo;semanal;T011
TA024;Diario de ánimo y actividad;Registrar actividad realizada y estado de ánimo antes/después.;Detectar relación actividad-ánimo.;bajo;7 días;T010
TA025;Contacto social mínimo;Programar un contacto social breve y seguro.;Reducir aislamiento.;bajo;1-3 veces/semana;T027
TA026;Carta no enviada;Escribir una carta para expresar emociones sin enviarla.;Procesar emociones y necesidades.;bajo;30-60 min;T030
TA027;Ritual simbólico de cierre;Diseñar un gesto simbólico de despedida o cierre, si el paciente lo desea.;Facilitar procesamiento de pérdida.;medio;variable;T030
TA028;Mapa de red de apoyo;Identificar personas, recursos y contextos de apoyo disponibles.;Aumentar apoyo percibido y real.;bajo;20 min;T027
TA029;Lista de fortalezas personales;Escribir fortalezas, ejemplos y situaciones donde se han usado.;Mejorar autoconcepto.;bajo;20-30 min;T018
TA030;Diario de logros;Registrar tres acciones valiosas o logros diarios, aunque sean pequeños.;Contrarrestar sesgo negativo.;bajo;7 días;T018
TA031;Responder a la autocrítica;Escribir una respuesta amable y realista a una autocrítica frecuente.;Reducir diálogo interno punitivo.;bajo;15-20 min;T018
TA032;Aceptar un cumplido;Practicar responder a un cumplido sin negarlo ni minimizarlo.;Mejorar recepción de valoración positiva.;bajo;7 días;T018
TA033;Definir límites personales;Escribir límites necesarios, señales de invasión y forma de comunicarlos.;Mejorar autocuidado relacional.;bajo;30 min;T025
TA034;Practicar decir no;Ensayar una frase asertiva para rechazar una petición no deseada.;Aumentar asertividad.;bajo;15-30 min;T016
TA035;Guion DEAR / petición asertiva;Preparar una petición usando descripción, emoción, petición y consecuencia razonable.;Comunicar necesidades con claridad.;bajo;20-30 min;T016
TA036;Role-playing social;Practicar una situación social concreta con terapeuta o por escrito.;Mejorar seguridad interpersonal.;bajo;supervisado;T017
TA037;Iniciar conversación breve;Realizar una interacción breve planificada y registrar resultado real.;Reducir evitación social.;medio;1-3 veces/semana;T017
TA038;Diario de sueño;Registrar hora de acostarse, despertares, levantarse, siestas y calidad subjetiva.;Evaluar patrones de sueño.;bajo;14 días;T012
TA039;Rutina pre-sueño;Definir rutina de 30-60 minutos sin pantallas ni activación alta.;Favorecer inicio de sueño.;bajo;7-14 días;T012
TA040;Control de estímulos básico;Usar la cama solo para dormir/sexo y levantarse si no se concilia tras tiempo razonable.;Reasociar cama con sueño.;medio;14 días;T013
TA041;Registro de preocupaciones nocturnas;Anotar preocupaciones antes de dormir y posponer resolución al día siguiente.;Reducir rumiación nocturna.;bajo;7 días;T002
TA042;Matriz urgente/importante;Clasificar tareas laborales según urgencia e importancia.;Priorizar y reducir sobrecarga.;bajo;20 min;T023
TA043;Plan de desconexión laboral;Definir hora de cierre, ritual de cierre y límites de disponibilidad.;Reducir interferencia trabajo-descanso.;bajo;7 días;T025
TA044;Pausas programadas;Programar pausas breves de respiración/movimiento durante la jornada.;Reducir acumulación de tensión.;bajo;5 min varias veces/día;T026
TA045;Registro de energía;Registrar actividades que consumen o recargan energía.;Detectar patrones de burnout.;bajo;7 días;T002
TA046;Agenda con bloques de tiempo;Planificar el día en bloques concretos con descansos visibles.;Mejorar organización ejecutiva.;bajo;diario;T023
TA047;Tarea dividida en micro-pasos;Dividir una tarea evitada en pasos de menos de 10-15 minutos.;Reducir barrera de inicio.;bajo;20 min;T023
TA048;Técnica Pomodoro adaptada;Trabajar en bloques breves con pausa y registro de avance.;Aumentar inicio y mantenimiento de tarea.;bajo;25+5 min;T023
TA049;Eliminar distractores;Crear una lista de distractores y retirar uno durante el bloque de trabajo.;Mejorar concentración.;bajo;7 días;T023
TA050;Semáforo emocional;Identificar señales verde/amarillo/rojo de activación emocional.;Prevenir escalada de ira o impulsividad.;bajo;20 min;T024
TA051;Tiempo fuera pactado;Aplicar pausa conductual antes de responder en situación de ira.;Reducir respuestas impulsivas.;medio;cuando aparezca ira;T024
TA052;Análisis de episodio de ira;Revisar antecedentes, interpretación, emoción, conducta y consecuencias.;Aprender de episodios y prevenir repetición.;medio;20-30 min;T028
