fuente_id;organismo;titulo;url;notas
SEX_SRC001;WHO;Sexual health;https://www.who.int/health-topics/sexual-health;Marco general: sexualidad, relaciones, placer, orientación/identidad, violencia, coerción y salud sexual.
SEX_SRC002;WHO;Sexual Health Data - working definition;https://platform.who.int/data/sexual-and-reproductive-health-and-rights/sexual-health-data;Definición de salud sexual como bienestar físico, emocional, mental y social relacionado con la sexualidad.
SEX_SRC003;World Association for Sexual Health;Declaration of Sexual Rights / Sexual Health;https://www.worldsexualhealth.net/;Marco de derechos sexuales, consentimiento, respeto, no discriminación y bienestar sexual.
SEX_SRC004;NICE;Common mental health problems CG123;https://www.nice.org.uk/guidance/cg123;Referencia para ansiedad, depresión y atención escalonada cuando influyen en sexualidad.
SEX_SRC005;NICE;Post-traumatic stress disorder NG116;https://www.nice.org.uk/guidance/ng116;Referencia para trauma, seguridad, estabilización y derivación especializada.
SEX_SRC006;AUA;Erectile Dysfunction Guideline;https://www.auanet.org/guidelines-and-quality/guidelines/erectile-dysfunction-%28ed%29-guideline;"Guía urológica sobre disfunción eréctil; útil para criterios de derivación médica."
SEX_SRC007;AUA/SMSNA;Disorders of Ejaculation Guideline;https://www.auajournals.org/doi/10.1097/JU.0000000000002392;"Guía sobre trastornos de eyaculación; útil para derivación y enfoque multidisciplinar."
SEX_SRC008;EAU;Sexual and Reproductive Health Guidelines;https://uroweb.org/guidelines/sexual-and-reproductive-health;Guías europeas sobre salud sexual y reproductiva masculina.
SEX_SRC009;ISSWSH;Clinical Practice Guideline for systemic testosterone in women with HSDD;https://www.isswsh.org/resources/publications/405-international-society-for-the-study-of-women-s-sexual-health-clinical-practice-guideline-for-the-use-of-systemic-testosterone-for-hypoactive-sexual-desire-disorder-in-women;Referencia sobre deseo sexual hipoactivo femenino y evaluación médica específica.
SEX_SRC010;PMC;Clinical Practice Guidelines for Management of Sexual Dysfunction;https://pmc.ncbi.nlm.nih.gov/articles/PMC5310110/;"Guía clínica amplia; destaca psicoeducación, evaluación integral y abordaje biopsicosocial."
SEX_SRC011;PMC;Psychosexual therapy for premature ejaculation;https://pmc.ncbi.nlm.nih.gov/articles/PMC5001981/;Revisión sobre terapia psicosexual y abordaje combinado en eyaculación precoz.
SEX_SRC012;NHS Lothian RefHelp;Psychosexual Therapy;https://apps.nhslothian.scot/refhelp/guidelines/sexualreprohealth/sexual-dysfunctions/psychosexual-therapy/;Referencia práctica de terapia psicosexual y disfunciones sexuales.
SEX_SRC013;Cleveland Clinic;Sexual Dysfunction;https://my.clevelandclinic.org/health/diseases/9121-sexual-dysfunction;Información médica general sobre disfunciones sexuales, causas físicas y psicológicas.
SEX_SRC014;NIMH;Anxiety Disorders;https://www.nimh.nih.gov/health/topics/anxiety-disorders;Referencia sobre ansiedad, que puede interactuar con rendimiento sexual, evitación e hipervigilancia.
SEX_SRC015;CDC;STI Prevention;https://www.cdc.gov/sti/prevention/index.html;Referencia para prevención, salud sexual, pruebas, comunicación y reducción de riesgos.
SEX_SRC016;NICE;Menopause NG23;https://www.nice.org.uk/guidance/ng23;Referencia para menopausia y síntomas que pueden afectar sexualidad y bienestar.
SEX_SRC017;ACOG;Female Sexual Dysfunction;https://www.acog.org/clinical/clinical-guidance/practice-bulletin/articles/2019/07/female-sexual-dysfunction;Referencia ginecológica sobre disfunción sexual femenina y necesidad de evaluación integral.
SEX_SRC018;APA;PTSD Clinical Practice Guideline;https://www.apa.org/ptsd-guideline;Referencia para trauma y tratamientos psicológicos basados en evidencia.
