documento_id;nombre;tipo;descripcion;problema_ids;nivel_riesgo
PSY2_D001;Informe psicológico inicial ampliado;Informe;Motivo, demanda, historia, hipótesis, objetivos, plan y recomendaciones.;Todos;medio
PSY2_D002;Plan terapéutico TDAH adulto;Plan;Objetivos, estrategias externas, tareas, adherencia, coordinación y revisión.;"PSY2_P001;PSY2_P002;PSY2_P003;PSY2_P004;PSY2_P005";medio
PSY2_D003;Plan de apoyo TEA adulto;Plan;Necesidades sensoriales/sociales, rutinas, ajustes, comunicación y objetivos.;"PSY2_P007;PSY2_P008;PSY2_P009;PSY2_P010;PSY2_P011";medio
PSY2_D004;Plan de exposición social;Plan;Jerarquía, predicciones, exposiciones, resultados y prevención de respuesta.;"PSY2_P017;PSY2_P018;PSY2_P020";medio
PSY2_D005;Plan de autoestima/autocompasión;Plan;Autocrítica, valores, fortalezas, tareas y seguimiento.;"PSY2_P021;PSY2_P022;PSY2_P023;PSY2_P024";bajo
PSY2_D006;Plan de perfeccionismo;Plan;Estándares, experimentos conductuales, exposición al error y revisión.;"PSY2_P025;PSY2_P026;PSY2_P027;PSY2_P028";bajo
PSY2_D007;Plan relacional y límites;Plan;Patrones, límites, comunicación, celos, dependencia y red de apoyo.;"PSY2_P029;PSY2_P030;PSY2_P031;PSY2_P032;PSY2_P033";medio
PSY2_D008;Plan de duelo;Plan;Historia de pérdida, rituales, vínculo, culpa, apoyo y reconstrucción.;"PSY2_P034;PSY2_P035;PSY2_P036;PSY2_P037";medio
PSY2_D009;Plan anti-burnout;Plan;Demandas-recursos, límites, recuperación, cambios y prevención.;"PSY2_P038;PSY2_P039;PSY2_P040;PSY2_P041";medio
PSY2_D010;Plan de estabilización;Plan;Grounding, recursos, señales de riesgo, apoyos y derivación si procede.;"PSY2_P042;PSY2_P043;PSY2_P044";alto
PSY2_D011;Informe de evolución psicológica;Informe;Objetivos trabajados, tareas, cambios, escalas, barreras y próximos pasos.;Todos;bajo
PSY2_D012;Informe de derivación/coordinación;Documento;Motivo, observaciones, riesgos, profesional sugerido y límites.;Todos;alto
PSY2_D013;Consentimiento/hoja informativa psicológica;Documento legal;Alcance, límites, confidencialidad, protección de datos y coordinación.;Todos;medio
