recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota
QUI_R0001;QUI_P001;QUI_T002;QUI_TA001;media;Adaptar al criterio del profesional
QUI_R0002;QUI_P001;QUI_T006;QUI_TA002;media;Adaptar al criterio del profesional
QUI_R0003;QUI_P001;QUI_T006;QUI_TA003;media;Adaptar al criterio del profesional
QUI_R0004;QUI_P001;QUI_T004;QUI_TA004;media;Adaptar al criterio del profesional
QUI_R0005;QUI_P001;QUI_T004;QUI_TA005;media;Adaptar al criterio del profesional
QUI_R0006;QUI_P001;QUI_T005;QUI_TA006;media;Adaptar al criterio del profesional
QUI_R0007;QUI_P001;QUI_T007;QUI_TA007;media;Adaptar al criterio del profesional
QUI_R0008;QUI_P001;QUI_T008;QUI_TA008;media;Adaptar al criterio del profesional
QUI_R0009;QUI_P002;QUI_T002;QUI_TA001;media;Adaptar al criterio del profesional
QUI_R0010;QUI_P002;QUI_T006;QUI_TA002;media;Adaptar al criterio del profesional
QUI_R0011;QUI_P002;QUI_T006;QUI_TA003;media;Adaptar al criterio del profesional
QUI_R0012;QUI_P002;QUI_T004;QUI_TA004;media;Adaptar al criterio del profesional
QUI_R0013;QUI_P002;QUI_T004;QUI_TA005;media;Adaptar al criterio del profesional
QUI_R0014;QUI_P002;QUI_T005;QUI_TA006;media;Adaptar al criterio del profesional
QUI_R0015;QUI_P002;QUI_T007;QUI_TA007;media;Adaptar al criterio del profesional
QUI_R0016;QUI_P002;QUI_T008;QUI_TA008;media;Adaptar al criterio del profesional
QUI_R0017;QUI_P003;QUI_T002;QUI_TA001;media;Adaptar al criterio del profesional
QUI_R0018;QUI_P003;QUI_T006;QUI_TA002;media;Adaptar al criterio del profesional
QUI_R0019;QUI_P003;QUI_T006;QUI_TA003;media;Adaptar al criterio del profesional
QUI_R0020;QUI_P003;QUI_T004;QUI_TA004;media;Adaptar al criterio del profesional
QUI_R0021;QUI_P003;QUI_T004;QUI_TA005;media;Adaptar al criterio del profesional
QUI_R0022;QUI_P003;QUI_T005;QUI_TA006;media;Adaptar al criterio del profesional
QUI_R0023;QUI_P003;QUI_T007;QUI_TA007;media;Adaptar al criterio del profesional
QUI_R0024;QUI_P003;QUI_T008;QUI_TA008;media;Adaptar al criterio del profesional
QUI_R0025;QUI_P004;QUI_T002;QUI_TA001;media;Adaptar al criterio del profesional
QUI_R0026;QUI_P004;QUI_T006;QUI_TA002;media;Adaptar al criterio del profesional
QUI_R0027;QUI_P004;QUI_T006;QUI_TA003;media;Adaptar al criterio del profesional
QUI_R0028;QUI_P004;QUI_T004;QUI_TA004;media;Adaptar al criterio del profesional
QUI_R0029;QUI_P004;QUI_T004;QUI_TA005;media;Adaptar al criterio del profesional
QUI_R0030;QUI_P004;QUI_T005;QUI_TA006;media;Adaptar al criterio del profesional
QUI_R0031;QUI_P004;QUI_T007;QUI_TA007;media;Adaptar al criterio del profesional
QUI_R0032;QUI_P004;QUI_T008;QUI_TA008;media;Adaptar al criterio del profesional
QUI_R0033;QUI_P005;QUI_T002;QUI_TA001;media;Adaptar al criterio del profesional
QUI_R0034;QUI_P005;QUI_T006;QUI_TA002;media;Adaptar al criterio del profesional
QUI_R0035;QUI_P005;QUI_T006;QUI_TA003;media;Adaptar al criterio del profesional
QUI_R0036;QUI_P005;QUI_T004;QUI_TA004;media;Adaptar al criterio del profesional
QUI_R0037;QUI_P005;QUI_T004;QUI_TA005;media;Adaptar al criterio del profesional
QUI_R0038;QUI_P005;QUI_T005;QUI_TA006;media;Adaptar al criterio del profesional
QUI_R0039;QUI_P005;QUI_T007;QUI_TA007;media;Adaptar al criterio del profesional
QUI_R0040;QUI_P005;QUI_T008;QUI_TA008;media;Adaptar al criterio del profesional
QUI_R0041;QUI_P006;QUI_T002;QUI_TA001;media;Adaptar al criterio del profesional
QUI_R0042;QUI_P006;QUI_T006;QUI_TA002;media;Adaptar al criterio del profesional
QUI_R0043;QUI_P006;QUI_T006;QUI_TA003;media;Adaptar al criterio del profesional
QUI_R0044;QUI_P006;QUI_T004;QUI_TA004;media;Adaptar al criterio del profesional
QUI_R0045;QUI_P006;QUI_T004;QUI_TA005;media;Adaptar al criterio del profesional
QUI_R0046;QUI_P006;QUI_T005;QUI_TA006;media;Adaptar al criterio del profesional
QUI_R0047;QUI_P006;QUI_T007;QUI_TA007;media;Adaptar al criterio del profesional
QUI_R0048;QUI_P006;QUI_T008;QUI_TA008;media;Adaptar al criterio del profesional
QUI_R0049;QUI_P007;QUI_T002;QUI_TA001;media;Adaptar al criterio del profesional
QUI_R0050;QUI_P007;QUI_T006;QUI_TA002;media;Adaptar al criterio del profesional
QUI_R0051;QUI_P007;QUI_T006;QUI_TA003;media;Adaptar al criterio del profesional
QUI_R0052;QUI_P007;QUI_T004;QUI_TA004;media;Adaptar al criterio del profesional
QUI_R0053;QUI_P007;QUI_T004;QUI_TA005;media;Adaptar al criterio del profesional
QUI_R0054;QUI_P007;QUI_T005;QUI_TA006;media;Adaptar al criterio del profesional
QUI_R0055;QUI_P007;QUI_T007;QUI_TA007;media;Adaptar al criterio del profesional
QUI_R0056;QUI_P007;QUI_T008;QUI_TA008;media;Adaptar al criterio del profesional
QUI_R0057;QUI_P008;QUI_T002;QUI_TA001;media;Adaptar al criterio del profesional
QUI_R0058;QUI_P008;QUI_T006;QUI_TA002;media;Adaptar al criterio del profesional
QUI_R0059;QUI_P008;QUI_T006;QUI_TA003;media;Adaptar al criterio del profesional
QUI_R0060;QUI_P008;QUI_T004;QUI_TA004;media;Adaptar al criterio del profesional
QUI_R0061;QUI_P008;QUI_T004;QUI_TA005;media;Adaptar al criterio del profesional
QUI_R0062;QUI_P008;QUI_T005;QUI_TA006;media;Adaptar al criterio del profesional
QUI_R0063;QUI_P008;QUI_T007;QUI_TA007;media;Adaptar al criterio del profesional
QUI_R0064;QUI_P008;QUI_T008;QUI_TA008;media;Adaptar al criterio del profesional
