tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
LOG_TA001;Registro de comunicación inicial;Registrar situaciones donde la comunicación resulta fácil/difícil y con quién ocurre.;Definir contexto funcional.;bajo;7 días;LOG_T001
LOG_TA002;Lista de objetivos comunicativos;Elegir 2-3 objetivos funcionales concretos para casa, colegio o trabajo.;Orientar intervención a participación real.;bajo;15-20 min;LOG_T001
LOG_TA003;Práctica de fonema objetivo;Practicar el fonema indicado en sílabas, palabras o frases según fase.;Mejorar producción articulatoria.;bajo;10 min/día;LOG_T002
LOG_TA004;Generalización en conversación;Usar el sonido trabajado en conversación breve supervisada por familia/profesional.;Transferir aprendizaje a habla espontánea.;medio;5-10 min/día;LOG_T002
LOG_TA005;Discriminación de pares mínimos;Escuchar o identificar pares de palabras que contrastan sonidos similares.;Mejorar percepción de contrastes fonológicos.;bajo;10 min/día;LOG_T003
LOG_TA006;Nombrar imágenes por categorías;Nombrar objetos o imágenes por campos semánticos.;Ampliar vocabulario expresivo.;bajo;10-15 min/día;LOG_T004
LOG_TA007;Comprensión de instrucciones;Seguir instrucciones de 1-3 pasos adaptadas a nivel.;Mejorar comprensión auditiva.;bajo;10 min/día;LOG_T004
LOG_TA008;Expansión de frases;El adulto reformula y amplía frases del niño durante juego o rutina.;Estimular lenguaje natural.;bajo;diario;LOG_T005
LOG_TA009;Habla lenta con pausas;Practicar lectura o conversación usando pausas y ritmo reducido.;Mejorar control de fluidez.;medio;10 min/día;LOG_T006
LOG_TA010;Registro de disfluencias;Registrar situaciones, emoción, frecuencia percibida y estrategias usadas.;Detectar patrones de tartamudez.;medio;7 días;LOG_T006
LOG_TA011;Plan de higiene vocal;Aplicar pautas de hidratación, descanso vocal y reducción de gritos/carraspeo.;Reducir sobrecarga vocal.;bajo;7-14 días;LOG_T007
LOG_TA012;Ejercicios de emisión suave;Practicar emisión vocal suave o resonante según pauta profesional.;Mejorar eficiencia vocal.;medio;5-10 min/día;LOG_T008
LOG_TA013;Praxias orofaciales pautadas;Realizar movimientos orofaciales indicados por el logopeda.;Mejorar conciencia/movilidad orofacial cuando proceda.;bajo;5 min/día;LOG_T009
LOG_TA014;Pauta de deglución segura;Aplicar recomendaciones de postura, ritmo o consistencia indicadas por profesional.;Aumentar seguridad en deglución.;alto;supervisado;LOG_T010
LOG_TA015;Ejercicios de rimas y sílabas;Identificar rimas, separar sílabas y jugar con sonidos.;Mejorar conciencia fonológica.;bajo;10 min/día;LOG_T011
LOG_TA016;Lectura repetida breve;Leer el mismo texto breve varias veces registrando precisión y comodidad.;Mejorar fluidez lectora.;bajo;10 min/día;LOG_T012
LOG_TA017;Uso de apoyo visual;Usar pictogramas o tablero en una rutina concreta.;Facilitar comunicación funcional.;medio;diario;LOG_T013
LOG_TA018;Practicar turnos conversacionales;Realizar conversación guiada respetando turnos y tema.;Mejorar pragmática.;bajo;10 min/día;LOG_T014
LOG_TA019;Pauta familiar semanal;Familia aplica una pauta concreta en una rutina diaria.;Generalizar intervención al entorno.;bajo;7 días;LOG_T015
LOG_TA020;Plan de mantenimiento;Definir rutina mínima de práctica tras mejora o alta.;Mantener logros.;bajo;20 min;LOG_T016
