AREA;PROBLEMA_OBJETIVO;DESCRIPCION_PROBLEMA;POBLACION;RIESGO_PROBLEMA;FUENTE_IDS;TECNICA_METODO;DESCRIPCION_TECNICA;RIESGO_TECNICA;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO_TAREA;RIESGO_TAREA;DURACION;PRIORIDAD;NOTA_PROFESIONAL
TDAH y autorregulación;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004";Psicoeducación al alumno y familia;Explicar perfil, fortalezas, necesidades y objetivos de intervención.;bajo;Mapa de fortalezas y necesidades;Identificar fortalezas, dificultades y apoyos necesarios.;Comprender perfil 2e.;bajo;sesión;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004";Agenda visual / planificación externa;Uso de agenda, calendario, pictos, checklist o panel semanal.;bajo;Panel semanal de tareas;Organizar exámenes, deberes, entregas y actividades en un panel semanal.;Externalizar planificación.;bajo;15 min semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004";Checklist de pasos;Convertir una tarea compleja en pasos visibles y verificables.;bajo;Checklist de mochila y materiales;Lista visible para preparar mochila, deberes y materiales del día siguiente.;Reducir olvidos y dependencia adulta.;bajo;5-10 min diarios;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004";Temporizador visual / Pomodoro adaptado;Bloques de trabajo breves con pausa anticipada.;bajo;Pomodoro adaptado 10-5;Trabajar 10 minutos y descansar 5, ajustando según edad y tolerancia.;Sostener atención con descansos previstos.;bajo;diario;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004";Fragmentación de tareas;Dividir tareas largas en microtareas con inicio claro.;bajo;Primer paso visible;Escribir el primer paso mínimo de una tarea antes de empezar.;Reducir bloqueo de inicio.;bajo;cada tarea;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Juego de espera de turno;Practicar esperar turno en juego breve con refuerzo inmediato.;Reducir impulsividad.;bajo;2-3 veces/semana;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Registro de autoeficacia;Anotar esfuerzo, estrategia usada y avance pequeño.;Mejorar autoconcepto académico.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Menú de recompensas educativas;Crear lista de reforzadores no excesivos y acordados.;Mejorar motivación.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004";Autoinstrucciones;Enseñar diálogo interno: paro, miro, pienso, hago, reviso.;bajo;Tarjeta de autoinstrucciones;Crear tarjeta: paro, leo, subrayo, hago, reviso.;Mejorar control ejecutivo.;bajo;diario;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004";Entrenamiento de memoria de trabajo;Reducir carga, externalizar información y practicar estrategias.;bajo;Instrucciones de 1-2-3 pasos;Practicar seguir instrucciones graduadas y comprobar cumplimiento.;Mejorar memoria de trabajo.;bajo;diario;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
