recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
LOG_R0001;LOG_P001;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0002;LOG_P001;LOG_T001;LOG_TA002;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0003;LOG_P001;LOG_T001;LOG_TA003;alta;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0004;LOG_P001;LOG_T001;LOG_TA004;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0005;LOG_P001;LOG_T002;LOG_TA005;alta;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0006;LOG_P001;LOG_T002;LOG_TA006;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0007;LOG_P001;LOG_T002;LOG_TA007;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0008;LOG_P001;LOG_T002;LOG_TA008;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0009;LOG_P001;LOG_T003;LOG_TA009;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0010;LOG_P001;LOG_T003;LOG_TA010;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0011;LOG_P001;LOG_T027;LOG_TA060;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0012;LOG_P001;LOG_T027;LOG_TA062;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0013;LOG_P001;LOG_T027;LOG_TA066;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0014;LOG_P001;LOG_T029;LOG_TA063;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0015;LOG_P001;LOG_T029;LOG_TA068;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0016;LOG_P002;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0017;LOG_P002;LOG_T001;LOG_TA002;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0018;LOG_P002;LOG_T001;LOG_TA003;alta;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
LOG_R0019;LOG_P002;LOG_T001;LOG_TA004;media;El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
