recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
FIS2_R0001;FIS2_P001;FIS2_T001;FIS2_TA001;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0002;FIS2_P001;FIS2_T002;FIS2_TA002;alta;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0003;FIS2_P001;FIS2_T002;FIS2_TA062;alta;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0004;FIS2_P001;FIS2_T003;FIS2_TA004;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0005;FIS2_P001;FIS2_T003;FIS2_TA089;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0006;FIS2_P001;FIS2_T004;FIS2_TA003;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0007;FIS2_P001;FIS2_T004;FIS2_TA087;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0008;FIS2_P001;FIS2_T004;FIS2_TA088;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0009;FIS2_P001;FIS2_T005;FIS2_TA005;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0010;FIS2_P001;FIS2_T060;FIS2_TA082;alta;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0011;FIS2_P001;FIS2_T060;FIS2_TA083;alta;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0012;FIS2_P001;FIS2_T061;FIS2_TA008;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0013;FIS2_P002;FIS2_T001;FIS2_TA001;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0014;FIS2_P002;FIS2_T002;FIS2_TA002;alta;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0015;FIS2_P002;FIS2_T002;FIS2_TA062;alta;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0016;FIS2_P002;FIS2_T003;FIS2_TA004;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0017;FIS2_P002;FIS2_T003;FIS2_TA089;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0018;FIS2_P002;FIS2_T004;FIS2_TA003;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0019;FIS2_P002;FIS2_T004;FIS2_TA087;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0020;FIS2_P002;FIS2_T004;FIS2_TA088;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0021;FIS2_P002;FIS2_T005;FIS2_TA005;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0022;FIS2_P002;FIS2_T060;FIS2_TA082;alta;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0023;FIS2_P002;FIS2_T060;FIS2_TA083;alta;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0024;FIS2_P002;FIS2_T061;FIS2_TA008;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0025;FIS2_P003;FIS2_T001;FIS2_TA001;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0026;FIS2_P003;FIS2_T002;FIS2_TA002;alta;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0027;FIS2_P003;FIS2_T002;FIS2_TA062;alta;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0028;FIS2_P003;FIS2_T003;FIS2_TA004;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0029;FIS2_P003;FIS2_T003;FIS2_TA089;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0030;FIS2_P003;FIS2_T004;FIS2_TA003;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
FIS2_R0031;FIS2_P003;FIS2_T004;FIS2_TA087;media;Adaptar a valoración individual, irritabilidad, fase, dolor, función, comorbilidades, objetivos y tolerancia. Derivar si hay banderas rojas, síntomas neurológicos progresivos, dolor no mecánico o señales de alarma.
