tecnica_id;nombre;descripcion;nivel_riesgo;tipo_intervencion;fuente_ids
NUT2_T001;Entrevista nutricional inicial;Recoger motivo, historia, horarios, gustos, salud, medicación, restricciones, objetivos y señales de derivación.;bajo;evaluación;"NUT2_SRC004;NUT2_SRC014"
NUT2_T002;Objetivos SMART nutricionales;Convertir metas genéricas en objetivos concretos, medibles y revisables.;bajo;planificación;NUT2_SRC004
NUT2_T003;Educación del plato saludable;Usar proporciones visuales de verduras, proteína, carbohidratos, grasas y agua.;bajo;educativa;"NUT2_SRC001;NUT2_SRC010"
NUT2_T004;Lectura de etiquetas;Interpretar ración, energía, proteína, fibra, azúcar, sal, grasas e ingredientes.;bajo;educativa;"NUT2_SRC004;NUT2_SRC011"
NUT2_T005;Estimación de raciones con método visual;Usar mano, plato, tazas o referencias visuales para cantidades.;bajo;educativa;"NUT2_SRC004;NUT2_SRC010"
NUT2_T006;Aumento de frutas y verduras;Introducir variedad vegetal de forma gradual y práctica.;bajo;hábitos;"NUT2_SRC001;NUT2_SRC010"
NUT2_T007;Aumento de fibra;Incluir legumbres, frutas, verduras, integrales, semillas y frutos secos según tolerancia.;bajo;hábitos;"NUT2_SRC001;NUT2_SRC013"
NUT2_T008;Reducción de ultraprocesados;Sustituir gradualmente productos poco saciantes por alternativas más nutritivas.;bajo;hábitos;"NUT2_SRC001;NUT2_SRC011"
NUT2_T009;Planificación semanal de menús;Crear menú realista según horarios, gustos, presupuesto y objetivo.;bajo;planificación;"NUT2_SRC010;NUT2_SRC011"
NUT2_T010;Lista de compra estratégica;Transformar menú en lista de compra organizada por grupos.;bajo;planificación;NUT2_SRC010
NUT2_T011;Batch cooking flexible;Preparar bases combinables: proteína, carbohidrato, verduras y salsas simples.;bajo;planificación;NUT2_SRC011
NUT2_T012;Estrategia de comidas fuera;Tomar decisiones en restaurantes/cafeterías sin rigidez ni abandono.;bajo;planificación;"NUT2_SRC010;NUT2_SRC012"
NUT2_T013;Déficit energético moderado;Crear reducción energética sostenible sin pautas extremas.;medio;control_peso;"NUT2_SRC003;NUT2_SRC012"
NUT2_T014;Control de saciedad;Ajustar proteína, fibra, volumen, horarios y densidad energética.;bajo;control_peso;"NUT2_SRC001;NUT2_SRC014"
NUT2_T015;Seguimiento de peso y medidas;Usar tendencia de peso, cintura, fotos y adherencia, no solo un dato aislado.;bajo;seguimiento;"NUT2_SRC003;NUT2_SRC012"
NUT2_T016;Mantenimiento post-pérdida;Transición gradual a mantenimiento, hábitos, vigilancia flexible y prevención de rebote.;medio;control_peso;NUT2_SRC003
NUT2_T017;Proteína objetivo;Asegurar proteína suficiente según objetivo, preferencias y contexto.;bajo;deportiva;NUT2_SRC016
NUT2_T018;Timing alrededor del entrenamiento;Organizar comida pre/post entreno de forma práctica.;bajo;deportiva;NUT2_SRC016
NUT2_T019;Nutrición para hipertrofia;Ajustar energía, proteína, reparto y seguimiento de rendimiento/peso.;bajo;deportiva;NUT2_SRC016
NUT2_T020;Nutrición para resistencia;Planificar energía, carbohidratos, hidratación y recuperación para sesiones largas.;medio;deportiva;NUT2_SRC016
NUT2_T021;Educación de recomposición corporal;Explicar expectativas, fuerza, proteína, medidas y ritmos realistas.;bajo;composición_corporal;NUT2_SRC016
NUT2_T022;Calidad de carbohidratos;Priorizar hidratos con fibra, legumbres, integrales, frutas y verduras.;bajo;metabólica;"NUT2_SRC001;NUT2_SRC007"
NUT2_T023;Reducción de bebidas azucaradas;Sustituir bebidas azucaradas por agua u opciones sin azúcar, si procede.;bajo;metabólica;"NUT2_SRC001;NUT2_SRC007"
NUT2_T024;Patrón mediterráneo/cardiosaludable;Fomentar alimentos frescos, aceite de oliva, legumbres, pescado, frutos secos y vegetales.;bajo;cardiovascular;"NUT2_SRC013;NUT2_SRC014"
NUT2_T025;Reducción de sal;Disminuir sal añadida y productos salados, usando especias/alternativas.;medio;cardiovascular;"NUT2_SRC001;NUT2_SRC013"
