fuente_id;organismo;titulo;url;notas
NUT2_SRC001;WHO;Healthy diet;https://www.who.int/news-room/fact-sheets/detail/healthy-diet;Referencia general sobre dieta saludable, frutas/verduras, grasas, azúcares, sal y recomendaciones poblacionales.
NUT2_SRC002;WHO;Physical activity;https://www.who.int/news-room/fact-sheets/detail/physical-activity;"Actividad física y salud; útil para coordinación nutrición-actividad."
NUT2_SRC003;NICE;Overweight and obesity management NG246;https://www.nice.org.uk/guidance/ng246;Prevención y manejo de sobrepeso, obesidad y adiposidad central en niños, jóvenes y adultos.
NUT2_SRC004;Academy of Nutrition and Dietetics;eatright.org;https://www.eatright.org/;Información nutricional profesional y divulgativa basada en dietética.
NUT2_SRC005;Academy of Nutrition and Dietetics;Nutrition Fact Check;https://www.eatrightpro.org/nutritionfactcheck;Revisiones de evidencia sobre temas nutricionales para profesionales.
NUT2_SRC006;Diabetes UK;Eating with diabetes;https://www.diabetes.org.uk/living-with-diabetes/eating;Referencia práctica para alimentación en diabetes.
NUT2_SRC007;Diabetes UK;Healthy eating tips for prediabetes and lowering type 2 risk;https://www.diabetes.org.uk/about-diabetes/type-2-diabetes/prevention/healthy-eating-tips-to-lower-type-2-risk;Consejos de alimentación para prediabetes y reducción del riesgo de diabetes tipo 2.
NUT2_SRC008;WHO;Diabetes;https://www.who.int/news-room/fact-sheets/detail/diabetes;Referencia general sobre diabetes y riesgo metabólico.
NUT2_SRC009;NIDDK;Keep Active & Eat Healthy to Improve Well-being & Feel Great;https://www.niddk.nih.gov/health-information/weight-management/keep-active-eat-healthy-feel-great;Peso saludable, alimentación y actividad física.
NUT2_SRC010;Canada Food Guide;Healthy eating recommendations;https://food-guide.canada.ca/;Guía alimentaria práctica basada en patrones y hábitos.
NUT2_SRC011;NHS;Eat well;https://www.nhs.uk/live-well/eat-well/;Consejos prácticos de alimentación saludable, etiquetas, sal, azúcar y grasa.
NUT2_SRC012;NHS;Weight loss;https://www.nhs.uk/live-well/healthy-weight/;Referencia práctica para control de peso.
NUT2_SRC013;American Heart Association;Healthy eating;https://www.heart.org/en/healthy-living/healthy-eating;Alimentación cardiovascular, grasas, sal, fibra y patrones saludables.
NUT2_SRC014;British Dietetic Association;Food facts;https://www.bda.uk.com/food-health/food-facts.html;Hojas informativas dietéticas sobre múltiples temas.
NUT2_SRC015;ESPEN;ESPEN guidelines;https://www.espen.org/guidelines-home/espen-guidelines;Referencia de nutrición clínica y riesgo nutricional.
NUT2_SRC016;ISSN;International Society of Sports Nutrition position stands;https://jissn.biomedcentral.com/;Nutrición deportiva, proteína, suplementos y composición corporal.
NUT2_SRC017;Monash FODMAP;Low FODMAP Diet;https://www.monashfodmap.com/;Referencia sobre dieta baja en FODMAP supervisada para síntomas digestivos.
NUT2_SRC018;Coeliac UK;Gluten free diet and coeliac disease;https://www.coeliac.org.uk/information-and-support/coeliac-disease/;Referencia para enfermedad celíaca y dieta sin gluten.
