fuente_id;organismo;titulo;url;notas
LOG_SRC001;ASHA;Practice Portal;https://www.asha.org/practice-portal/;Portal profesional de ASHA con temas clínicos revisados para audiología y logopedia/fonoaudiología.
LOG_SRC002;ASHA;Clinical Topics;https://www.asha.org/practice-portal/clinical-topics/;Listado de temas clínicos: trastornos de sonidos del habla, lenguaje, fluidez, voz, disfagia, afasia, CAA, etc.
LOG_SRC003;RCSLT;Clinical information and resources for SLTs;https://www.rcslt.org/speech-and-language-therapy/clinical-information/;Recursos clínicos del Royal College of Speech and Language Therapists.
LOG_SRC004;RCSLT;Eating, drinking and swallowing guidance;https://www.rcslt.org/members/clinical-guidance/eating-drinking-and-swallowing/eating-drinking-and-swallowing-guidance/;Guía de buenas prácticas para dificultades de alimentación, bebida y deglución.
LOG_SRC005;RCSLT;Aphasia clinical information;https://www.rcslt.org/speech-and-language-therapy/clinical-information/aphasia/;Información clínica sobre afasia como trastorno del lenguaje por daño cerebral.
LOG_SRC006;NHS;Speech and language therapy;https://www.nhs.uk/conditions/speech-and-language-therapy/;Información sanitaria general sobre terapia del habla y lenguaje.
LOG_SRC007;NICE;Cerebral palsy in under 25s - speech and language;https://www.nice.org.uk/guidance/ng62/ifp/chapter/speech-and-language;Guía NICE sobre habla y lenguaje en parálisis cerebral en menores de 25 años.
LOG_SRC008;NIDCD / NIH;Quick Statistics About Voice, Speech, Language;https://www.nidcd.nih.gov/health/statistics/quick-statistics-voice-speech-language;Estadísticas actualizadas sobre problemas de voz, habla y lenguaje.
LOG_SRC009;NIDCD / NIH;About 1 in 12 children has a disorder related to voice, speech, language, or swallowing;https://www.nidcd.nih.gov/news/2015/about-1-12-children-has-disorder-related-voice-speech-language-or-swallowing;Datos poblacionales sobre trastornos de voz, habla, lenguaje o deglución en niños.
LOG_SRC010;National Clinical Guideline for Stroke;Communication and language;https://www.strokeguideline.org/chapter/communication-and-language/;Recomendaciones sobre comunicación, lenguaje y participación tras ictus.
LOG_SRC011;RCSLT;Motor disorders clinical information;https://www.rcslt.org/speech-and-language-therapy/clinical-information/motor-disorders/;Recursos sobre dificultades motoras, comunicación y disfagia.
LOG_SRC012;ASHA Evidence Maps;Evidence Maps;https://apps.asha.org/EvidenceMaps/;Mapas de evidencia para intervenciones en habla, lenguaje, comunicación y áreas relacionadas.
