tecnica_id;nombre;descripcion;nivel_riesgo
LOG_T001;Evaluación logopédica funcional;Recogida de historia, observación, muestras de habla/lenguaje, objetivos y participación.;medio
LOG_T002;Entrenamiento articulatorio;Trabajo de colocación, producción, repetición y generalización de fonemas.;bajo
LOG_T003;Discriminación auditiva;Ejercicios para diferenciar sonidos, errores y contrastes fonológicos.;bajo
LOG_T004;Estimulación del lenguaje;Actividades para vocabulario, comprensión, expresión y estructuras lingüísticas.;bajo
LOG_T005;Modelado y expansión;Técnicas de reformulación, expansión y modelado de lenguaje en contexto.;bajo
LOG_T006;Fluidez y ritmo;Estrategias de habla lenta, pausas, inicio suave y control de ritmo.;medio
LOG_T007;Higiene vocal;Pautas de cuidado vocal, hidratación, descanso y reducción de abuso vocal.;bajo
LOG_T008;Técnica vocal / resonancia;Ejercicios de emisión eficiente, resonancia y reducción de tensión.;medio
LOG_T009;Praxias orofaciales;Movilidad, coordinación y conciencia de estructuras orofaciales cuando está indicado.;bajo
LOG_T010;Deglución segura;Pautas y ejercicios relacionados con seguridad/eficiencia deglutoria bajo supervisión.;alto
LOG_T011;Conciencia fonológica;Segmentación, rimas, sílabas, fonemas y manipulación sonora.;bajo
LOG_T012;Lectura guiada;Lectura repetida, precisión, velocidad y comprensión adaptada.;bajo
LOG_T013;Comunicación aumentativa/alternativa;Uso de apoyos visuales, tableros, pictogramas o sistemas alternativos.;medio
LOG_T014;Pragmática y conversación;Turnos, temas, intención comunicativa, inferencias y habilidades sociales comunicativas.;bajo
LOG_T015;Plan domiciliario y familia;Pautas para práctica en casa, familia y entorno escolar/laboral.;bajo
LOG_T016;Prevención y mantenimiento;Rutina de seguimiento, generalización y prevención de recaídas.;bajo
