tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
PSY2_TA001;Registro diario de atención y distracciones;Anotar situación, distractor, duración y estrategia usada.;Detectar patrones atencionales.;bajo;7 días;PSY2_T016
PSY2_TA002;Checklist de inicio de tarea;Antes de empezar: objetivo, primer paso, materiales y tiempo estimado.;Reducir fricción inicial.;bajo;diario;PSY2_T017
PSY2_TA003;Bloques de trabajo con temporizador;Usar bloques breves con descanso planificado.;Mejorar adherencia y foco.;bajo;diario;PSY2_T018
PSY2_TA004;Agenda externa semanal;Volcar citas, tareas, vencimientos y recordatorios en un sistema único.;Compensar memoria/organización.;bajo;semanal;PSY2_T016
PSY2_TA005;Pausa de 10 segundos antes de responder;Parar, respirar y elegir respuesta antes de actuar.;Reducir impulsividad.;bajo;diario;PSY2_T019
PSY2_TA006;Mapa de sobrecarga sensorial;Registrar estímulos, intensidad, contexto y recuperación.;Identificar perfil sensorial.;medio;7 días;PSY2_T030
PSY2_TA007;Plan de regulación sensorial;Definir pausas, auriculares, luz, espacios y señales de descanso.;Prevenir sobrecarga.;medio;semanal;PSY2_T030
PSY2_TA008;Guion para situación social difícil;Preparar inicio, petición, límite y salida de una conversación.;Aumentar seguridad social.;bajo;antes de situación;PSY2_T031
PSY2_TA009;Plan de cambios imprevistos;Crear protocolo: aviso, pausa, opciones y siguiente paso.;Reducir rigidez ante cambios.;bajo;semanal;PSY2_T029
PSY2_TA010;Psicoeducación sobre neurodivergencia;Revisar fortalezas, dificultades, mitos y necesidades de apoyo.;Mejorar autocomprensión.;bajo;sesión;PSY2_T001
PSY2_TA011;Registro ABC emocional;Registrar situación, pensamiento, emoción, impulso y conducta.;Comprender ciclos emocionales.;bajo;7 días;PSY2_T002
PSY2_TA012;Rueda de emociones;Nombrar emoción principal, secundaria e intensidad 0-10.;Mejorar identificación emocional.;bajo;diario;PSY2_T009
PSY2_TA013;Plan de tolerancia al malestar;Elegir 3 estrategias para momentos de intensidad alta.;Reducir conducta impulsiva.;medio;semanal;PSY2_T010
PSY2_TA014;Práctica de mindfulness breve;3-5 minutos de atención a respiración, sonidos o cuerpo.;Entrenar observación.;bajo;diario;PSY2_T011
PSY2_TA015;Defusión de pensamientos repetitivos;Escribir pensamiento como 'estoy teniendo el pensamiento de...'.;Tomar distancia de rumiación.;bajo;cuando aparezca;PSY2_T012
PSY2_TA016;Tarjeta de pausa emocional;Crear tarjeta con pasos: parar, respirar, nombrar, elegir.;Facilitar autocontrol.;bajo;diario;PSY2_T019
PSY2_TA017;Jerarquía de exposición social;Listar situaciones sociales de menor a mayor dificultad.;Planificar exposición gradual.;medio;30 min;PSY2_T005
PSY2_TA018;Exposición social breve;Realizar una interacción pequeña y registrar resultado real.;Reducir evitación.;medio;semanal;PSY2_T005
PSY2_TA019;Reducir conducta de seguridad;Elegir una conducta de seguridad social y reducirla progresivamente.;Aumentar aprendizaje correctivo.;medio;semanal;PSY2_T006
PSY2_TA020;Práctica de decir no;Ensayar una negativa breve, amable y firme.;Mejorar límites.;bajo;semanal;PSY2_T008
PSY2_TA021;Role-play de conversación;Practicar iniciar, mantener y cerrar conversación.;Mejorar habilidades sociales.;bajo;sesión;PSY2_T007
