area_id;nombre;descripcion
PSY2_A001;Neurodivergencia adulta;TDAH, TEA, rasgos autistas, masking, adaptación vital y psicoeducación.
PSY2_A002;Regulación emocional;Impulsividad, rumiación, tolerancia a frustración, identificación emocional y autocontrol.
PSY2_A003;Ansiedad social y habilidades sociales;Miedo a evaluación, evitación, asertividad, conversación y exposición social.
PSY2_A004;Autoestima, autoconcepto y vergüenza;Valor personal, autocrítica, imagen, vergüenza y comparación.
PSY2_A005;Perfeccionismo y síndrome del impostor;Autoexigencia, miedo al error, bloqueo, estándares rígidos y desvalorización de logros.
PSY2_A006;Relaciones, apego y dependencia emocional;Apego inseguro, límites, celos, dependencia, ruptura y patrones relacionales.
PSY2_A007;Duelo y pérdidas;Duelo familiar, sentimental, cambios vitales, identidad y reconstrucción de significado.
PSY2_A008;Estrés laboral y burnout;Sobrecarga, límites laborales, recuperación, sentido, agotamiento y prevención.
PSY2_A009;Trauma y experiencias adversas;Síntomas postraumáticos, seguridad, estabilización, disparadores y derivación.
PSY2_A010;Hábitos, procrastinación y funcionamiento diario;Rutinas, organización, activación conductual, evitación y adherencia.
