evaluacion_id;nombre;area_uso;tipo;notas;problema_ids;nivel_riesgo
FIS2_E001;Entrevista fisioterapéutica inicial;General;Entrevista;Motivo, evolución, salud, medicación, actividad, trabajo, sueño, objetivos y riesgos.;Todos;bajo
FIS2_E002;Cribado de banderas rojas;Seguridad;Cribado;Síntomas sistémicos, trauma, déficit neurológico, dolor no mecánico, infección, cáncer, cauda equina, etc.;"FIS2_P002;FIS2_P003;FIS2_P017;FIS2_P026;FIS2_P059;FIS2_P072;FIS2_P087;FIS2_P088";alto
FIS2_E003;Escala dolor 0-10 / irritabilidad;Dolor;Seguimiento;Dolor actual, máximo, mínimo, comportamiento 24h y respuesta a carga.;Todos;bajo
FIS2_E004;PSFS - Patient Specific Functional Scale;Función;Cuestionario/escala;Actividades relevantes puntuadas por la persona.;Todos;bajo
FIS2_E005;Rango articular cervical;Cervical;Medición;Flexión, extensión, rotación, inclinación y síntomas asociados.;"FIS2_P006;FIS2_P007;FIS2_P008;FIS2_P009;FIS2_P010";bajo
FIS2_E006;Rango lumbar y test funcional;Lumbar;Observación/medición;Flexión, extensión, movimientos repetidos, sit-to-stand, marcha o tarea específica.;"FIS2_P015;FIS2_P016;FIS2_P018;FIS2_P019;FIS2_P020";medio
FIS2_E007;Screening neurológico básico miembro inferior;Lumbar/seguridad;Cribado;Fuerza, sensibilidad, reflejos y signos de alarma si radicular.;FIS2_P017;alto
FIS2_E008;Rango hombro activo/pasivo;Hombro;Medición;Elevación, rotaciones, dolor, compensaciones y limitación funcional.;"FIS2_P021;FIS2_P022;FIS2_P023;FIS2_P026";medio
FIS2_E009;Fuerza manguito/escápula;Hombro;Test muscular;Rotación externa, abducción, control escapular y tolerancia a carga.;"FIS2_P024;FIS2_P025";medio
FIS2_E010;Fuerza agarre;Codo/mano;Medición;Dinamometría si disponible o test funcional de agarre.;"FIS2_P027;FIS2_P031";bajo
FIS2_E011;Test apoyo unipodal/control pélvico;Cadera;Observación;Pelvis, rodilla, equilibrio y dolor en apoyo unipodal.;"FIS2_P034;FIS2_P036";bajo
FIS2_E012;Step down / sentadilla funcional;Rodilla;Observación;Control de rodilla, dolor, rango, equilibrio y estrategia.;"FIS2_P037;FIS2_P038;FIS2_P041";medio
FIS2_E013;5x Sit-to-Stand;Rodilla/mayores;Test funcional;Tiempo/calidad al levantarse y sentarse cinco veces.;"FIS2_P039;FIS2_P073;FIS2_P074;FIS2_P075";medio
FIS2_E014;Test rodilla-pared;Tobillo;Medición;Dorsiflexión de tobillo en carga.;"FIS2_P043;FIS2_P044;FIS2_P047";bajo
FIS2_E015;Elevaciones de talón;Aquiles/pantorrilla;Test funcional;Repeticiones, dolor, control y simetría.;"FIS2_P045;FIS2_P049;FIS2_P057";medio
FIS2_E016;Equilibrio monopodal;Tobillo/mayores;Test;Tiempo/calidad con apoyo cercano si procede.;"FIS2_P043;FIS2_P044;FIS2_P073;FIS2_P076";medio
FIS2_E017;Registro carga-dolor tendón 24h;Tendón;Autorregistro;Carga realizada, dolor durante/después y respuesta al día siguiente.;"FIS2_P045;FIS2_P049;FIS2_P050;FIS2_P051;FIS2_P052";medio
FIS2_E018;Criterios retorno carrera/deporte;Readaptación;Checklist;Dolor, fuerza, saltos, confianza, tolerancia, simetrías y progresión.;"FIS2_P054;FIS2_P055;FIS2_P056;FIS2_P057;FIS2_P058";medio
FIS2_E019;Registro postoperatorio/fase protocolo;Postoperatorio;Seguimiento;Fase, restricciones, signos de alarma, movilidad, dolor y adherencia.;"FIS2_P059;FIS2_P060;FIS2_P061;FIS2_P062;FIS2_P063";alto
FIS2_E020;Escala de equilibrio/marcha neurológica;Neurológica;Observación;Marcha, transferencias, equilibrio, ayuda técnica y seguridad.;"FIS2_P064;FIS2_P065;FIS2_P066;FIS2_P067;FIS2_P068";alto
FIS2_E021;Escala de esfuerzo percibido;Respiratoria/funcional;Seguimiento;RPE, disnea percibida, recuperación y síntomas.;"FIS2_P069;FIS2_P070;FIS2_P071;FIS2_P072";medio
FIS2_E022;Timed Up and Go;Mayores/caídas;Test funcional;"Levantarse, caminar, girar y sentarse; útil en movilidad funcional.";"FIS2_P073;FIS2_P074;FIS2_P076";medio
FIS2_E023;Registro de miedo al movimiento;Dolor persistente;Autorregistro;Actividad evitada, miedo 0-10, creencia y exposición graduada.;"FIS2_P005;FIS2_P078;FIS2_P079;FIS2_P080;FIS2_P081";medio
FIS2_E024;Cuestionario de discapacidad región específica;Función;Cuestionario;ODI, NDI, DASH, LEFS u otro si procede y licencia lo permite.;Todos;bajo
FIS2_E025;Evaluación ergonómica básica;Ergonomía;Checklist;Puesto, pausas, carga, pantalla, silla, hábitos y variabilidad.;"FIS2_P082;FIS2_P083;FIS2_P084";bajo
FIS2_E026;Cribado suelo pélvico y derivación;Suelo pélvico;Cribado;Incontinencia, dolor, prolapso, posparto complejo u otros síntomas.;"FIS2_P086;FIS2_P087;FIS2_P088;FIS2_P089;FIS2_P090";alto
FIS2_E027;Adherencia al programa domiciliario;Seguimiento;Indicador;Ejercicios realizados, barreras, dolor y utilidad percibida.;Todos;bajo
FIS2_E028;Informe de evolución funcional;Seguimiento;Informe breve;Dolor, función, tests, adherencia, barreras y próximos objetivos.;Todos;bajo
