group_id;region_id;bodymuscles_id
BMG06;BM001;abs-lower-left
BMG06;BM002;abs-lower-right
BMG06;BM003;abs-upper-left
BMG06;BM004;abs-upper-right
BMG06;BM005;obliques-left
BMG06;BM006;obliques-right
BMG06;BM007;serratus-anterior-left
BMG06;BM008;serratus-anterior-right
BMG03;BM009;forearm-extensors-left
BMG03;BM010;forearm-extensors-right
BMG03;BM011;forearm-flexors-left
BMG03;BM012;forearm-flexors-right
BMG03;BM013;triceps-lateral-left
BMG03;BM014;triceps-lateral-right
BMG03;BM015;triceps-long-left
BMG03;BM016;triceps-long-right
BMG03;BM017;biceps-left
BMG03;BM018;biceps-right
BMG03;BM019;elbow-left
BMG03;BM020;elbow-right
BMG03;BM021;forearm-left
BMG03;BM022;forearm-right
BMG05;BM023;gluteus-maximus-left
BMG05;BM024;gluteus-maximus-right
BMG05;BM025;gluteus-medius-left
BMG05;BM026;gluteus-medius-right
BMG05;BM027;lats-lower-left
BMG05;BM028;lats-lower-right
BMG05;BM029;lats-mid-left
BMG05;BM030;lats-mid-right
BMG05;BM031;lats-upper-left
BMG05;BM032;lats-upper-right
BMG05;BM033;lower-back-erectors-left
BMG05;BM034;lower-back-erectors-right
BMG05;BM035;lower-back-ql-left
BMG05;BM036;lower-back-ql-right
BMG05;BM037;spine
BMG04;BM038;chest-lower-left
BMG04;BM039;chest-lower-right
BMG04;BM040;chest-upper-left
BMG04;BM041;chest-upper-right
BMG08;BM042;foot-back-left
BMG08;BM043;foot-back-right
BMG08;BM044;hand-back-left
BMG08;BM045;hand-back-right
BMG08;BM046;foot-left
BMG08;BM047;foot-right
BMG08;BM048;hand-left
BMG08;BM049;hand-right
BMG01;BM050;head-back
BMG01;BM051;nape
BMG01;BM052;face
BMG01;BM053;head
BMG01;BM054;neck-left
BMG01;BM055;neck-right
BMG07;BM056;calves-gastroc-lateral-left
BMG07;BM057;calves-gastroc-lateral-right
BMG07;BM058;calves-gastroc-medial-left
BMG07;BM059;calves-gastroc-medial-right
BMG07;BM060;calves-soleus-left
BMG07;BM061;calves-soleus-right
BMG07;BM062;hamstrings-lateral-left
BMG07;BM063;hamstrings-lateral-right
BMG07;BM064;hamstrings-medial-left
BMG07;BM065;hamstrings-medial-right
BMG07;BM066;knee-back-left
BMG07;BM067;knee-back-right
BMG07;BM068;adductors-left
BMG07;BM069;adductors-right
BMG07;BM070;hip-flexor-left
BMG07;BM071;hip-flexor-right
BMG07;BM072;knee-left
BMG07;BM073;knee-right
BMG07;BM074;quads-left
BMG07;BM075;quads-right
BMG07;BM076;tibialis-anterior-left
BMG07;BM077;tibialis-anterior-right
BMG02;BM078;deltoid-rear-left
BMG02;BM079;deltoid-rear-right
BMG02;BM080;traps-lower-left
BMG02;BM081;traps-lower-right
BMG02;BM082;traps-mid-left
BMG02;BM083;traps-mid-right
BMG02;BM084;traps-upper-left
BMG02;BM085;traps-upper-right
BMG02;BM086;shoulder-front-left
BMG02;BM087;shoulder-front-right
BMG02;BM088;shoulder-side-left
BMG02;BM089;shoulder-side-right
