recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
NUT2_R0001;NUT2_P001;NUT2_T001;NUT2_TA001;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0002;NUT2_P001;NUT2_T002;NUT2_TA002;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0003;NUT2_P001;NUT2_T002;NUT2_TA080;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0004;NUT2_P001;NUT2_T003;NUT2_TA003;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0005;NUT2_P001;NUT2_T003;NUT2_TA064;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0006;NUT2_P001;NUT2_T004;NUT2_TA004;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0007;NUT2_P001;NUT2_T004;NUT2_TA081;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0008;NUT2_P001;NUT2_T005;NUT2_TA005;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0009;NUT2_P001;NUT2_T006;NUT2_TA006;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0010;NUT2_P001;NUT2_T007;NUT2_TA007;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0011;NUT2_P001;NUT2_T007;NUT2_TA075;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0012;NUT2_P001;NUT2_T008;NUT2_TA008;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0013;NUT2_P001;NUT2_T052;NUT2_TA060;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0014;NUT2_P001;NUT2_T052;NUT2_TA063;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0015;NUT2_P001;NUT2_T053;NUT2_TA061;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0016;NUT2_P002;NUT2_T001;NUT2_TA001;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0017;NUT2_P002;NUT2_T002;NUT2_TA002;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0018;NUT2_P002;NUT2_T002;NUT2_TA080;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0019;NUT2_P002;NUT2_T003;NUT2_TA003;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0020;NUT2_P002;NUT2_T003;NUT2_TA064;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0021;NUT2_P002;NUT2_T004;NUT2_TA004;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0022;NUT2_P002;NUT2_T004;NUT2_TA081;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0023;NUT2_P002;NUT2_T005;NUT2_TA005;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0024;NUT2_P002;NUT2_T006;NUT2_TA006;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0025;NUT2_P002;NUT2_T007;NUT2_TA007;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0026;NUT2_P002;NUT2_T007;NUT2_TA075;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0027;NUT2_P002;NUT2_T008;NUT2_TA008;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0028;NUT2_P002;NUT2_T052;NUT2_TA060;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0029;NUT2_P002;NUT2_T052;NUT2_TA063;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0030;NUT2_P002;NUT2_T053;NUT2_TA061;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0031;NUT2_P003;NUT2_T001;NUT2_TA001;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0032;NUT2_P003;NUT2_T002;NUT2_TA002;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0033;NUT2_P003;NUT2_T002;NUT2_TA080;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0034;NUT2_P003;NUT2_T003;NUT2_TA003;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0035;NUT2_P003;NUT2_T003;NUT2_TA064;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0036;NUT2_P003;NUT2_T004;NUT2_TA004;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0037;NUT2_P003;NUT2_T004;NUT2_TA081;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0038;NUT2_P003;NUT2_T005;NUT2_TA005;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0039;NUT2_P003;NUT2_T006;NUT2_TA006;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0040;NUT2_P003;NUT2_T007;NUT2_TA007;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0041;NUT2_P003;NUT2_T007;NUT2_TA075;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0042;NUT2_P003;NUT2_T008;NUT2_TA008;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0043;NUT2_P003;NUT2_T052;NUT2_TA060;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0044;NUT2_P003;NUT2_T052;NUT2_TA063;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0045;NUT2_P003;NUT2_T053;NUT2_TA061;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
NUT2_R0046;NUT2_P004;NUT2_T001;NUT2_TA001;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
