fuente_id;nombre;organismo;titulo;url;notas
SRC001;NICE CG113;NICE;Generalised anxiety disorder and panic disorder in adults: management;https://www.nice.org.uk/guidance/cg113/chapter/1-guidance;Guía NICE para TAG y trastorno de pánico. Incluye enfoque escalonado, TCC, relajación aplicada y seguimiento.
SRC002;NICE NG222;NICE;Depression in adults: treatment and management;https://www.nice.org.uk/guidance/ng222/chapter/recommendations;Guía NICE para depresión en adultos. Incluye activación conductual, TCC, terapia interpersonal y prevención de recaídas.
SRC003;NICE CG31;NICE;Obsessive-compulsive disorder and body dysmorphic disorder;https://www.nice.org.uk/guidance/cg31/chapter/1-guidance;Guía NICE sobre TOC y trastorno dismórfico corporal. Incluye TCC y exposición con prevención de respuesta.
SRC004;NICE CG159;NICE;Social anxiety disorder: recognition, assessment and treatment;https://www.nice.org.uk/guidance/cg159/chapter/recommendations;Guía NICE para ansiedad social. Recomienda TCC específica para ansiedad social.
SRC005;NICE NG116;NICE;Post-traumatic stress disorder;https://www.nice.org.uk/guidance/ng116/chapter/recommendations;Guía NICE para TEPT. Incluye TCC centrada en trauma y EMDR.
SRC006;NICE NG87;NICE;Attention deficit hyperactivity disorder: diagnosis and management;https://www.nice.org.uk/guidance/ng87/chapter/recommendations;Guía NICE para TDAH. Recomienda plan de tratamiento integral con necesidades psicológicas, conductuales, ocupacionales y educativas.
SRC007;GuíaSalud GPC Ansiedad;GuíaSalud / SNS;Guía de Práctica Clínica para el Manejo de Pacientes con Trastornos de Ansiedad en Atención Primaria;https://portal.guiasalud.es/wp-content/uploads/2018/12/GPC_430_Ansiedad_Lain_Entr_compl.pdf;Guía española para trastornos de ansiedad. Pendiente de actualización, útil como referencia nacional.
SRC008;SAS Autoayuda Ansiedad y Depresión;Servicio Andaluz de Salud;Guía de autoayuda para la depresión y los trastornos de ansiedad;https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/el-sas/servicios-y-centros/salud-mental/guia-de-autoayuda-para-la-depresion-y-los-trastornos-de-ansiedad;Material psicoeducativo y de autoayuda para ansiedad y depresión leve.
SRC009;ICD-11;WHO;International Classification of Diseases 11th Revision;https://icd.who.int/;Clasificación internacional de enfermedades de la OMS. Útil para codificación diagnóstica.
SRC010;APA Psychological Treatments;APA;Psychological treatments and evidence-based practice resources;https://www.apa.org/;Referencia general para tratamientos psicológicos basados en evidencia.
SRC011;IOCDF ERP;International OCD Foundation;Exposure and Response Prevention;https://iocdf.org/about-ocd/treatment/erp/;Explicación divulgativa de exposición con prevención de respuesta para TOC.
