problema_id;area_id;nombre;descripcion;poblacion;nivel_riesgo;fuente_ids
PSP2_P001;PSP2_A001;TDAH - inatención en tareas escolares;Dificultad para mantener la atención, seguir instrucciones y completar tareas.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004"
PSP2_P002;PSP2_A001;TDAH - hiperactividad motora;Necesidad elevada de movimiento que interfiere con aula, estudio o convivencia.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004"
PSP2_P003;PSP2_A001;TDAH - impulsividad en aula;Responder sin esperar, interrumpir o actuar antes de pensar.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC004"
PSP2_P004;PSP2_A001;TDAH - olvidos frecuentes;Olvido de materiales, deberes, fechas o instrucciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009"
PSP2_P005;PSP2_A001;TDAH - dificultad para iniciar tareas;Bloqueo o demora al comenzar tareas académicas.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009"
PSP2_P006;PSP2_A001;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009"
PSP2_P007;PSP2_A001;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009"
PSP2_P008;PSP2_A001;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006"
PSP2_P009;PSP2_A002;TEA - dificultad de comunicación social;Dificultad en reciprocidad social, conversación o interpretación de claves sociales.;Infantil/Adolescente;medio;"PSP2_SRC002;PSP2_SRC003"
PSP2_P010;PSP2_A002;TEA - rigidez ante cambios;Malestar ante cambios de rutina, imprevistos o transiciones.;Infantil/Adolescente;medio;"PSP2_SRC002;PSP2_SRC003"
PSP2_P011;PSP2_A002;TEA - intereses restringidos o intensos;Intereses muy focalizados que pueden ser fortaleza o interferencia.;Infantil/Adolescente;bajo;"PSP2_SRC002;PSP2_SRC003"
PSP2_P012;PSP2_A002;TEA - sobrecarga sensorial;Dificultad para tolerar ruido, luz, tacto, multitudes o cambios sensoriales.;Infantil/Adolescente;medio;"PSP2_SRC002;PSP2_SRC003"
PSP2_P013;PSP2_A002;TEA - dificultad en juego o interacción con iguales;Problemas para iniciar, mantener o comprender dinámicas con compañeros.;Infantil;medio;"PSP2_SRC002;PSP2_SRC003"
PSP2_P014;PSP2_A002;TEA - necesidad de anticipación;Ansiedad o bloqueo cuando no se conoce lo que va a ocurrir.;Infantil/Adolescente;bajo;"PSP2_SRC002;PSP2_SRC007"
PSP2_P015;PSP2_A002;Asperger - perfil histórico dentro del TEA;Uso del término Asperger por familia/profesional como referencia histórica del espectro autista.;Adolescente;bajo;"PSP2_SRC002;PSP2_SRC003"
PSP2_P016;PSP2_A002;TEA - comprensión literal del lenguaje;Dificultad con ironías, dobles sentidos, metáforas o inferencias sociales.;Infantil/Adolescente;bajo;"PSP2_SRC002;PSP2_SRC010"
PSP2_P017;PSP2_A003;Altas Capacidades - aburrimiento curricular;Desmotivación por tareas repetitivas o baja demanda cognitiva.;Infantil/Adolescente;bajo;PSP2_SRC014
PSP2_P018;PSP2_A003;Altas Capacidades - perfeccionismo;Miedo al error, baja tolerancia a no destacar o bloqueo por exigencia.;Infantil/Adolescente;medio;PSP2_SRC014
