fuente_id;organismo;titulo;url;notas
FIS2_SRC001;WHO;Rehabilitation;https://www.who.int/news-room/fact-sheets/detail/rehabilitation;Marco general: rehabilitación para optimizar funcionamiento y reducir discapacidad.
FIS2_SRC002;WHO;Musculoskeletal health;https://www.who.int/news-room/fact-sheets/detail/musculoskeletal-conditions;Referencia sobre salud musculoesquelética, limitación funcional y participación.
FIS2_SRC003;World Physiotherapy;Policy statement: Evidence-based practice;https://world.physio/policy/ps-ebp;Fisioterapia basada en evidencia y uso de intervenciones seguras y efectivas.
FIS2_SRC004;World Physiotherapy;Standards of physiotherapist practice;https://world.physio/guideline/standards;Estándares de práctica profesional de fisioterapia.
FIS2_SRC005;World Physiotherapy;Physiotherapists as exercise and physical activity experts;https://world.physio/policy/ps-exercise-experts;Rol de fisioterapeutas en ejercicio y actividad física.
FIS2_SRC006;NICE;Low back pain and sciatica in over 16s NG59;https://www.nice.org.uk/guidance/ng59;Valoración y manejo de lumbalgia y ciática.
FIS2_SRC007;APTA;Interventions for the Management of Acute and Chronic Low Back Pain CPG;https://www.apta.org/patient-care/evidence-based-practice-resources/cpgs/acute-chronic-lbp;Guía de intervenciones fisioterapéuticas para dolor lumbar agudo y crónico.
FIS2_SRC008;NICE;Osteoarthritis in over 16s NG226;https://www.nice.org.uk/guidance/ng226;Manejo de artrosis, educación y ejercicio.
FIS2_SRC009;NICE;Stroke rehabilitation in adults NG236;https://www.nice.org.uk/guidance/ng236;Rehabilitación tras ictus en adultos.
FIS2_SRC010;NICE;Fractures (non-complex): assessment and management NG38;https://www.nice.org.uk/guidance/ng38;Referencia para fracturas no complejas y seguimiento/derivación.
FIS2_SRC011;JOSPT;Neck Pain Clinical Practice Guideline;https://www.jospt.org/doi/10.2519/jospt.2017.0302;Guía de dolor cervical y trastornos asociados.
FIS2_SRC012;JOSPT;Shoulder Pain and Mobility Deficits: Adhesive Capsulitis CPG;https://www.jospt.org/doi/10.2519/jospt.2013.0302;Guía sobre hombro rígido/capsulitis adhesiva.
FIS2_SRC013;JOSPT;Achilles Pain, Stiffness, and Muscle Power Deficits: Achilles Tendinopathy CPG;https://www.jospt.org/doi/10.2519/jospt.2018.0302;Guía de tendinopatía aquílea.
FIS2_SRC014;JOSPT;Patellofemoral Pain Clinical Practice Guideline;https://www.jospt.org/doi/10.2519/jospt.2019.0302;Guía para dolor femoropatelar.
FIS2_SRC015;JOSPT;Plantar Heel Pain Clinical Practice Guideline;https://www.jospt.org/doi/10.2519/jospt.2014.0303;Guía para dolor plantar/talalgia.
FIS2_SRC016;Body Muscles;Body Muscles map;https://vulovix.github.io/body-muscles/;Mapa anatómico para vincular objetivos/zonas con regiones musculares.
FIS2_SRC017;CDC;Physical Activity Basics;https://www.cdc.gov/physical-activity-basics/;Referencia divulgativa de actividad física y progresión.
FIS2_SRC018;NHS;Physiotherapy;https://www.nhs.uk/conditions/physiotherapy/;Información general sobre fisioterapia, rehabilitación, movimiento y ejercicios.
