fuente_id;organismo;titulo;url;notas
PSY2_SRC001;NICE;ADHD NG87;https://www.nice.org.uk/guidance/ng87;Reconocimiento, diagnóstico y manejo del TDAH en niños, jóvenes y adultos.
PSY2_SRC002;NICE;Autism in adults CG142;https://www.nice.org.uk/guidance/cg142;Diagnóstico y manejo del trastorno del espectro autista en adultos.
PSY2_SRC003;NIMH;Autism Spectrum Disorder;https://www.nimh.nih.gov/health/publications/autism-spectrum-disorder;Información sobre TEA, solapamiento con ansiedad/TDAH y diagnóstico en adultos.
PSY2_SRC004;CDC;About Autism Spectrum Disorder;https://www.cdc.gov/autism/about/index.html;Signos generales del TEA: comunicación social, interacción y conductas/intereses repetitivos.
PSY2_SRC005;APA;Clinical Practice Guidelines;https://www.psychiatry.org/psychiatrists/practice/clinical-practice-guidelines;Guías clínicas basadas en evidencia para trastornos psiquiátricos.
PSY2_SRC006;APA;PTSD Clinical Practice Guideline;https://www.apa.org/ptsd-guideline;Recomendaciones de intervenciones para TEPT en adultos.
PSY2_SRC007;APA;Depression Clinical Practice Guideline;https://www.apa.org/depression-guideline;Referencia para depresión y tratamientos psicológicos.
PSY2_SRC008;GuíaSalud;Guía de ansiedad;https://portal.guiasalud.es/;Referencia española para ansiedad y tratamiento psicológico basado en evidencia.
PSY2_SRC009;NICE;Common mental health problems CG123;https://www.nice.org.uk/guidance/cg123;Problemas comunes de salud mental y atención escalonada.
PSY2_SRC010;WHO;Burn-out occupational phenomenon ICD-11;https://www.who.int/standards/classifications/frequently-asked-questions/burn-out-an-occupational-phenomenon;Burnout como fenómeno ocupacional.
PSY2_SRC011;APA Dictionary;Psychology topics and definitions;https://dictionary.apa.org/;Referencia terminológica.
PSY2_SRC012;NICE;Depression in adults NG222;https://www.nice.org.uk/guidance/ng222;Referencia clínica para depresión en adultos.
