problema_id;tecnica_id
LOG_P001;LOG_T001
LOG_P001;LOG_T002
LOG_P001;LOG_T003
LOG_P001;LOG_T027
LOG_P001;LOG_T029
LOG_P002;LOG_T001
LOG_P002;LOG_T003
LOG_P002;LOG_T004
LOG_P002;LOG_T005
LOG_P002;LOG_T027
LOG_P002;LOG_T029
LOG_P003;LOG_T001
LOG_P003;LOG_T002
LOG_P003;LOG_T003
LOG_P003;LOG_T023
LOG_P003;LOG_T027
LOG_P003;LOG_T029
LOG_P004;LOG_T001
LOG_P004;LOG_T002
LOG_P004;LOG_T003
LOG_P004;LOG_T027
LOG_P004;LOG_T029
LOG_P005;LOG_T001
LOG_P005;LOG_T002
LOG_P005;LOG_T003
LOG_P005;LOG_T027
LOG_P005;LOG_T029
LOG_P006;LOG_T001
LOG_P006;LOG_T005
LOG_P006;LOG_T006
LOG_P006;LOG_T008
LOG_P006;LOG_T027
LOG_P006;LOG_T028
LOG_P006;LOG_T029
LOG_P007;LOG_T001
LOG_P007;LOG_T005
LOG_P007;LOG_T006
LOG_P007;LOG_T007
LOG_P007;LOG_T008
LOG_P007;LOG_T009
LOG_P007;LOG_T027
LOG_P007;LOG_T028
LOG_P007;LOG_T029
LOG_P008;LOG_T001
LOG_P008;LOG_T005
LOG_P008;LOG_T006
LOG_P008;LOG_T027
LOG_P008;LOG_T029
LOG_P009;LOG_T001
LOG_P009;LOG_T005
LOG_P009;LOG_T007
LOG_P009;LOG_T008
LOG_P009;LOG_T027
LOG_P009;LOG_T029
LOG_P010;LOG_T001
LOG_P010;LOG_T009
LOG_P010;LOG_T027
LOG_P010;LOG_T029
LOG_P011;LOG_T001
LOG_P011;LOG_T010
LOG_P011;LOG_T011
LOG_P011;LOG_T027
LOG_P011;LOG_T029
LOG_P012;LOG_T001
LOG_P012;LOG_T010
LOG_P012;LOG_T023
LOG_P012;LOG_T027
LOG_P012;LOG_T029
LOG_P013;LOG_T001
LOG_P013;LOG_T010
LOG_P013;LOG_T011
LOG_P013;LOG_T022
LOG_P013;LOG_T027
LOG_P013;LOG_T029
LOG_P014;LOG_T001
LOG_P014;LOG_T012
LOG_P014;LOG_T013
LOG_P014;LOG_T027
LOG_P014;LOG_T029
LOG_P014;LOG_T030
LOG_P015;LOG_T001
LOG_P015;LOG_T012
LOG_P015;LOG_T013
LOG_P015;LOG_T027
LOG_P015;LOG_T029
LOG_P016;LOG_T001
LOG_P016;LOG_T012
LOG_P016;LOG_T027
LOG_P016;LOG_T029
LOG_P017;LOG_T001
LOG_P017;LOG_T013
LOG_P017;LOG_T028
LOG_P017;LOG_T030
LOG_P018;LOG_T001
LOG_P018;LOG_T016
LOG_P018;LOG_T022
LOG_P018;LOG_T028
LOG_P018;LOG_T030
LOG_P019;LOG_T001
LOG_P019;LOG_T016
LOG_P019;LOG_T027
LOG_P019;LOG_T028
LOG_P019;LOG_T030
LOG_P020;LOG_T001
LOG_P020;LOG_T014
LOG_P020;LOG_T015
LOG_P020;LOG_T016
LOG_P020;LOG_T027
LOG_P020;LOG_T028
LOG_P020;LOG_T030
LOG_P021;LOG_T001
LOG_P021;LOG_T014
LOG_P021;LOG_T015
LOG_P021;LOG_T027
LOG_P021;LOG_T028
LOG_P022;LOG_T001
LOG_P022;LOG_T003
LOG_P022;LOG_T017
LOG_P022;LOG_T027
LOG_P022;LOG_T029
LOG_P023;LOG_T001
LOG_P023;LOG_T017
LOG_P023;LOG_T018
LOG_P023;LOG_T027
LOG_P023;LOG_T029
LOG_P024;LOG_T001
LOG_P024;LOG_T017
LOG_P024;LOG_T019
LOG_P024;LOG_T027
LOG_P024;LOG_T029
LOG_P025;LOG_T001
LOG_P025;LOG_T018
LOG_P025;LOG_T019
LOG_P025;LOG_T027
LOG_P025;LOG_T029
LOG_P026;LOG_T001
LOG_P026;LOG_T020
LOG_P026;LOG_T021
LOG_P026;LOG_T022
LOG_P026;LOG_T024
LOG_P026;LOG_T027
LOG_P026;LOG_T028
LOG_P026;LOG_T029
LOG_P026;LOG_T030
LOG_P027;LOG_T001
LOG_P027;LOG_T020
LOG_P027;LOG_T021
LOG_P027;LOG_T022
LOG_P027;LOG_T027
LOG_P027;LOG_T029
LOG_P028;LOG_T001
LOG_P028;LOG_T020
LOG_P028;LOG_T022
LOG_P028;LOG_T024
LOG_P028;LOG_T027
LOG_P028;LOG_T028
LOG_P028;LOG_T029
LOG_P029;LOG_T001
LOG_P029;LOG_T020
LOG_P029;LOG_T022
LOG_P029;LOG_T024
LOG_P029;LOG_T028
LOG_P029;LOG_T030
LOG_P030;LOG_T001
LOG_P030;LOG_T023
LOG_P030;LOG_T027
LOG_P030;LOG_T028
LOG_P030;LOG_T029
LOG_P030;LOG_T030
LOG_P031;LOG_T001
LOG_P031;LOG_T023
LOG_P031;LOG_T027
LOG_P031;LOG_T028
LOG_P031;LOG_T029
LOG_P031;LOG_T030
LOG_P032;LOG_T001
LOG_P032;LOG_T010
LOG_P032;LOG_T023
LOG_P032;LOG_T027
LOG_P032;LOG_T029
LOG_P033;LOG_T001
LOG_P033;LOG_T025
LOG_P033;LOG_T027
LOG_P033;LOG_T028
LOG_P033;LOG_T029
LOG_P034;LOG_T001
LOG_P034;LOG_T025
LOG_P034;LOG_T027
LOG_P034;LOG_T029
LOG_P035;LOG_T001
LOG_P035;LOG_T025
LOG_P035;LOG_T027
LOG_P035;LOG_T029
LOG_P036;LOG_T001
LOG_P036;LOG_T024
LOG_P036;LOG_T022
LOG_P036;LOG_T027
LOG_P036;LOG_T028
LOG_P036;LOG_T029
