recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
PSP_R0001;PSP_P001;PSP_T001;PSP_TA001;alta;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0002;PSP_P001;PSP_T001;PSP_TA002;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0003;PSP_P001;PSP_T001;PSP_TA003;alta;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0004;PSP_P001;PSP_T002;PSP_TA004;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0005;PSP_P001;PSP_T003;PSP_TA005;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0006;PSP_P001;PSP_T005;PSP_TA007;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0007;PSP_P001;PSP_T006;PSP_TA008;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0008;PSP_P001;PSP_T006;PSP_TA009;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0009;PSP_P001;PSP_T006;PSP_TA010;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0010;PSP_P001;PSP_T007;PSP_TA011;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0011;PSP_P001;PSP_T007;PSP_TA012;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0012;PSP_P001;PSP_T007;PSP_TA013;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0013;PSP_P001;PSP_T007;PSP_TA058;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0014;PSP_P001;PSP_T027;PSP_TA052;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0015;PSP_P001;PSP_T027;PSP_TA053;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0016;PSP_P001;PSP_T029;PSP_TA055;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0017;PSP_P001;PSP_T029;PSP_TA056;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0018;PSP_P002;PSP_T001;PSP_TA001;alta;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0019;PSP_P002;PSP_T001;PSP_TA002;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0020;PSP_P002;PSP_T001;PSP_TA003;alta;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0021;PSP_P002;PSP_T002;PSP_TA004;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0022;PSP_P002;PSP_T003;PSP_TA005;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0023;PSP_P002;PSP_T005;PSP_TA007;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0024;PSP_P002;PSP_T006;PSP_TA008;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0025;PSP_P002;PSP_T006;PSP_TA009;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0026;PSP_P002;PSP_T006;PSP_TA010;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0027;PSP_P002;PSP_T007;PSP_TA011;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0028;PSP_P002;PSP_T007;PSP_TA012;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0029;PSP_P002;PSP_T007;PSP_TA013;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0030;PSP_P002;PSP_T007;PSP_TA058;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0031;PSP_P002;PSP_T027;PSP_TA052;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0032;PSP_P002;PSP_T027;PSP_TA053;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0033;PSP_P002;PSP_T029;PSP_TA055;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0034;PSP_P002;PSP_T029;PSP_TA056;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0035;PSP_P003;PSP_T001;PSP_TA001;alta;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0036;PSP_P003;PSP_T001;PSP_TA002;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0037;PSP_P003;PSP_T001;PSP_TA003;alta;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0038;PSP_P003;PSP_T002;PSP_TA004;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0039;PSP_P003;PSP_T003;PSP_TA005;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0040;PSP_P003;PSP_T005;PSP_TA007;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0041;PSP_P003;PSP_T006;PSP_TA008;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0042;PSP_P003;PSP_T006;PSP_TA009;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0043;PSP_P003;PSP_T006;PSP_TA010;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0044;PSP_P003;PSP_T007;PSP_TA011;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0045;PSP_P003;PSP_T007;PSP_TA012;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0046;PSP_P003;PSP_T007;PSP_TA013;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0047;PSP_P003;PSP_T007;PSP_TA058;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0048;PSP_P003;PSP_T027;PSP_TA052;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0049;PSP_P003;PSP_T027;PSP_TA053;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0050;PSP_P003;PSP_T029;PSP_TA055;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0051;PSP_P003;PSP_T029;PSP_TA056;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0052;PSP_P004;PSP_T001;PSP_TA001;alta;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0053;PSP_P004;PSP_T001;PSP_TA002;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0054;PSP_P004;PSP_T001;PSP_TA003;alta;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
PSP_R0055;PSP_P004;PSP_T002;PSP_TA004;media;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
