problema_id;tecnica_id
PSY2_P001;PSY2_T001
PSY2_P001;PSY2_T016
PSY2_P001;PSY2_T017
PSY2_P001;PSY2_T018
PSY2_P001;PSY2_T019
PSY2_P001;PSY2_T029
PSY2_P001;PSY2_T030
PSY2_P001;PSY2_T031
PSY2_P001;PSY2_T025
PSY2_P002;PSY2_T001
PSY2_P002;PSY2_T016
PSY2_P002;PSY2_T017
PSY2_P002;PSY2_T018
PSY2_P002;PSY2_T019
PSY2_P002;PSY2_T029
PSY2_P002;PSY2_T030
PSY2_P002;PSY2_T031
PSY2_P002;PSY2_T025
PSY2_P003;PSY2_T001
PSY2_P003;PSY2_T016
PSY2_P003;PSY2_T017
PSY2_P003;PSY2_T018
PSY2_P003;PSY2_T019
PSY2_P003;PSY2_T029
PSY2_P003;PSY2_T030
PSY2_P003;PSY2_T031
PSY2_P003;PSY2_T025
PSY2_P004;PSY2_T001
PSY2_P004;PSY2_T016
PSY2_P004;PSY2_T017
PSY2_P004;PSY2_T018
PSY2_P004;PSY2_T019
PSY2_P004;PSY2_T029
PSY2_P004;PSY2_T030
PSY2_P004;PSY2_T031
PSY2_P004;PSY2_T025
PSY2_P005;PSY2_T001
PSY2_P005;PSY2_T016
PSY2_P005;PSY2_T017
PSY2_P005;PSY2_T018
PSY2_P005;PSY2_T019
PSY2_P005;PSY2_T029
PSY2_P005;PSY2_T030
PSY2_P005;PSY2_T031
PSY2_P005;PSY2_T025
PSY2_P006;PSY2_T001
PSY2_P006;PSY2_T016
PSY2_P006;PSY2_T017
PSY2_P006;PSY2_T018
PSY2_P006;PSY2_T019
PSY2_P006;PSY2_T029
PSY2_P006;PSY2_T030
PSY2_P006;PSY2_T031
PSY2_P006;PSY2_T025
PSY2_P007;PSY2_T001
PSY2_P007;PSY2_T016
PSY2_P007;PSY2_T017
PSY2_P007;PSY2_T018
PSY2_P007;PSY2_T019
PSY2_P007;PSY2_T029
PSY2_P007;PSY2_T030
PSY2_P007;PSY2_T031
PSY2_P007;PSY2_T025
PSY2_P008;PSY2_T001
PSY2_P008;PSY2_T016
PSY2_P008;PSY2_T017
PSY2_P008;PSY2_T018
PSY2_P008;PSY2_T019
PSY2_P008;PSY2_T029
PSY2_P008;PSY2_T030
PSY2_P008;PSY2_T031
PSY2_P008;PSY2_T025
PSY2_P009;PSY2_T001
PSY2_P009;PSY2_T016
PSY2_P009;PSY2_T017
PSY2_P009;PSY2_T018
PSY2_P009;PSY2_T019
PSY2_P009;PSY2_T029
PSY2_P009;PSY2_T030
PSY2_P009;PSY2_T031
PSY2_P009;PSY2_T025
PSY2_P010;PSY2_T001
PSY2_P010;PSY2_T016
PSY2_P010;PSY2_T017
PSY2_P010;PSY2_T018
PSY2_P010;PSY2_T019
PSY2_P010;PSY2_T029
PSY2_P010;PSY2_T030
PSY2_P010;PSY2_T031
PSY2_P010;PSY2_T025
PSY2_P011;PSY2_T001
PSY2_P011;PSY2_T016
PSY2_P011;PSY2_T017
PSY2_P011;PSY2_T018
PSY2_P011;PSY2_T019
PSY2_P011;PSY2_T029
PSY2_P011;PSY2_T030
PSY2_P011;PSY2_T031
PSY2_P011;PSY2_T025
PSY2_P012;PSY2_T002
PSY2_P012;PSY2_T009
PSY2_P012;PSY2_T010
PSY2_P012;PSY2_T011
PSY2_P012;PSY2_T012
PSY2_P012;PSY2_T019
PSY2_P012;PSY2_T025
PSY2_P013;PSY2_T002
PSY2_P013;PSY2_T009
PSY2_P013;PSY2_T010
PSY2_P013;PSY2_T011
PSY2_P013;PSY2_T012
PSY2_P013;PSY2_T019
PSY2_P013;PSY2_T025
PSY2_P014;PSY2_T002
PSY2_P014;PSY2_T009
PSY2_P014;PSY2_T010
PSY2_P014;PSY2_T011
PSY2_P014;PSY2_T012
PSY2_P014;PSY2_T019
PSY2_P014;PSY2_T025
PSY2_P015;PSY2_T002
PSY2_P015;PSY2_T009
PSY2_P015;PSY2_T010
PSY2_P015;PSY2_T011
PSY2_P015;PSY2_T012
PSY2_P015;PSY2_T019
PSY2_P015;PSY2_T025
PSY2_P016;PSY2_T002
PSY2_P016;PSY2_T009
PSY2_P016;PSY2_T010
PSY2_P016;PSY2_T011
PSY2_P016;PSY2_T012
PSY2_P016;PSY2_T019
PSY2_P016;PSY2_T025
PSY2_P017;PSY2_T001
PSY2_P017;PSY2_T005
PSY2_P017;PSY2_T006
PSY2_P017;PSY2_T007
PSY2_P017;PSY2_T008
PSY2_P017;PSY2_T031
PSY2_P017;PSY2_T025
PSY2_P018;PSY2_T001
PSY2_P018;PSY2_T005
PSY2_P018;PSY2_T006
PSY2_P018;PSY2_T007
PSY2_P018;PSY2_T008
PSY2_P018;PSY2_T031
PSY2_P018;PSY2_T025
PSY2_P019;PSY2_T001
PSY2_P019;PSY2_T005
PSY2_P019;PSY2_T006
PSY2_P019;PSY2_T007
PSY2_P019;PSY2_T008
PSY2_P019;PSY2_T031
PSY2_P019;PSY2_T025
PSY2_P020;PSY2_T001
PSY2_P020;PSY2_T005
PSY2_P020;PSY2_T006
PSY2_P020;PSY2_T007
PSY2_P020;PSY2_T008
PSY2_P020;PSY2_T031
PSY2_P020;PSY2_T025
PSY2_P021;PSY2_T002
PSY2_P021;PSY2_T003
PSY2_P021;PSY2_T013
PSY2_P021;PSY2_T014
PSY2_P021;PSY2_T034
PSY2_P021;PSY2_T025
PSY2_P022;PSY2_T002
PSY2_P022;PSY2_T003
PSY2_P022;PSY2_T013
PSY2_P022;PSY2_T014
PSY2_P022;PSY2_T034
PSY2_P022;PSY2_T025
PSY2_P023;PSY2_T002
PSY2_P023;PSY2_T003
PSY2_P023;PSY2_T013
PSY2_P023;PSY2_T014
PSY2_P023;PSY2_T034
PSY2_P023;PSY2_T025
PSY2_P024;PSY2_T002
PSY2_P024;PSY2_T003
PSY2_P024;PSY2_T013
PSY2_P024;PSY2_T014
PSY2_P024;PSY2_T034
PSY2_P024;PSY2_T025
PSY2_P025;PSY2_T002
PSY2_P025;PSY2_T003
PSY2_P025;PSY2_T012
PSY2_P025;PSY2_T013
PSY2_P025;PSY2_T014
PSY2_P025;PSY2_T017
PSY2_P025;PSY2_T025
PSY2_P026;PSY2_T002
PSY2_P026;PSY2_T003
PSY2_P026;PSY2_T012
PSY2_P026;PSY2_T013
PSY2_P026;PSY2_T014
PSY2_P026;PSY2_T017
PSY2_P026;PSY2_T025
PSY2_P027;PSY2_T002
PSY2_P027;PSY2_T003
PSY2_P027;PSY2_T012
PSY2_P027;PSY2_T013
PSY2_P027;PSY2_T014
PSY2_P027;PSY2_T017
PSY2_P027;PSY2_T025
PSY2_P028;PSY2_T002
PSY2_P028;PSY2_T003
PSY2_P028;PSY2_T012
PSY2_P028;PSY2_T013
PSY2_P028;PSY2_T014
PSY2_P028;PSY2_T017
PSY2_P028;PSY2_T025
PSY2_P029;PSY2_T002
PSY2_P029;PSY2_T008
PSY2_P029;PSY2_T022
PSY2_P029;PSY2_T023
PSY2_P029;PSY2_T024
PSY2_P029;PSY2_T036
PSY2_P029;PSY2_T025
PSY2_P030;PSY2_T002
PSY2_P030;PSY2_T008
PSY2_P030;PSY2_T022
PSY2_P030;PSY2_T023
PSY2_P030;PSY2_T024
PSY2_P030;PSY2_T036
PSY2_P030;PSY2_T025
PSY2_P031;PSY2_T002
PSY2_P031;PSY2_T008
PSY2_P031;PSY2_T022
PSY2_P031;PSY2_T023
PSY2_P031;PSY2_T024
PSY2_P031;PSY2_T036
PSY2_P031;PSY2_T025
PSY2_P032;PSY2_T002
PSY2_P032;PSY2_T008
PSY2_P032;PSY2_T022
PSY2_P032;PSY2_T023
PSY2_P032;PSY2_T024
PSY2_P032;PSY2_T036
PSY2_P032;PSY2_T025
PSY2_P033;PSY2_T002
PSY2_P033;PSY2_T008
PSY2_P033;PSY2_T022
PSY2_P033;PSY2_T023
PSY2_P033;PSY2_T024
PSY2_P033;PSY2_T036
PSY2_P033;PSY2_T025
PSY2_P034;PSY2_T021
PSY2_P034;PSY2_T034
PSY2_P034;PSY2_T013
PSY2_P034;PSY2_T014
PSY2_P034;PSY2_T036
PSY2_P034;PSY2_T025
PSY2_P035;PSY2_T021
PSY2_P035;PSY2_T034
PSY2_P035;PSY2_T013
PSY2_P035;PSY2_T014
PSY2_P035;PSY2_T036
PSY2_P035;PSY2_T025
PSY2_P036;PSY2_T021
PSY2_P036;PSY2_T034
PSY2_P036;PSY2_T013
PSY2_P036;PSY2_T014
PSY2_P036;PSY2_T036
PSY2_P036;PSY2_T025
PSY2_P037;PSY2_T021
PSY2_P037;PSY2_T034
PSY2_P037;PSY2_T013
PSY2_P037;PSY2_T014
PSY2_P037;PSY2_T036
PSY2_P037;PSY2_T025
PSY2_P038;PSY2_T002
PSY2_P038;PSY2_T015
PSY2_P038;PSY2_T026
PSY2_P038;PSY2_T027
PSY2_P038;PSY2_T028
PSY2_P038;PSY2_T014
PSY2_P038;PSY2_T025
PSY2_P039;PSY2_T002
PSY2_P039;PSY2_T015
PSY2_P039;PSY2_T026
PSY2_P039;PSY2_T027
PSY2_P039;PSY2_T028
PSY2_P039;PSY2_T014
PSY2_P039;PSY2_T025
PSY2_P040;PSY2_T002
PSY2_P040;PSY2_T015
PSY2_P040;PSY2_T026
PSY2_P040;PSY2_T027
PSY2_P040;PSY2_T028
PSY2_P040;PSY2_T014
PSY2_P040;PSY2_T025
PSY2_P041;PSY2_T002
PSY2_P041;PSY2_T015
PSY2_P041;PSY2_T026
PSY2_P041;PSY2_T027
PSY2_P041;PSY2_T028
PSY2_P041;PSY2_T014
PSY2_P041;PSY2_T025
PSY2_P042;PSY2_T032
PSY2_P042;PSY2_T033
PSY2_P042;PSY2_T009
PSY2_P042;PSY2_T010
PSY2_P042;PSY2_T025
PSY2_P043;PSY2_T032
PSY2_P043;PSY2_T033
PSY2_P043;PSY2_T009
PSY2_P043;PSY2_T010
PSY2_P043;PSY2_T025
PSY2_P044;PSY2_T032
PSY2_P044;PSY2_T033
PSY2_P044;PSY2_T009
PSY2_P044;PSY2_T010
PSY2_P044;PSY2_T025
PSY2_P045;PSY2_T004
PSY2_P045;PSY2_T016
PSY2_P045;PSY2_T017
PSY2_P045;PSY2_T018
PSY2_P045;PSY2_T020
PSY2_P045;PSY2_T025
PSY2_P046;PSY2_T004
PSY2_P046;PSY2_T016
PSY2_P046;PSY2_T017
PSY2_P046;PSY2_T018
PSY2_P046;PSY2_T020
PSY2_P046;PSY2_T025
PSY2_P047;PSY2_T004
PSY2_P047;PSY2_T016
