tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
NUT_TA001;Completar historia dietética inicial;Responder un formulario sobre horarios, preferencias, compras, cocina, medicación y antecedentes.;Obtener punto de partida individualizado.;bajo;20-30 min;NUT_T001
NUT_TA002;Registro alimentario de 3 días;Registrar alimentos, bebidas, horarios y cantidades aproximadas durante 3 días.;Detectar patrones reales de ingesta.;bajo;3 días;NUT_T002
NUT_TA003;Registro de hambre y saciedad;Anotar hambre antes y saciedad después de cada comida usando escala 0-10.;Mejorar autorregulación de ingesta.;bajo;7 días;NUT_T002
NUT_TA004;Registro de síntomas digestivos;Registrar síntomas, comidas, estrés, sueño y horario.;Identificar posibles patrones digestivos.;medio;7-14 días;NUT_T003
NUT_TA005;Aplicar método del plato en una comida diaria;Organizar una comida principal con proporciones visuales equilibradas.;Facilitar comidas completas sin contar calorías.;bajo;7 días;NUT_T005
NUT_TA006;Planificar menú semanal básico;Diseñar 5 comidas y 5 cenas realistas para la semana.;Mejorar adherencia y reducir improvisación.;bajo;30-45 min;NUT_T006
NUT_TA007;Lista de compra guiada;Preparar compra por grupos de alimentos según menú planificado.;Reducir decisiones impulsivas.;bajo;20 min;NUT_T006
NUT_TA008;Definir 3 objetivos SMART;Crear tres cambios concretos y medibles para la semana.;Aumentar adherencia y seguimiento.;bajo;15 min;NUT_T007
NUT_TA009;Medir porciones con método casero;Usar mano, plato, vaso o cucharadas para estimar raciones.;Mejorar control sin báscula obligatoria.;bajo;7 días;NUT_T008
NUT_TA010;Añadir proteína al desayuno;Incluir una fuente proteica en el desayuno habitual.;Mejorar saciedad y distribución proteica.;bajo;7 días;NUT_T009
NUT_TA011;Aumentar verdura en comida/cena;Añadir una ración de verdura o ensalada a comida o cena.;Aumentar fibra y volumen alimentario.;bajo;7 días;NUT_T010
NUT_TA012;Introducir legumbres semanalmente;Planificar 1-3 raciones de legumbre en la semana según tolerancia.;Mejorar fibra, saciedad y calidad dietética.;bajo;1 semana;NUT_T010
NUT_TA013;Revisar grasas de uso habitual;Identificar grasas usadas y sustituir opciones menos saludables cuando proceda.;Mejorar calidad de grasas.;bajo;20 min;NUT_T011
NUT_TA014;Reducir sal visible;Aplicar una estrategia: especias, retirar salero o elegir opciones bajas en sal.;Reducir ingesta de sodio.;bajo;7 días;NUT_T012
NUT_TA015;Plan de hidratación diario;Definir objetivo de vasos/botella y momentos del día.;Mejorar hidratación.;bajo;7 días;NUT_T013
NUT_TA016;Reorganizar despensa/snacks;Colocar opciones alineadas con objetivos visibles y reducir estímulos problemáticos.;Mejorar entorno alimentario.;bajo;30 min;NUT_T014
NUT_TA017;Comida consciente 1 vez al día;Comer sin pantalla, más lento y observando hambre/saciedad.;Reducir automatismos y mejorar relación con comida.;bajo;7 días;NUT_T015
NUT_TA018;Diseñar plato para diabetes;Crear 3 ejemplos de platos equilibrados adaptados a horarios y preferencias.;Mejorar control glucémico y composición de comidas.;medio;30 min;NUT_T016
NUT_TA019;Distribuir carbohidratos de forma consistente;Planificar ingestas con carbohidratos distribuidos según pauta profesional.;Evitar grandes variaciones glucémicas.;medio;7 días;NUT_T016
NUT_TA020;Snack planificado pre/post entreno;Elegir snack o comida alrededor del entrenamiento según objetivo.;Mejorar rendimiento o recuperación.;bajo;1 semana;NUT_T017
NUT_TA021;Registro de entrenamiento e ingesta;Anotar entrenamiento, hambre, energía, recuperación e ingesta cercana.;Ajustar nutrición deportiva.;bajo;7 días;NUT_T017
NUT_TA022;Seguimiento de perímetro y peso;Registrar peso y/o perímetro con frecuencia acordada, sin obsesión.;Evaluar tendencia, no variación diaria aislada.;bajo;2-4 semanas;NUT_T018
NUT_TA023;Plan para comer fuera;Elegir 3 estrategias para restaurante, trabajo o viaje.;Mantener adherencia flexible.;bajo;20 min;NUT_T019
NUT_TA024;Plan anti-recaída;Identificar situaciones de riesgo y respuestas alternativas.;Prevenir abandono del plan.;bajo;30 min;NUT_T019
NUT_TA025;Identificar señales de alarma;Revisar signos que requieren derivación: pérdida de peso rápida, atracones, purgas, síntomas graves, deshidratación.;Aumentar seguridad clínica.;alto;supervisado;NUT_T020
NUT_TA026;Preparar desayuno proteico sencillo;Diseñar 3 opciones realistas de desayuno con proteína.;Mejorar saciedad y adherencia.;bajo;20 min;NUT_T009
NUT_TA027;Comparar dos etiquetas;Comparar dos productos similares mirando ración, kcal, proteína, fibra, azúcares, grasas y sal.;Mejorar elección informada.;bajo;15 min;NUT_T004
NUT_TA028;Añadir fruta diaria;Planificar una fruta al día en momento concreto.;Mejorar calidad dietética.;bajo;7 días;NUT_T010
NUT_TA029;Preparar batch cooking básico;Cocinar una base de proteína, verdura y carbohidrato para 2-3 comidas.;Reducir improvisación.;bajo;1 semana;NUT_T006
NUT_TA030;Evaluar barreras de adherencia;Listar barreras, disparadores y soluciones realistas.;Ajustar plan a vida real.;bajo;20-30 min;NUT_T019
