AREA;PROBLEMA_OBJETIVO;DESCRIPCION_PROBLEMA;POBLACION;TIPO_INTERVENCION_PROBLEMA;RIESGO_PROBLEMA;FUENTE_IDS;TECNICA_METODO;DESCRIPCION_TECNICA;RIESGO_TECNICA;TIPO_INTERVENCION_TECNICA;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO_TAREA;RIESGO_TAREA;DURACION;TIPO_INTERVENCION_TAREA;PRIORIDAD;NOTA_PROFESIONAL
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Entrevista nutricional inicial;Recoger motivo, historia, horarios, gustos, salud, medicación, restricciones, objetivos y señales de derivación.;bajo;evaluación;Registro alimentario de 3 días;Registrar comidas, horarios, hambre, contexto y sensaciones sin cambiar nada inicialmente.;Conocer patrón real.;bajo;3 días;evaluación;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Objetivos SMART nutricionales;Convertir metas genéricas en objetivos concretos, medibles y revisables.;bajo;planificación;Objetivo SMART nutricional;Definir una meta concreta, medible y revisable para la semana.;Aumentar claridad y adherencia.;bajo;10 min semanal;planificación;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Objetivos SMART nutricionales;Convertir metas genéricas en objetivos concretos, medibles y revisables.;bajo;planificación;Plan de autonomía alimentaria;Elegir 2 habilidades: comprar, cocinar, elegir fuera o preparar snack.;Aumentar independencia.;bajo;semanal;educativa;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Educación del plato saludable;Usar proporciones visuales de verduras, proteína, carbohidratos, grasas y agua.;bajo;educativa;Construir plato saludable;Preparar una comida con verdura/proteína/hidrato/grasa saludable según objetivo.;Mejorar composición de comidas.;bajo;diario;educativa;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Educación del plato saludable;Usar proporciones visuales de verduras, proteína, carbohidratos, grasas y agua.;bajo;educativa;Revisión de cena habitual;Mejorar una cena frecuente con proteína, fibra y saciedad.;Optimizar comida clave.;bajo;semanal;educativa;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Lectura de etiquetas;Interpretar ración, energía, proteína, fibra, azúcar, sal, grasas e ingredientes.;bajo;educativa;Revisar etiqueta de 3 productos;Comparar ración, azúcar, sal, fibra, proteína e ingredientes.;Aprender lectura de etiquetas.;bajo;semanal;educativa;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Lectura de etiquetas;Interpretar ración, energía, proteína, fibra, azúcar, sal, grasas e ingredientes.;bajo;educativa;Checklist de platos preparados;Comparar platos preparados por proteína, fibra, sal y calorías.;Elegir mejor cuando no se cocina.;bajo;semanal;educativa;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Estimación de raciones con método visual;Usar mano, plato, tazas o referencias visuales para cantidades.;bajo;educativa;Método de la mano;Usar palma/puño/pulgar como referencia visual de proteína, hidratos y grasas.;Estimar raciones sin obsesión.;bajo;diario;educativa;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Aumento de frutas y verduras;Introducir variedad vegetal de forma gradual y práctica.;bajo;hábitos;Añadir una ración vegetal;Añadir verdura/fruta a una comida habitual.;Aumentar vegetales progresivamente.;bajo;diario;hábitos;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Aumento de fibra;Incluir legumbres, frutas, verduras, integrales, semillas y frutos secos según tolerancia.;bajo;hábitos;Legumbre semanal;Planificar al menos una comida con legumbres.;Aumentar fibra y calidad de dieta.;bajo;semanal;hábitos;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Aumento de fibra;Incluir legumbres, frutas, verduras, integrales, semillas y frutos secos según tolerancia.;bajo;hábitos;Preparar plato de legumbre completo;Crear plato con legumbre, verdura y proteína complementaria si procede.;Mejorar fibra y saciedad.;bajo;semanal;hábitos;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Reducción de ultraprocesados;Sustituir gradualmente productos poco saciantes por alternativas más nutritivas.;bajo;hábitos;Cambio de ultraprocesado frecuente;Sustituir un producto habitual por alternativa más saciante/nutritiva.;Reducir ultraprocesados sin rigidez.;bajo;semanal;hábitos;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Seguimiento de adherencia;Medir cumplimiento de hábitos, barreras y ajustes sin culpabilizar.;bajo;seguimiento;Seguimiento de adherencia semanal;Marcar hábitos cumplidos, barreras y ajustes.;Ajustar sin culpabilizar.;bajo;semanal;seguimiento;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Seguimiento de adherencia;Medir cumplimiento de hábitos, barreras y ajustes sin culpabilizar.;bajo;seguimiento;Diario de energía y sueño;Registrar energía, sueño, hambre y rendimiento.;Relacionar recuperación y alimentación.;bajo;7 días;seguimiento;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011";Educación sobre expectativas realistas;Explicar ritmos, fluctuaciones, retención, ciclo, estrés y margen de error.;bajo;educativa;Expectativas realistas de progreso;Escribir ritmo esperado, fluctuaciones y métricas de éxito no solo peso.;Reducir frustración.;bajo;mensual;educativa;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Bajo consumo de frutas y verduras;Ingesta insuficiente de alimentos vegetales y variedad.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010";Entrevista nutricional inicial;Recoger motivo, historia, horarios, gustos, salud, medicación, restricciones, objetivos y señales de derivación.;bajo;evaluación;Registro alimentario de 3 días;Registrar comidas, horarios, hambre, contexto y sensaciones sin cambiar nada inicialmente.;Conocer patrón real.;bajo;3 días;evaluación;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
Educación nutricional básica;Bajo consumo de frutas y verduras;Ingesta insuficiente de alimentos vegetales y variedad.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010";Objetivos SMART nutricionales;Convertir metas genéricas en objetivos concretos, medibles y revisables.;bajo;planificación;Objetivo SMART nutricional;Definir una meta concreta, medible y revisable para la semana.;Aumentar claridad y adherencia.;bajo;10 min semanal;planificación;media;Adaptar a historia clínica declarada, medicación, analíticas, cultura, economía, preferencias, etapa vital, riesgo de TCA y competencias profesionales. Derivar si hay señales de alarma.
