fuente_id;organismo;titulo;url;notas
PSP_SRC001;Institute of Education Sciences / What Works Clearinghouse;Practice Guides;https://ies.ed.gov/ncee/wwc/practiceguides;Guías prácticas con recomendaciones educativas basadas en revisión de investigación, experiencia profesional y paneles expertos.
PSP_SRC002;IES / WWC;Providing Reading Interventions for Students in Grades 4–9;https://ies.ed.gov/ncee/wwc/PracticeGuide/29;Recomendaciones para intervención lectora en estudiantes de 4º a 9º.
PSP_SRC003;IES / WWC;Foundational Skills to Support Reading for Understanding in K–3;https://ies.ed.gov/ncee/wwc/PracticeGuide/21;Recomendaciones para habilidades lectoras iniciales.
PSP_SRC004;IES / WWC;Improving Reading Comprehension in Kindergarten Through 3rd Grade;https://ies.ed.gov/ncee/wwc/PracticeGuide/14;Comprensión lectora inicial y estrategias de lectura.
PSP_SRC005;IES / WWC;Teaching Elementary School Students to Be Effective Writers;https://ies.ed.gov/ncee/wwc/PracticeGuide/17;Recomendaciones para enseñanza explícita de escritura.
PSP_SRC006;IES / WWC;Teaching Secondary Students to Write Effectively;https://ies.ed.gov/ncee/wwc/PracticeGuide/22;Escritura eficaz en secundaria: planificación, revisión, estrategias y práctica.
PSP_SRC007;IES / WWC;Assisting Students Struggling with Mathematics;https://ies.ed.gov/ncee/wwc/PracticeGuide/2;Intervenciones para dificultades en matemáticas.
PSP_SRC008;IES / WWC;Improving Mathematical Problem Solving in Grades 4 Through 8;https://ies.ed.gov/ncee/wwc/PracticeGuide/16;Recomendaciones para resolución de problemas matemáticos.
PSP_SRC009;CAST;Universal Design for Learning Guidelines;https://udlguidelines.cast.org/;UDL: múltiples formas de implicación, representación, acción y expresión.
PSP_SRC010;CAST;Universal Design for Learning;https://www.cast.org/what-we-do/universal-design-for-learning/;Marco de diseño universal para reducir barreras y aumentar acceso al aprendizaje.
PSP_SRC011;Education Endowment Foundation;Self-regulation and executive function;https://educationendowmentfoundation.org.uk/early-years/evidence-store/self-regulation-and-executive-function;Evidencia sobre autorregulación y función ejecutiva en aprendizaje.
PSP_SRC012;Reading Rockets;Executive Function Challenges;https://www.readingrockets.org/helping-all-readers/neurodiversity-and-children-learning-differences/children-executive-function;Dificultades ejecutivas: atención, organización, planificación, seguimiento de instrucciones y emociones.
PSP_SRC013;NICE;Attention deficit hyperactivity disorder: diagnosis and management NG87;https://www.nice.org.uk/guidance/ng87;"Guía clínica sobre TDAH; útil como referencia de coordinación, no para diagnóstico por la app."
PSP_SRC014;Understood;Universal Design for Learning: teacher's guide;https://www.understood.org/en/articles/understanding-universal-design-for-learning;Explicación práctica de UDL y sus tres principios.
