recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
LOG_R0001;LOG_P001;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0002;LOG_P001;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0003;LOG_P001;LOG_T002;LOG_TA003;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0004;LOG_P001;LOG_T002;LOG_TA004;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0005;LOG_P001;LOG_T003;LOG_TA005;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0006;LOG_P001;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0007;LOG_P001;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0008;LOG_P002;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0009;LOG_P002;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0010;LOG_P002;LOG_T002;LOG_TA003;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0011;LOG_P002;LOG_T002;LOG_TA004;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0012;LOG_P002;LOG_T003;LOG_TA005;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0013;LOG_P002;LOG_T004;LOG_TA006;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0014;LOG_P002;LOG_T004;LOG_TA007;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0015;LOG_P002;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0016;LOG_P002;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0017;LOG_P003;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0018;LOG_P003;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0019;LOG_P003;LOG_T002;LOG_TA003;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0020;LOG_P003;LOG_T002;LOG_TA004;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0021;LOG_P003;LOG_T006;LOG_TA009;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0022;LOG_P003;LOG_T006;LOG_TA010;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0023;LOG_P003;LOG_T013;LOG_TA017;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0024;LOG_P003;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0025;LOG_P003;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0026;LOG_P004;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0027;LOG_P004;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0028;LOG_P004;LOG_T004;LOG_TA006;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0029;LOG_P004;LOG_T004;LOG_TA007;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0030;LOG_P004;LOG_T005;LOG_TA008;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0031;LOG_P004;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0032;LOG_P004;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0033;LOG_P005;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0034;LOG_P005;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0035;LOG_P005;LOG_T004;LOG_TA006;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0036;LOG_P005;LOG_T004;LOG_TA007;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0037;LOG_P005;LOG_T005;LOG_TA008;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0038;LOG_P005;LOG_T011;LOG_TA015;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0039;LOG_P005;LOG_T012;LOG_TA016;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0040;LOG_P005;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0041;LOG_P005;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0042;LOG_P006;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0043;LOG_P006;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0044;LOG_P006;LOG_T006;LOG_TA009;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0045;LOG_P006;LOG_T006;LOG_TA010;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0046;LOG_P006;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0047;LOG_P006;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0048;LOG_P007;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0049;LOG_P007;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0050;LOG_P007;LOG_T007;LOG_TA011;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0051;LOG_P007;LOG_T008;LOG_TA012;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0052;LOG_P007;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0053;LOG_P007;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0054;LOG_P008;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0055;LOG_P008;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0056;LOG_P008;LOG_T007;LOG_TA011;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0057;LOG_P008;LOG_T008;LOG_TA012;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0058;LOG_P008;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0059;LOG_P008;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0060;LOG_P009;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0061;LOG_P009;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0062;LOG_P009;LOG_T009;LOG_TA013;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0063;LOG_P009;LOG_T010;LOG_TA014;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0064;LOG_P009;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0065;LOG_P009;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0066;LOG_P010;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0067;LOG_P010;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0068;LOG_P010;LOG_T009;LOG_TA013;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0069;LOG_P010;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0070;LOG_P010;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0071;LOG_P011;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0072;LOG_P011;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0073;LOG_P011;LOG_T003;LOG_TA005;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0074;LOG_P011;LOG_T011;LOG_TA015;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0075;LOG_P011;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0076;LOG_P012;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0077;LOG_P012;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0078;LOG_P012;LOG_T011;LOG_TA015;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0079;LOG_P012;LOG_T012;LOG_TA016;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0080;LOG_P012;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0081;LOG_P012;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0082;LOG_P013;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0083;LOG_P013;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0084;LOG_P013;LOG_T004;LOG_TA006;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0085;LOG_P013;LOG_T004;LOG_TA007;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0086;LOG_P013;LOG_T013;LOG_TA017;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0087;LOG_P013;LOG_T014;LOG_TA018;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0088;LOG_P013;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0089;LOG_P013;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0090;LOG_P014;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0091;LOG_P014;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0092;LOG_P014;LOG_T013;LOG_TA017;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0093;LOG_P014;LOG_T014;LOG_TA018;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0094;LOG_P014;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0095;LOG_P014;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0096;LOG_P015;LOG_T001;LOG_TA001;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0097;LOG_P015;LOG_T001;LOG_TA002;alta;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0098;LOG_P015;LOG_T014;LOG_TA018;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0099;LOG_P015;LOG_T015;LOG_TA019;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
LOG_R0100;LOG_P015;LOG_T016;LOG_TA020;media;El logopeda debe adaptar la pauta a edad, evaluación, contexto familiar/escolar y objetivos funcionales.
