problema_id;tecnica_id
FIS2_P001;FIS2_T001
FIS2_P001;FIS2_T002
FIS2_P001;FIS2_T003
FIS2_P001;FIS2_T004
FIS2_P001;FIS2_T005
FIS2_P001;FIS2_T060
FIS2_P001;FIS2_T061
FIS2_P002;FIS2_T001
FIS2_P002;FIS2_T002
FIS2_P002;FIS2_T003
FIS2_P002;FIS2_T004
FIS2_P002;FIS2_T005
FIS2_P002;FIS2_T060
FIS2_P002;FIS2_T061
FIS2_P003;FIS2_T001
FIS2_P003;FIS2_T002
FIS2_P003;FIS2_T003
FIS2_P003;FIS2_T004
FIS2_P003;FIS2_T005
FIS2_P003;FIS2_T060
FIS2_P003;FIS2_T061
FIS2_P004;FIS2_T001
FIS2_P004;FIS2_T002
FIS2_P004;FIS2_T003
FIS2_P004;FIS2_T004
FIS2_P004;FIS2_T005
FIS2_P004;FIS2_T060
FIS2_P004;FIS2_T061
FIS2_P005;FIS2_T001
FIS2_P005;FIS2_T002
FIS2_P005;FIS2_T003
FIS2_P005;FIS2_T004
FIS2_P005;FIS2_T005
FIS2_P005;FIS2_T060
FIS2_P005;FIS2_T061
FIS2_P006;FIS2_T005
FIS2_P006;FIS2_T010
FIS2_P006;FIS2_T011
FIS2_P006;FIS2_T012
FIS2_P006;FIS2_T055
FIS2_P006;FIS2_T056
FIS2_P006;FIS2_T061
FIS2_P006;FIS2_T064
FIS2_P007;FIS2_T005
FIS2_P007;FIS2_T010
FIS2_P007;FIS2_T011
FIS2_P007;FIS2_T012
FIS2_P007;FIS2_T055
FIS2_P007;FIS2_T056
FIS2_P007;FIS2_T061
FIS2_P007;FIS2_T064
FIS2_P008;FIS2_T005
FIS2_P008;FIS2_T010
FIS2_P008;FIS2_T011
FIS2_P008;FIS2_T012
FIS2_P008;FIS2_T055
FIS2_P008;FIS2_T056
FIS2_P008;FIS2_T061
FIS2_P008;FIS2_T064
FIS2_P009;FIS2_T005
FIS2_P009;FIS2_T010
FIS2_P009;FIS2_T011
FIS2_P009;FIS2_T012
FIS2_P009;FIS2_T055
FIS2_P009;FIS2_T056
FIS2_P009;FIS2_T061
FIS2_P009;FIS2_T064
FIS2_P010;FIS2_T005
FIS2_P010;FIS2_T010
FIS2_P010;FIS2_T011
