recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
OST_R0001;OST_P001;OST_T001;OST_TA001;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0002;OST_P001;OST_T002;OST_TA003;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0003;OST_P001;OST_T005;OST_TA008;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0004;OST_P001;OST_T007;OST_TA007;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0005;OST_P001;OST_T007;OST_TA012;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0006;OST_P001;OST_T008;OST_TA004;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0007;OST_P001;OST_T008;OST_TA005;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0008;OST_P001;OST_T009;OST_TA002;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0009;OST_P001;OST_T010;OST_TA010;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0010;OST_P001;OST_T010;OST_TA011;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0011;OST_P001;OST_T012;OST_TA013;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0012;OST_P001;OST_T013;OST_TA014;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0013;OST_P001;OST_T014;OST_TA015;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0014;OST_P002;OST_T001;OST_TA001;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0015;OST_P002;OST_T002;OST_TA003;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0016;OST_P002;OST_T005;OST_TA008;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0017;OST_P002;OST_T007;OST_TA007;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0018;OST_P002;OST_T007;OST_TA012;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0019;OST_P002;OST_T008;OST_TA004;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0020;OST_P002;OST_T008;OST_TA005;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0021;OST_P002;OST_T013;OST_TA014;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0022;OST_P003;OST_T001;OST_TA001;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0023;OST_P003;OST_T002;OST_TA003;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0024;OST_P003;OST_T005;OST_TA008;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0025;OST_P003;OST_T007;OST_TA007;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0026;OST_P003;OST_T007;OST_TA012;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0027;OST_P003;OST_T008;OST_TA004;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0028;OST_P003;OST_T008;OST_TA005;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0029;OST_P003;OST_T010;OST_TA010;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0030;OST_P003;OST_T010;OST_TA011;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0031;OST_P003;OST_T012;OST_TA013;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0032;OST_P003;OST_T014;OST_TA015;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0033;OST_P004;OST_T001;OST_TA001;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0034;OST_P004;OST_T005;OST_TA008;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0035;OST_P004;OST_T007;OST_TA007;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0036;OST_P004;OST_T007;OST_TA012;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0037;OST_P004;OST_T008;OST_TA004;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0038;OST_P004;OST_T008;OST_TA005;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0039;OST_P004;OST_T013;OST_TA014;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0040;OST_P005;OST_T001;OST_TA001;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0041;OST_P005;OST_T002;OST_TA003;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0042;OST_P005;OST_T005;OST_TA008;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0043;OST_P005;OST_T008;OST_TA004;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0044;OST_P005;OST_T008;OST_TA005;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0045;OST_P005;OST_T011;OST_TA006;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0046;OST_P005;OST_T013;OST_TA014;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0047;OST_P006;OST_T001;OST_TA001;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0048;OST_P006;OST_T002;OST_TA003;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0049;OST_P006;OST_T011;OST_TA006;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0050;OST_P006;OST_T014;OST_TA015;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0051;OST_P007;OST_T001;OST_TA001;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0052;OST_P007;OST_T002;OST_TA003;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0053;OST_P007;OST_T005;OST_TA008;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0054;OST_P007;OST_T006;OST_TA009;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0055;OST_P007;OST_T007;OST_TA007;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0056;OST_P007;OST_T007;OST_TA012;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0057;OST_P007;OST_T012;OST_TA013;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0058;OST_P007;OST_T014;OST_TA015;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0059;OST_P008;OST_T001;OST_TA001;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0060;OST_P008;OST_T002;OST_TA003;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0061;OST_P008;OST_T005;OST_TA008;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0062;OST_P008;OST_T007;OST_TA007;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0063;OST_P008;OST_T007;OST_TA012;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0064;OST_P008;OST_T008;OST_TA004;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0065;OST_P008;OST_T008;OST_TA005;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0066;OST_P008;OST_T012;OST_TA013;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0067;OST_P008;OST_T014;OST_TA015;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0068;OST_P009;OST_T001;OST_TA001;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0069;OST_P009;OST_T002;OST_TA003;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0070;OST_P009;OST_T005;OST_TA008;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0071;OST_P009;OST_T006;OST_TA009;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0072;OST_P009;OST_T007;OST_TA007;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0073;OST_P009;OST_T007;OST_TA012;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0074;OST_P009;OST_T008;OST_TA004;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0075;OST_P009;OST_T008;OST_TA005;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0076;OST_P009;OST_T009;OST_TA002;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0077;OST_P009;OST_T012;OST_TA013;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0078;OST_P010;OST_T001;OST_TA001;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0079;OST_P010;OST_T002;OST_TA003;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0080;OST_P010;OST_T005;OST_TA008;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0081;OST_P010;OST_T006;OST_TA009;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0082;OST_P010;OST_T007;OST_TA007;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0083;OST_P010;OST_T007;OST_TA012;media;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0084;OST_P010;OST_T008;OST_TA004;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
OST_R0085;OST_P010;OST_T008;OST_TA005;alta;El osteópata debe adaptar la pauta a valoración, tolerancia, contraindicaciones, objetivos funcionales y normativa aplicable.
