fuente_id;organismo;titulo;url;notas
FIS_SRC001;APTA;Clinical Practice Guidelines Library;https://www.apta.org/patient-care/evidence-based-practice-resources/cpgs;Biblioteca curada de guías de práctica clínica relevantes para fisioterapia.
FIS_SRC002;World Physiotherapy;Standards of physiotherapist practice;https://world.physio/guideline/standards;Estándares de práctica profesional para fisioterapeutas.
FIS_SRC003;NICE;Osteoarthritis in over 16s: diagnosis and management;https://www.nice.org.uk/guidance/ng226;Guía sobre evaluación y manejo no quirúrgico de osteoartritis.
FIS_SRC004;NICE;Rehabilitation after traumatic injury;https://www.nice.org.uk/guidance/ng211/chapter/Recommendations;Evaluación, objetivos, plan de rehabilitación e intervenciones tras lesión traumática.
FIS_SRC005;NICE;Low back pain and sciatica in over 16s;https://www.nice.org.uk/guidance/ng59;"Guía sobre dolor lumbar y ciática; educación, ejercicio y manejo no invasivo."
FIS_SRC006;KNGF;Guidelines - Kennisplatform Fysiotherapie;https://www.kennisplatformfysiotherapie.nl/guidelines/;Guías clínicas de fisioterapia traducidas al inglés para acceso internacional.
FIS_SRC007;Physiopedia;Clinical Guidelines overview;https://www.physio-pedia.com/Clinical_Guidelines;Recurso educativo sobre guías clínicas y práctica basada en evidencia.
FIS_SRC008;World Health Organization;International Classification of Functioning, Disability and Health;https://www.who.int/standards/classifications/international-classification-of-functioning-disability-and-health;Marco ICF para funcionamiento, discapacidad y salud.
FIS_SRC009;NICE;Falls in older people: assessing risk and prevention;https://www.nice.org.uk/guidance/cg161;Referencia para riesgo de caídas en mayores y prevención.
FIS_SRC010;NICE;Rheumatoid arthritis in adults: management;https://www.nice.org.uk/guidance/ng100;Referencia para coordinación en procesos inflamatorios y educación/derivación si procede.
