documento_id;nombre;tipo;descripcion;problema_ids;nivel_riesgo
PSP2_D001;Informe psicopedagógico ampliado;Informe;Motivo, antecedentes, observación, áreas evaluadas, hipótesis, necesidades y recomendaciones.;Todos;medio
PSP2_D002;Plan de intervención psicopedagógica;Plan;Objetivos, técnicas, tareas, indicadores, responsables y revisión temporal.;Todos;bajo
PSP2_D003;Plan de apoyo TDAH;Plan;Atención, organización, tiempo, impulsividad, familia, aula y seguimiento.;"PSP2_P001;PSP2_P002;PSP2_P003;PSP2_P004;PSP2_P005;PSP2_P006;PSP2_P007;PSP2_P008";medio
PSP2_D004;Plan de apoyo TEA / Autismo;Plan;Anticipación, comunicación social, apoyos visuales, sensorialidad y coordinación.;"PSP2_P009;PSP2_P010;PSP2_P011;PSP2_P012;PSP2_P013;PSP2_P014;PSP2_P015;PSP2_P016";medio
PSP2_D005;Plan de enriquecimiento para Altas Capacidades;Plan;Compactación, reto, proyecto, motivación, frustración y perfil 2e.;"PSP2_P017;PSP2_P018;PSP2_P019;PSP2_P020;PSP2_P021";bajo
PSP2_D006;Plan de apoyo lector / dislexia;Plan;Conciencia fonológica, decodificación, fluidez, comprensión y adaptaciones lectoras.;"PSP2_P022;PSP2_P023;PSP2_P024;PSP2_P025;PSP2_P026";medio
PSP2_D007;Plan de apoyo matemático / discalculia;Plan;Sentido numérico, cálculo, problemas, apoyos visuales y ansiedad matemática.;"PSP2_P027;PSP2_P028;PSP2_P029;PSP2_P030";medio
PSP2_D008;Plan de apoyo a escritura / disgrafía;Plan;Grafomotricidad, plantillas, revisión, fatiga y expresión escrita.;"PSP2_P031;PSP2_P032;PSP2_P033;PSP2_P034";medio
PSP2_D009;Plan de funciones ejecutivas;Plan;Agenda, checklist, memoria de trabajo externa, monitorización y autonomía.;"PSP2_P035;PSP2_P036;PSP2_P037;PSP2_P038;PSP2_P039;PSP2_P040";bajo
PSP2_D010;Plan de ansiedad académica;Plan;Exámenes, participación, error, exposición gradual, afrontamiento y seguimiento.;"PSP2_P041;PSP2_P042;PSP2_P043;PSP2_P044";medio
PSP2_D011;Plan de técnicas de estudio;Plan;Recuperación activa, repaso espaciado, mapas, metacognición y planificación.;"PSP2_P045;PSP2_P046;PSP2_P047;PSP2_P048";bajo
PSP2_D012;Documento de adaptaciones educativas;Documento;Necesidad, ajuste, evidencias, responsable, fecha de revisión y observaciones.;"PSP2_P049;PSP2_P050;PSP2_P051;PSP2_P052";medio
PSP2_D013;Informe de coordinación familia-centro;Informe;Acuerdos, objetivos, apoyos, responsabilidades, avances y barreras.;"PSP2_P051;PSP2_P052";bajo
PSP2_D014;Informe de evolución trimestral;Informe;Objetivos trabajados, tareas realizadas, indicadores, avances y próximos pasos.;Todos;bajo
PSP2_D015;Plan de motivación y adherencia;Plan;Objetivos, refuerzos, autonomía, barreras y prevención de abandono.;"PSP2_P057;PSP2_P058;PSP2_P059;PSP2_P060";bajo
