tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
OST_TA001;Registro funcional inicial;Registrar dolor, movilidad, actividades limitadas y objetivos.;Definir punto de partida funcional.;bajo;7 días;OST_T001
OST_TA002;Registro dolor-respuesta 24h;Anotar actividad realizada, dolor durante y respuesta al día siguiente.;Regular carga y detectar patrones.;bajo;7 días;OST_T009
OST_TA003;Leer pauta sobre dolor y movimiento;Revisar material breve sobre dolor, movilidad, carga y actividad.;Mejorar comprensión y adherencia.;bajo;10-20 min;OST_T002
OST_TA004;Movilidad lumbar diaria;Realizar movilidad lumbar suave indicada por el profesional.;Mejorar confianza y movilidad.;bajo;5-10 min/día;OST_T008
OST_TA005;Movilidad cervical diaria;Realizar movilidad cervical suave indicada por el profesional.;Mejorar movilidad cervical.;bajo;5-10 min/día;OST_T008
OST_TA006;Movilidad torácica y respiración;Combinar movimientos torácicos suaves con respiración controlada.;Mejorar movilidad torácica funcional.;bajo;5-10 min/día;OST_T011
OST_TA007;Ejercicios ATM suaves;Realizar ejercicios mandibulares suaves indicados por profesional.;Mejorar control y movilidad mandibular.;medio;5 min/día;OST_T007
OST_TA008;Autoliberación miofascial pautada;Aplicar técnica de automasaje o liberación suave si está indicada.;Mejorar percepción de tensión y autocuidado.;bajo;5-10 min;OST_T005
OST_TA009;Ejercicio de energía muscular domiciliario;Realizar contracciones suaves indicadas por profesional.;Mejorar movilidad/control cuando proceda.;medio;5 min/día;OST_T006
OST_TA010;Pausas activas laborales;Programar pausas breves de movimiento durante trabajo sedentario.;Reducir rigidez y carga mantenida.;bajo;1 semana;OST_T010
OST_TA011;Ergonomía flexible;Ajustar entorno y variar posturas sin buscar postura perfecta.;Mejorar comodidad y tolerancia.;bajo;20 min;OST_T010
OST_TA012;Caminar de forma progresiva;Planificar caminata con duración gradual según tolerancia.;Mejorar capacidad funcional.;bajo;3-5 días/semana;OST_T007
OST_TA013;Plan ante brote;Definir acciones ante aumento de síntomas: reducir carga, mantener movilidad tolerable y revisar señales.;Mejorar autogestión.;bajo;20 min;OST_T012
OST_TA014;Rutina de mantenimiento;Crear rutina mínima semanal de movilidad, fuerza suave o actividad.;Mantener mejoras.;bajo;20 min;OST_T013
OST_TA015;Revisión de señales de alarma;Revisar signos que requieren derivación o valoración médica.;Aumentar seguridad.;alto;supervisado;OST_T014
