exercise_id;name_en;name_es;equipment_id;category;difficulty;mechanics;movement_pattern;description_es;cues_es;source_ids
FIT_EX001;Push-up;Flexión;EQ_BODY;Empuje;Principiante;Compuesto;Empuje horizontal;Ejercicio básico de empuje con peso corporal.;Mantener cuerpo alineado y controlar la bajada.;"FIT_SRC005;FIT_SRC006"
FIT_EX002;Bench Press;Press banca con barra;EQ_BARBELL;Empuje;Intermedio;Compuesto;Empuje horizontal;Ejercicio principal para pectoral con barra.;Escápulas estables, pies firmes y recorrido controlado.;"FIT_SRC005;FIT_SRC006"
FIT_EX003;Incline Dumbbell Press;Press inclinado con mancuernas;EQ_DUMBBELL;Empuje;Intermedio;Compuesto;Empuje inclinado;Variante para enfatizar la zona superior del pectoral.;Controlar la bajada y no perder estabilidad del hombro.;"FIT_SRC005;FIT_SRC006"
FIT_EX004;Cable Fly;Aperturas en polea;EQ_CABLE;Empuje;Intermedio;Aislamiento;Aducción horizontal;Ejercicio de aislamiento de pectoral.;Codos ligeramente flexionados y tensión constante.;"FIT_SRC005;FIT_SRC006"
FIT_EX005;Machine Chest Press;Press de pecho en máquina;EQ_MACHINE;Empuje;Principiante;Compuesto;Empuje horizontal;Empuje guiado para pectoral y tríceps.;Ajustar asiento y no bloquear codos violentamente.;"FIT_SRC005;FIT_SRC006"
FIT_EX006;Pull-up;Dominada;EQ_BODY;Tirón;Intermedio;Compuesto;Tirón vertical;Ejercicio de tirón vertical con peso corporal.;Iniciar con depresión escapular y evitar balanceos.;"FIT_SRC005;FIT_SRC006"
FIT_EX007;Lat Pulldown;Jalón al pecho;EQ_CABLE;Tirón;Principiante;Compuesto;Tirón vertical;Tirón vertical en polea para dorsal.;Llevar codos hacia abajo, no tirar solo con brazos.;"FIT_SRC005;FIT_SRC006"
FIT_EX008;Barbell Row;Remo con barra;EQ_BARBELL;Tirón;Intermedio;Compuesto;Tirón horizontal;Remo pesado para espalda media y dorsal.;Espalda neutra, tirar hacia abdomen y controlar bajada.;"FIT_SRC005;FIT_SRC006"
FIT_EX009;Seated Cable Row;Remo sentado en polea;EQ_CABLE;Tirón;Principiante;Compuesto;Tirón horizontal;Remo guiado para espalda media.;Evitar encoger hombros, llevar codos atrás.;"FIT_SRC005;FIT_SRC006"
FIT_EX010;One-arm Dumbbell Row;Remo unilateral con mancuerna;EQ_DUMBBELL;Tirón;Principiante;Compuesto;Tirón horizontal;Remo unilateral para dorsal y espalda.;Mantener tronco estable y tirar con el codo.;"FIT_SRC005;FIT_SRC006"
FIT_EX011;Overhead Press;Press militar;EQ_BARBELL;Empuje;Intermedio;Compuesto;Empuje vertical;Empuje vertical para hombros y tríceps.;Evitar arquear en exceso la zona lumbar.;"FIT_SRC005;FIT_SRC006"
FIT_EX012;Dumbbell Lateral Raise;Elevaciones laterales;EQ_DUMBBELL;Hombro;Principiante;Aislamiento;Abducción hombro;Aislamiento del deltoides lateral.;Subir controlado sin impulso excesivo.;"FIT_SRC005;FIT_SRC006"
