tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tipo_intervencion;tecnica_id
FIS2_TA001;Ficha inicial de fisioterapia;Registrar motivo, historia, evolución, función, medicación declarada, actividad y objetivos.;Estructurar valoración inicial.;bajo;20-40 min;evaluación;FIS2_T001
FIS2_TA002;Checklist de banderas rojas;Revisar síntomas de alarma y criterios de derivación antes de pautar ejercicio.;Aumentar seguridad.;alto;cada valoración;seguridad;FIS2_T002
FIS2_TA003;Escala dolor-función;Registrar dolor 0-10, actividad limitada y objetivo funcional.;Medir evolución.;bajo;cada sesión;evaluación;FIS2_T004
FIS2_TA004;Test funcional elegido;Seleccionar test relevante: sit-to-stand, escaleras, marcha, alcance, etc.;Vincular terapia a función real.;bajo;inicio/revisión;evaluación;FIS2_T003
FIS2_TA005;Educación de dolor básica;Explicar que dolor no siempre equivale a daño y cómo dosificar actividad.;Reducir miedo y mejorar autocuidado.;bajo;sesión;educación;FIS2_T005
FIS2_TA006;Plan de actividad gradual;Definir actividad base y progresión pequeña semanal.;Recuperar tolerancia.;bajo;semanal;ejercicio;FIS2_T006
FIS2_TA007;Pacing diario;Planificar bloques de actividad-descanso evitando picos de sobreesfuerzo.;Regular síntomas persistentes.;bajo;diario;dolor_persistente;FIS2_T007
FIS2_TA008;Programa domiciliario claro;Entregar 3-5 ejercicios con dosis, frecuencia y criterios de pausa.;Mejorar adherencia.;bajo;semanal;tareas;FIS2_T061
FIS2_TA009;Registro de adherencia;Marcar ejercicios realizados, dolor antes/después y barreras.;Ajustar pauta.;bajo;semanal;hábitos;FIS2_T062
FIS2_TA010;Semáforo de dolor 24h;Verde continuar, amarillo ajustar, rojo parar/consultar según evolución.;Dosificar con seguridad.;medio;cada ejercicio;seguridad;FIS2_T064
FIS2_TA011;Retracción cervical suave;Ejercicio de control cervical en rango tolerado.;Mejorar control cervical.;bajo;diario;control_motor;FIS2_T011
FIS2_TA012;Movilidad cervical en rangos cómodos;Flexión/extensión/rotación/inclinación suaves sin forzar.;Reducir rigidez cervical.;bajo;diario;movilidad;FIS2_T012
FIS2_TA013;Pausas cervicales en pantalla;Micro-pausas con movimiento de cuello/hombros y cambio postural.;Reducir carga sostenida.;bajo;cada 45-60 min;ergonomía;FIS2_T056
FIS2_TA014;Ajuste básico de pantalla;Revisar altura, distancia, silla, teclado y pausas.;Mejorar entorno de trabajo.;bajo;una vez/revisión;ergonomía;FIS2_T055
FIS2_TA015;Extensión torácica sobre respaldo/toalla;Movilizar extensión dorsal de forma cómoda.;Mejorar movilidad torácica.;bajo;3-5 días/semana;movilidad;FIS2_T013
FIS2_TA016;Rotación torácica en cuadrupedia;Rotaciones suaves coordinadas con respiración.;Mejorar rotación dorsal.;bajo;3-5 días/semana;movilidad;FIS2_T013
FIS2_TA017;Respiración costal lateral;Practicar expansión costal y respiración lenta.;Mejorar control respiratorio.;medio;diario;respiratoria;FIS2_T014
FIS2_TA018;Dead bug adaptado;Ejercicio de control lumbo-pélvico con extremidades.;Mejorar estabilidad lumbar.;bajo;3 días/semana;control_motor;FIS2_T015
FIS2_TA019;Bird dog progresivo;Trabajo de estabilidad en cuadrupedia.;Mejorar coordinación tronco-extremidad.;bajo;3 días/semana;control_motor;FIS2_T015
FIS2_TA020;Puente de glúteo;Extensión de cadera con control lumbar.;Mejorar fuerza y control lumbo-pélvico.;bajo;3 días/semana;fuerza;FIS2_T016
FIS2_TA021;Plancha lateral modificada;Progresión de core lateral según tolerancia.;Mejorar estabilidad lateral.;bajo;2-3 días/semana;fuerza;FIS2_T016
FIS2_TA022;Higiene de carga lumbar;Practicar acercar carga, variar postura y progresar peso.;Mejorar manejo de cargas.;bajo;según tarea;educación;FIS2_T017
FIS2_TA023;Neurodinamia ciática suave;Movilización neural no provocativa si indicada.;Reducir sensibilidad neural.;medio;según pauta;neural;FIS2_T018
