AREA;PROBLEMA_OBJETIVO;ALIAS;RIESGO_PROBLEMA;TECNICA_METODO;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO;RIESGO_TAREA;DURACION;PRIORIDAD;FUENTE_IDS;NOTA_PROFESIONAL
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Evaluación logopédica funcional;Completar historia logopédica inicial;Formulario sobre motivo de consulta, desarrollo, antecedentes, entorno, colegio/trabajo y objetivos.;Definir punto de partida y prioridades.;bajo;20-30 min;alta;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Evaluación logopédica funcional;Registrar situaciones comunicativas difíciles;Anotar situaciones donde hablar/comprender/tragar resulta más difícil.;Identificar contexto funcional.;bajo;7 días;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Evaluación logopédica funcional;Grabar muestra breve de habla;Grabar 1-2 minutos de habla espontánea o lectura según indicación profesional.;Analizar inteligibilidad y evolución.;medio;5 min;alta;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Evaluación logopédica funcional;Lista de objetivos funcionales;Elegir 2-3 objetivos comunicativos reales para casa, colegio o trabajo.;Orientar intervención a participación.;bajo;15 min;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Entrenamiento articulatorio;Práctica de fonema en sílabas;Repetir el fonema objetivo en sílabas directas/inversas.;Automatizar producción inicial.;bajo;10 min/día;alta;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Entrenamiento articulatorio;Práctica de fonema en palabras;Practicar listas de palabras con el sonido objetivo en distintas posiciones.;Generalizar articulación en palabras.;bajo;10 min/día;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Entrenamiento articulatorio;Práctica de fonema en frases;Usar palabras objetivo dentro de frases cortas.;Generalizar a habla estructurada.;bajo;10 min/día;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Entrenamiento articulatorio;Generalización en conversación;Usar el sonido trabajado en conversación breve supervisada.;Transferir a habla espontánea.;medio;5-10 min/día;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Discriminación auditiva;Pares mínimos;Escuchar, identificar y producir pares de palabras que contrastan sonidos.;Mejorar discriminación y contraste fonológico.;bajo;10 min/día;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Discriminación auditiva;Detectar errores propios;Escuchar una producción y marcar si el sonido fue correcto o no.;Aumentar conciencia fonológica/articulatoria.;medio;10 min/día;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Plan domiciliario y familiar;Pauta familiar semanal;La familia aplica una pauta concreta en una rutina diaria.;Generalizar intervención al entorno.;bajo;7 días;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Plan domiciliario y familiar;Registro de práctica en casa;Marcar días de práctica, dificultad y observaciones.;Mejorar adherencia y seguimiento.;bajo;7 días;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Plan domiciliario y familiar;Adaptar material a intereses;Crear lista de temas, juguetes, lecturas o actividades motivantes.;Aumentar adherencia.;bajo;15 min;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Prevención y mantenimiento;Plan de mantenimiento;Definir rutina mínima de práctica tras mejora o alta.;Mantener logros.;bajo;20 min;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno de los sonidos del habla;Dislalia / articulación;bajo;Prevención y mantenimiento;Diario de generalización;Registrar cuándo se usó la habilidad fuera de consulta.;Comprobar transferencia a vida real.;bajo;7 días;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno fonológico;Procesos fonológicos persistentes;medio;Evaluación logopédica funcional;Completar historia logopédica inicial;Formulario sobre motivo de consulta, desarrollo, antecedentes, entorno, colegio/trabajo y objetivos.;Definir punto de partida y prioridades.;bajo;20-30 min;alta;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
Habla y articulación;Trastorno fonológico;Procesos fonológicos persistentes;medio;Evaluación logopédica funcional;Registrar situaciones comunicativas difíciles;Anotar situaciones donde hablar/comprender/tragar resulta más difícil.;Identificar contexto funcional.;bajo;7 días;media;"LOG_SRC001;LOG_SRC002";El logopeda debe adaptar la tarea a edad, evaluación, objetivos, contexto familiar/escolar/laboral, seguridad y normativa aplicable.
