AREA;PROBLEMA_OBJETIVO;POBLACION;RIESGO_PROBLEMA;TECNICA_METODO;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO_TAREA;RIESGO_TAREA;DURACION;PRIORIDAD;FUENTE_IDS;NOTA_PROFESIONAL
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Psicoeducación;Psicoeducación sobre neurodivergencia;Revisar fortalezas, dificultades, mitos y necesidades de apoyo.;Mejorar autocomprensión.;bajo;sesión;alta;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Planificación externa;Registro diario de atención y distracciones;Anotar situación, distractor, duración y estrategia usada.;Detectar patrones atencionales.;bajo;7 días;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Planificación externa;Agenda externa semanal;Volcar citas, tareas, vencimientos y recordatorios en un sistema único.;Compensar memoria/organización.;bajo;semanal;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Planificación externa;Rutina mínima diaria;Definir mínimos de sueño, comida, higiene, movimiento y tarea clave.;Recuperar estructura.;bajo;diario;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Fragmentación de tareas;Checklist de inicio de tarea;Antes de empezar: objetivo, primer paso, materiales y tiempo estimado.;Reducir fricción inicial.;bajo;diario;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Fragmentación de tareas;Tarea suficientemente buena;Entregar o terminar algo al 80% de perfección.;Reducir perfeccionismo.;medio;semanal;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Fragmentación de tareas;Primer paso de 5 minutos;Iniciar tarea evitada solo durante 5 minutos.;Romper evitación.;bajo;cuando proceda;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Gestión del tiempo;Bloques de trabajo con temporizador;Usar bloques breves con descanso planificado.;Mejorar adherencia y foco.;bajo;diario;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Entrenamiento en pausa;Pausa de 10 segundos antes de responder;Parar, respirar y elegir respuesta antes de actuar.;Reducir impulsividad.;bajo;diario;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Entrenamiento en pausa;Tarjeta de pausa emocional;Crear tarjeta con pasos: parar, respirar, nombrar, elegir.;Facilitar autocontrol.;bajo;diario;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Adaptaciones para neurodivergencia;Plan de cambios imprevistos;Crear protocolo: aviso, pausa, opciones y siguiente paso.;Reducir rigidez ante cambios.;bajo;semanal;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Análisis sensorial;Mapa de sobrecarga sensorial;Registrar estímulos, intensidad, contexto y recuperación.;Identificar perfil sensorial.;medio;7 días;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TDAH adulto - inatención funcional;Adultos;medio;Análisis sensorial;Plan de regulación sensorial;Definir pausas, auriculares, luz, espacios y señales de descanso.;Prevenir sobrecarga.;medio;semanal;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
