problema_id;area_id;nombre;alias;descripcion;poblacion;nivel_riesgo;fuente_ids
PSP_P001;PSP_A001;Dificultad en conciencia fonológica;Conciencia de sonidos;Dificultad para identificar, segmentar, mezclar o manipular sílabas/fonemas.;Infantil/Primaria;medio;PSP_SRC003
PSP_P002;PSP_A001;Dificultad de decodificación;Lectura de palabras;Problemas para asociar letras-sonidos y leer palabras con precisión.;Primaria;medio;"PSP_SRC003;PSP_SRC002"
PSP_P003;PSP_A001;Lectura lenta o poco fluida;Fluidez lectora;Lectura con baja velocidad, excesivas pausas o escasa automatización.;Primaria/Secundaria;medio;"PSP_SRC002;PSP_SRC003"
PSP_P004;PSP_A001;Errores frecuentes en lectura;Precisión lectora;Sustituciones, omisiones, inversiones o errores persistentes al leer.;Primaria;medio;"PSP_SRC002;PSP_SRC003"
PSP_P005;PSP_A002;Baja comprensión lectora;Comprensión;Dificultad para extraer significado, recordar información o integrar ideas.;Primaria/Secundaria;medio;"PSP_SRC004;PSP_SRC002"
PSP_P006;PSP_A002;Dificultad para inferir;Inferencias;Problemas para deducir información implícita o conectar texto con conocimiento previo.;Primaria/Secundaria;medio;PSP_SRC004
PSP_P007;PSP_A002;Dificultad para resumir;Resumen/idea principal;Problemas para identificar ideas principales y resumir textos.;Primaria/Secundaria;bajo;"PSP_SRC004;PSP_SRC002"
PSP_P008;PSP_A002;Vocabulario académico limitado;Vocabulario;Dificultad con palabras académicas o específicas de materias.;Primaria/Secundaria;bajo;PSP_SRC004
PSP_P009;PSP_A003;Dificultad de planificación escrita;Planificar textos;Problemas para organizar ideas antes de escribir.;Primaria/Secundaria;bajo;"PSP_SRC005;PSP_SRC006"
PSP_P010;PSP_A003;Redacción desorganizada;Estructura textual;Textos sin estructura clara, coherencia o secuencia.;Primaria/Secundaria;medio;"PSP_SRC005;PSP_SRC006"
PSP_P011;PSP_A003;Dificultades ortográficas;Ortografía;Errores frecuentes de ortografía natural o arbitraria.;Primaria/Secundaria;bajo;PSP_SRC005
PSP_P012;PSP_A003;Baja revisión de textos;Revisión;No detecta ni corrige errores de contenido, estructura u ortografía.;Primaria/Secundaria;bajo;"PSP_SRC005;PSP_SRC006"
PSP_P013;PSP_A003;Grafomotricidad / escritura lenta;Escritura manual;Dificultad de legibilidad, velocidad o fatiga al escribir.;Infantil/Primaria;medio;PSP_SRC005
