AREA;PROBLEMA_OBJETIVO;ALIAS;RIESGO_PROBLEMA;TECNICA_METODO;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO;RIESGO_TAREA;DURACION;PRIORIDAD;FUENTE_IDS;NOTA_PROFESIONAL
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Diagnóstico inicial del opositor;Ficha inicial del opositor;Registrar oposición, convocatoria, temario, formato, tiempo disponible y disponibilidad semanal.;Definir punto de partida.;bajo;30 min;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Diagnóstico inicial del opositor;Test diagnóstico inicial;Realizar prueba breve o simulacro parcial para estimar nivel.;Detectar base real.;medio;30-90 min;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Diagnóstico inicial del opositor;Mapa completo del temario;Listar bloques, temas, peso estimado, dificultad y estado.;Visualizar carga total.;bajo;60 min;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Planificación inversa;Calendario inverso hasta examen;Crear calendario desde la fecha de examen hacia atrás.;Asegurar cobertura y repasos.;bajo;45 min;alta;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Planificación inversa;Plan semanal de estudio;Asignar bloques concretos por día con tema, técnica y objetivo.;Ejecutar planificación.;bajo;semanal;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Priorización por impacto/riesgo;Tabla de prioridad de temas;Puntuar cada tema por peso, dificultad, dominio y urgencia.;Priorizar con criterio.;bajo;30 min;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Priorización por impacto/riesgo;Semáforo de temas;Marcar tema en rojo/ámbar/verde según dominio.;Control visual de avance.;bajo;semanal;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Sistema de vueltas;Plan de primera vuelta;Dividir temario en bloques de primera lectura/comprensión.;Completar base inicial.;bajo;variable;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Sistema de vueltas;Plan de segunda vuelta;Programar recuperación y repasos por bloques ya vistos.;Consolidar contenido.;bajo;variable;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Objetivos SMART;Objetivo SMART semanal;Definir objetivo concreto de avance/repaso/simulacro.;Aumentar foco.;bajo;semanal;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
