problema_id;area_id;nombre;alias;descripcion;poblacion;nivel_riesgo;fuente_ids
NUT_P001;NUT_A001;Pérdida de peso saludable;Déficit energético moderado;Objetivo de reducción de peso mediante cambios sostenibles de hábitos.;Adultos;medio;"NUT_SRC001;NUT_SRC004;NUT_SRC010"
NUT_P002;NUT_A001;Mantenimiento de peso;Prevención de recuperación ponderal;Consolidación de hábitos tras pérdida de peso o cambio de rutina.;Adultos;bajo;"NUT_SRC001;NUT_SRC010"
NUT_P003;NUT_A001;Ganancia de masa muscular;Hipertrofia / recomposición;Planificación nutricional para apoyar entrenamiento de fuerza y ganancia magra.;Adultos;bajo;NUT_SRC001
NUT_P004;NUT_A001;Obesidad;Exceso de peso con riesgo metabólico;Abordaje nutricional y conductual en contexto de obesidad.;Adultos;medio;"NUT_SRC010;NUT_SRC001"
NUT_P005;NUT_A002;Diabetes tipo 2;Control glucémico;Educación alimentaria individualizada para diabetes tipo 2.;Adultos;medio;"NUT_SRC003;NUT_SRC005;NUT_SRC006;NUT_SRC007;NUT_SRC009"
NUT_P006;NUT_A002;Prediabetes / resistencia a la insulina;Prevención metabólica;Mejora de hábitos alimentarios y actividad para reducir riesgo metabólico.;Adultos;medio;"NUT_SRC001;NUT_SRC003;NUT_SRC009"
NUT_P007;NUT_A002;Hipoglucemias por hábitos irregulares;Distribución de ingestas;Regularidad alimentaria y educación sobre composición de comidas.;Adultos;medio;"NUT_SRC003;NUT_SRC009"
NUT_P008;NUT_A003;Colesterol elevado;Dislipemia;Intervención dietética orientada a grasas, fibra, patrón alimentario y hábitos.;Adultos;medio;"NUT_SRC001;NUT_SRC004"
NUT_P009;NUT_A003;Hipertensión;Presión arterial elevada;Reducción de sodio, mejora de patrón alimentario y hábitos cardioprotectores.;Adultos;medio;"NUT_SRC001;NUT_SRC004"
NUT_P010;NUT_A003;Riesgo cardiovascular;Prevención cardiometabólica;Mejora global de patrón alimentario, peso, fibra, grasas y actividad.;Adultos;medio;"NUT_SRC001;NUT_SRC004"
NUT_P011;NUT_A004;Estreñimiento funcional;Tránsito intestinal lento;Trabajo con fibra, líquidos, horarios, movimiento y tolerancia individual.;Adultos;bajo;"NUT_SRC001;NUT_SRC004"
NUT_P012;NUT_A004;Distensión abdominal / gases;Síntomas digestivos inespecíficos;Registro alimentario-sintomático e identificación de patrones de tolerancia.;Adultos;medio;"NUT_SRC001;NUT_SRC004"
NUT_P013;NUT_A004;Reflujo / acidez;Síntomas de reflujo;Hábitos alimentarios y conductuales asociados a síntomas de reflujo.;Adultos;medio;"NUT_SRC001;NUT_SRC004"
NUT_P014;NUT_A005;Nutrición para entrenamiento de fuerza;Rendimiento fuerza;Proteína, energía, distribución de comidas e hidratación para fuerza.;Adultos;bajo;NUT_SRC001
NUT_P015;NUT_A005;Nutrición para resistencia;Rendimiento resistencia;Carbohidratos, hidratación, recuperación y estrategia pre/post ejercicio.;Adultos;bajo;NUT_SRC001
NUT_P016;NUT_A005;Recuperación post-entreno;Recuperación muscular;Ingestas, proteína, carbohidratos, hidratación y sueño asociados a recuperación.;Adultos;bajo;NUT_SRC001
NUT_P017;NUT_A006;Riesgo de malnutrición en mayores;Malnutrición / fragilidad;Prevención o abordaje de baja ingesta, pérdida de peso y baja masa muscular.;Mayores;alto;NUT_SRC008
NUT_P018;NUT_A006;Hidratación insuficiente en mayores;Riesgo de deshidratación;Pautas de hidratación adaptadas a mayores y seguimiento de ingesta.;Mayores;medio;NUT_SRC008
NUT_P019;NUT_A006;Sarcopenia / fragilidad nutricional;Pérdida de masa/fuerza;Apoyo nutricional combinado con actividad y proteína adecuada.;Mayores;alto;NUT_SRC008
NUT_P020;NUT_A007;Planificación de menús;Organización alimentaria;Diseño de menús semanales, compra y preparación para mejorar adherencia.;Adultos;bajo;"NUT_SRC001;NUT_SRC004"
NUT_P021;NUT_A007;Lectura de etiquetas;Educación alimentaria;Interpretación de información nutricional y selección de productos.;Adultos;bajo;"NUT_SRC001;NUT_SRC004"
NUT_P022;NUT_A007;Comer fuera de casa;Adherencia social;Estrategias para mantener objetivos en restaurantes, trabajo o viajes.;Adultos;bajo;NUT_SRC001
NUT_P023;NUT_A008;Hambre emocional no clínica;Alimentación emocional;Identificación de señales de hambre, emoción, impulsos y alternativas.;Adultos;medio;NUT_SRC001
NUT_P024;NUT_A008;Picoteo frecuente;Snacking desorganizado;Estructura de ingestas, entorno alimentario y planificación de snacks.;Adultos;bajo;NUT_SRC001
NUT_P025;NUT_A008;Baja adherencia al plan;Adherencia nutricional;Barreras, objetivos realistas, seguimiento y ajustes progresivos.;Adultos;bajo;"NUT_SRC001;NUT_SRC004"
