problema_id;tecnica_id
OPO_P001;OPO_T001
OPO_P001;OPO_T002
OPO_P001;OPO_T003
OPO_P001;OPO_T004
OPO_P001;OPO_T020
OPO_P001;OPO_T025
OPO_P002;OPO_T001
OPO_P002;OPO_T002
OPO_P002;OPO_T003
OPO_P002;OPO_T004
OPO_P002;OPO_T020
OPO_P002;OPO_T025
OPO_P003;OPO_T001
OPO_P003;OPO_T002
OPO_P003;OPO_T003
OPO_P003;OPO_T004
OPO_P003;OPO_T020
OPO_P003;OPO_T025
OPO_P004;OPO_T001
OPO_P004;OPO_T002
OPO_P004;OPO_T003
OPO_P004;OPO_T004
OPO_P004;OPO_T020
OPO_P004;OPO_T025
OPO_P005;OPO_T001
OPO_P005;OPO_T002
OPO_P005;OPO_T003
OPO_P005;OPO_T004
OPO_P005;OPO_T020
OPO_P005;OPO_T025
OPO_P006;OPO_T005
OPO_P006;OPO_T006
OPO_P006;OPO_T009
OPO_P006;OPO_T010
OPO_P006;OPO_T011
OPO_P006;OPO_T019
OPO_P007;OPO_T005
OPO_P007;OPO_T006
OPO_P007;OPO_T009
OPO_P007;OPO_T010
OPO_P007;OPO_T011
OPO_P007;OPO_T019
OPO_P008;OPO_T005
OPO_P008;OPO_T006
OPO_P008;OPO_T009
OPO_P008;OPO_T010
OPO_P008;OPO_T011
OPO_P008;OPO_T019
OPO_P009;OPO_T005
OPO_P009;OPO_T006
OPO_P009;OPO_T009
OPO_P009;OPO_T010
OPO_P009;OPO_T011
OPO_P009;OPO_T019
OPO_P010;OPO_T006
OPO_P010;OPO_T007
OPO_P010;OPO_T008
OPO_P010;OPO_T012
OPO_P010;OPO_T013
OPO_P010;OPO_T019
OPO_P011;OPO_T006
OPO_P011;OPO_T007
OPO_P011;OPO_T008
OPO_P011;OPO_T012
OPO_P011;OPO_T013
OPO_P011;OPO_T019
OPO_P012;OPO_T006
OPO_P012;OPO_T007
OPO_P012;OPO_T008
OPO_P012;OPO_T012
OPO_P012;OPO_T013
OPO_P012;OPO_T019
OPO_P013;OPO_T006
OPO_P013;OPO_T007
OPO_P013;OPO_T008
OPO_P013;OPO_T012
OPO_P013;OPO_T013
OPO_P013;OPO_T019
OPO_P014;OPO_T014
OPO_P014;OPO_T015
OPO_P014;OPO_T018
OPO_P014;OPO_T024
OPO_P014;OPO_T025
OPO_P015;OPO_T014
OPO_P015;OPO_T015
OPO_P015;OPO_T018
OPO_P015;OPO_T024
OPO_P015;OPO_T025
OPO_P016;OPO_T014
OPO_P016;OPO_T015
OPO_P016;OPO_T018
OPO_P016;OPO_T024
OPO_P016;OPO_T025
OPO_P017;OPO_T014
OPO_P017;OPO_T015
OPO_P017;OPO_T018
OPO_P017;OPO_T024
OPO_P017;OPO_T025
OPO_P018;OPO_T014
OPO_P018;OPO_T015
OPO_P018;OPO_T018
OPO_P018;OPO_T024
OPO_P018;OPO_T025
OPO_P019;OPO_T016
OPO_P019;OPO_T018
OPO_P019;OPO_T024
OPO_P019;OPO_T025
OPO_P020;OPO_T016
OPO_P020;OPO_T018
OPO_P020;OPO_T024
OPO_P020;OPO_T025
OPO_P021;OPO_T016
OPO_P021;OPO_T018
OPO_P021;OPO_T024
OPO_P021;OPO_T025
OPO_P022;OPO_T017
OPO_P022;OPO_T024
OPO_P022;OPO_T025
OPO_P023;OPO_T017
OPO_P023;OPO_T024
OPO_P023;OPO_T025
OPO_P024;OPO_T018
OPO_P024;OPO_T020
OPO_P024;OPO_T021
OPO_P024;OPO_T022
OPO_P024;OPO_T027
OPO_P024;OPO_T025
OPO_P025;OPO_T018
OPO_P025;OPO_T020
OPO_P025;OPO_T021
OPO_P025;OPO_T022
OPO_P025;OPO_T027
OPO_P025;OPO_T025
OPO_P026;OPO_T018
OPO_P026;OPO_T020
OPO_P026;OPO_T021
OPO_P026;OPO_T022
OPO_P026;OPO_T027
OPO_P026;OPO_T025
OPO_P027;OPO_T025
OPO_P027;OPO_T027
OPO_P027;OPO_T029
OPO_P027;OPO_T024
OPO_P028;OPO_T025
OPO_P028;OPO_T027
OPO_P028;OPO_T029
OPO_P028;OPO_T024
OPO_P029;OPO_T025
OPO_P029;OPO_T027
OPO_P029;OPO_T029
OPO_P029;OPO_T024
OPO_P030;OPO_T020
OPO_P030;OPO_T021
OPO_P030;OPO_T022
OPO_P030;OPO_T027
OPO_P030;OPO_T019
OPO_P031;OPO_T020
OPO_P031;OPO_T021
OPO_P031;OPO_T022
OPO_P031;OPO_T027
OPO_P031;OPO_T019
OPO_P032;OPO_T020
OPO_P032;OPO_T021
OPO_P032;OPO_T022
OPO_P032;OPO_T027
OPO_P032;OPO_T019
OPO_P033;OPO_T023
OPO_P033;OPO_T014
OPO_P033;OPO_T028
OPO_P033;OPO_T030
OPO_P034;OPO_T023
OPO_P034;OPO_T014
OPO_P034;OPO_T028
OPO_P034;OPO_T030
OPO_P035;OPO_T023
OPO_P035;OPO_T014
OPO_P035;OPO_T028
OPO_P035;OPO_T030
OPO_P036;OPO_T002
OPO_P036;OPO_T018
OPO_P036;OPO_T014
OPO_P036;OPO_T028
OPO_P036;OPO_T025
OPO_P037;OPO_T002
OPO_P037;OPO_T018
OPO_P037;OPO_T014
OPO_P037;OPO_T028
OPO_P037;OPO_T025
OPO_P038;OPO_T002
OPO_P038;OPO_T018
OPO_P038;OPO_T014
OPO_P038;OPO_T028
OPO_P038;OPO_T025
OPO_P039;OPO_T026
OPO_P039;OPO_T003
OPO_P039;OPO_T025
OPO_P040;OPO_T026
OPO_P040;OPO_T003
OPO_P040;OPO_T025
OPO_P041;OPO_T026
OPO_P041;OPO_T003
OPO_P041;OPO_T025
