problema_id;tecnica_id
FIS_P001;FIS_T001
FIS_P001;FIS_T002
FIS_P001;FIS_T003
FIS_P001;FIS_T004
FIS_P001;FIS_T005
FIS_P001;FIS_T006
FIS_P001;FIS_T009
FIS_P001;FIS_T010
FIS_P001;FIS_T014
FIS_P001;FIS_T015
FIS_P001;FIS_T017
FIS_P001;FIS_T018
FIS_P002;FIS_T001
FIS_P002;FIS_T002
FIS_P002;FIS_T003
FIS_P002;FIS_T004
FIS_P002;FIS_T009
FIS_P002;FIS_T014
FIS_P002;FIS_T018
FIS_P003;FIS_T001
FIS_P003;FIS_T002
FIS_P003;FIS_T003
FIS_P003;FIS_T004
FIS_P003;FIS_T005
FIS_P003;FIS_T014
FIS_P003;FIS_T017
FIS_P003;FIS_T018
FIS_P004;FIS_T001
FIS_P004;FIS_T002
FIS_P004;FIS_T004
FIS_P004;FIS_T011
FIS_P004;FIS_T012
FIS_P004;FIS_T017
FIS_P005;FIS_T001
FIS_P005;FIS_T002
FIS_P005;FIS_T003
FIS_P005;FIS_T005
FIS_P005;FIS_T008
FIS_P005;FIS_T009
FIS_P005;FIS_T011
FIS_P005;FIS_T014
FIS_P005;FIS_T015
FIS_P006;FIS_T001
FIS_P006;FIS_T002
FIS_P006;FIS_T003
FIS_P006;FIS_T005
FIS_P006;FIS_T008
FIS_P006;FIS_T009
FIS_P006;FIS_T011
FIS_P006;FIS_T014
FIS_P006;FIS_T015
FIS_P007;FIS_T001
FIS_P007;FIS_T002
FIS_P007;FIS_T003
FIS_P007;FIS_T005
FIS_P007;FIS_T006
FIS_P007;FIS_T009
FIS_P007;FIS_T014
FIS_P007;FIS_T015
FIS_P008;FIS_T001
FIS_P008;FIS_T002
FIS_P008;FIS_T003
FIS_P008;FIS_T005
FIS_P008;FIS_T007
FIS_P008;FIS_T009
FIS_P008;FIS_T015
FIS_P008;FIS_T018
FIS_P009;FIS_T001
FIS_P009;FIS_T002
FIS_P009;FIS_T003
FIS_P009;FIS_T005
FIS_P009;FIS_T009
FIS_P009;FIS_T012
FIS_P009;FIS_T014
FIS_P010;FIS_T001
FIS_P010;FIS_T002
FIS_P010;FIS_T003
FIS_P010;FIS_T005
FIS_P010;FIS_T009
FIS_P010;FIS_T014
FIS_P010;FIS_T015
FIS_P011;FIS_T001
FIS_P011;FIS_T002
FIS_P011;FIS_T003
FIS_P011;FIS_T005
FIS_P011;FIS_T009
FIS_P011;FIS_T016
FIS_P012;FIS_T001
FIS_P012;FIS_T002
FIS_P012;FIS_T003
FIS_P012;FIS_T004
FIS_P012;FIS_T005
FIS_P012;FIS_T006
FIS_P012;FIS_T009
FIS_P012;FIS_T014
FIS_P013;FIS_T001
FIS_P013;FIS_T002
FIS_P013;FIS_T004
FIS_P013;FIS_T014
FIS_P013;FIS_T018
FIS_P014;FIS_T001
FIS_P014;FIS_T002
FIS_P014;FIS_T003
FIS_P014;FIS_T005
FIS_P014;FIS_T009
FIS_P014;FIS_T014
FIS_P015;FIS_T001
FIS_P015;FIS_T002
FIS_P015;FIS_T014
FIS_P015;FIS_T017
FIS_P015;FIS_T018
FIS_P016;FIS_T001
FIS_P016;FIS_T003
FIS_P016;FIS_T005
FIS_P016;FIS_T007
FIS_P016;FIS_T009
FIS_P016;FIS_T016
FIS_P016;FIS_T015
FIS_P017;FIS_T001
FIS_P017;FIS_T002
FIS_P017;FIS_T003
FIS_P017;FIS_T004
FIS_P017;FIS_T005
FIS_P017;FIS_T009
FIS_P017;FIS_T016
FIS_P017;FIS_T018
FIS_P018;FIS_T001
FIS_P018;FIS_T002
FIS_P018;FIS_T009
FIS_P018;FIS_T014
FIS_P018;FIS_T015
FIS_P019;FIS_T001
FIS_P019;FIS_T002
FIS_P019;FIS_T005
FIS_P019;FIS_T007
FIS_P019;FIS_T008
FIS_P019;FIS_T017
FIS_P019;FIS_T018
FIS_P020;FIS_T001
FIS_P020;FIS_T002
FIS_P020;FIS_T005
FIS_P020;FIS_T008
FIS_P020;FIS_T011
FIS_P020;FIS_T015
FIS_P020;FIS_T018
FIS_P021;FIS_T001
FIS_P021;FIS_T005
FIS_P021;FIS_T007
FIS_P021;FIS_T008
FIS_P021;FIS_T018
FIS_P022;FIS_T001
FIS_P022;FIS_T002
FIS_P022;FIS_T003
FIS_P022;FIS_T009
FIS_P022;FIS_T010
FIS_P022;FIS_T011
FIS_P022;FIS_T014
FIS_P022;FIS_T015
FIS_P023;FIS_T001
FIS_P023;FIS_T002
FIS_P023;FIS_T010
FIS_P023;FIS_T014
FIS_P023;FIS_T015
FIS_P024;FIS_T001
FIS_P024;FIS_T002
FIS_P024;FIS_T003
FIS_P024;FIS_T004
FIS_P024;FIS_T005
FIS_P024;FIS_T008
FIS_P024;FIS_T009
FIS_P024;FIS_T018
FIS_P025;FIS_T001
FIS_P025;FIS_T002
FIS_P025;FIS_T003
FIS_P025;FIS_T004
FIS_P025;FIS_T005
FIS_P025;FIS_T008
FIS_P025;FIS_T009
FIS_P025;FIS_T018
FIS_P026;FIS_T001
FIS_P026;FIS_T002
FIS_P026;FIS_T005
FIS_P026;FIS_T008
FIS_P026;FIS_T011
FIS_P026;FIS_T015
FIS_P027;FIS_T001
FIS_P027;FIS_T002
FIS_P027;FIS_T011
FIS_P027;FIS_T018
