fuente_id;organismo;titulo;url;notas
FIT2_SRC001;WHO;Physical activity;https://www.who.int/news-room/fact-sheets/detail/physical-activity;Recomendaciones generales de actividad física, fuerza y reducción del sedentarismo.
FIT2_SRC002;ACSM;ACSM Guidelines / Exercise Testing and Prescription;https://www.acsm.org/;Referencia profesional para prescripción de ejercicio, salud y condición física.
FIT2_SRC003;CDC;Physical Activity Basics;https://www.cdc.gov/physical-activity-basics/;Actividad física, fuerza, cardio y recomendaciones de salud.
FIT2_SRC004;NSCA;Strength and Conditioning;https://www.nsca.com/;Referencia para fuerza, acondicionamiento, progresión y programación.
FIT2_SRC005;ISSN;Protein and exercise position stand;https://jissn.biomedcentral.com/;Referencia sobre proteína, composición corporal y entrenamiento.
FIT2_SRC006;EASO;European Association for the Study of Obesity;https://easo.org/;Referencia general sobre obesidad, actividad física y control de peso.
FIT2_SRC007;ACSM;Resistance Training for Health and Fitness;https://www.acsm.org/education-resources/trending-topics-resources/resource-library/detail?id=a8b80f1d-5876-42d8-9b0a-682e905d94be;Principios generales de entrenamiento de fuerza.
FIT2_SRC008;NHS;Exercise;https://www.nhs.uk/live-well/exercise/;Recomendaciones divulgativas para actividad física y hábitos.
FIT2_SRC009;NASM;Corrective Exercise / Fitness Education;https://www.nasm.org/;Referencia para técnica, movimiento, progresión y entrenamiento personal.
FIT2_SRC010;ACE;American Council on Exercise;https://www.acefitness.org/;Recursos de entrenamiento, hábitos y educación física.
FIT2_SRC011;Mayo Clinic;Fitness;https://www.mayoclinic.org/healthy-lifestyle/fitness;Referencia general sobre salud, ejercicio y seguridad.
FIT2_SRC012;Body Muscles;Body Muscles map;https://vulovix.github.io/body-muscles/;Mapa anatómico Body Muscles para vincular ejercicios y regiones.
