tecnica_id;nombre;descripcion;nivel_riesgo;tipo_intervencion;fuente_ids
FIT2_T001;Entrevista inicial fitness;Recoger objetivo, historial, nivel, disponibilidad, material, preferencias, limitaciones y señales de derivación.;bajo;evaluación;"FIT2_SRC002;FIT2_SRC011"
FIT2_T002;Objetivos SMART fitness;Convertir metas genéricas en objetivos específicos, medibles y revisables.;bajo;planificación;FIT2_SRC010
FIT2_T003;Programación semanal multicomponente;Combinar fuerza, cardio, movilidad, descanso y actividad diaria.;bajo;programación;"FIT2_SRC001;FIT2_SRC002"
FIT2_T004;Sobrecarga progresiva;Aumentar gradualmente carga, repeticiones, series, rango o dificultad.;bajo;entrenamiento;"FIT2_SRC004;FIT2_SRC007"
FIT2_T005;Doble progresión;Progresar repeticiones dentro de un rango antes de subir carga.;bajo;entrenamiento;FIT2_SRC004
FIT2_T006;Control de volumen semanal;Gestionar series efectivas por grupo muscular y objetivo.;bajo;programación;"FIT2_SRC004;FIT2_SRC007"
FIT2_T007;Frecuencia muscular;Distribuir estímulos de cada grupo muscular durante la semana.;bajo;programación;FIT2_SRC004
FIT2_T008;RIR/RPE;Usar repeticiones en reserva o esfuerzo percibido para ajustar intensidad.;medio;entrenamiento;"FIT2_SRC004;FIT2_SRC007"
FIT2_T009;Cercanía al fallo técnico;Acercarse al fallo manteniendo técnica segura según objetivo y nivel.;medio;entrenamiento;"FIT2_SRC004;FIT2_SRC007"
FIT2_T010;Progresión lineal básica;Subir carga de manera planificada en ejercicios principales.;medio;fuerza;FIT2_SRC004
FIT2_T011;Periodización simple;Alternar semanas de carga, volumen o énfasis para evitar estancamiento.;medio;programación;FIT2_SRC004
FIT2_T012;Descarga planificada;Reducir carga/volumen temporalmente ante fatiga o bajo rendimiento.;bajo;recuperación;"FIT2_SRC004;FIT2_SRC011"
FIT2_T013;Técnica por patrones de movimiento;Enseñar sentadilla, bisagra, empuje, tracción, zancada, transporte y core.;medio;técnica;"FIT2_SRC009;FIT2_SRC004"
FIT2_T014;Regresión/progresión de ejercicio;Elegir versión más fácil o difícil según nivel y control.;bajo;programación;"FIT2_SRC002;FIT2_SRC009"
FIT2_T015;Calentamiento RAMP;Elevar temperatura, activar, movilizar y potenciar antes de entrenar.;bajo;preparación;"FIT2_SRC002;FIT2_SRC009"
