cuestionario_id;problema_id;nombre;area_uso;tipo;notas;fuente_ids
Q001;P001;GAD-7;Ansiedad generalizada;Cribado/severidad;"Requiere validación clínica; revisar condiciones de uso/licencia antes de integrarlo.";"SRC001;SRC007"
Q002;P002;PDSS;Trastorno de pánico;Severidad;Revisar condiciones de uso/licencia.;SRC001
Q003;P004;SPIN;Ansiedad social;Cribado/severidad;Revisar condiciones de uso/licencia.;SRC004
Q004;P007;Y-BOCS;TOC;Severidad;"Uso clínico especializado; revisar condiciones de uso/licencia.";SRC003
Q005;P009;PHQ-9;Depresión;Cribado/severidad;Revisar condiciones de uso/licencia y contexto clínico.;"SRC002;SRC008"
Q006;P010;PHQ-9;Depresión;Cribado/severidad;Revisar condiciones de uso/licencia y contexto clínico.;"SRC002;SRC008"
Q007;P018;ISI;Insomnio;Severidad;Revisar condiciones de uso/licencia.;SRC008
Q008;P029;ASRS v1.1;TDAH adulto;Cribado;No sustituye evaluación especializada.;SRC006
Q009;P014;PCL-5;TEPT;Cribado/severidad;"Uso asociado a evaluación clínica de trauma; revisar licencia.";SRC005
Q010;P025;Rosenberg Self-Esteem Scale;Autoestima;Medición;Revisar condiciones de uso/licencia.;SRC010
