bodymuscles_id;exercise_id;exercise_name_es;exercise_name_en;equipment_id;category;difficulty;mechanics;role;intensity
abs-lower-left;FIT_EX001;Flexión;Push-up;EQ_BODY;Empuje;Principiante;Compuesto;stabilizer;35
abs-lower-left;FIT_EX033;Plancha;Plank;EQ_BODY;Core;Principiante;Isométrico;primary;100
abs-lower-left;FIT_EX034;Crunch abdominal;Crunch;EQ_BODY;Core;Principiante;Aislamiento;secondary;65
abs-lower-left;FIT_EX035;Elevación de rodillas colgado;Hanging Knee Raise;EQ_BODY;Core;Intermedio;Compuesto;primary;100
abs-lower-left;FIT_EX036;Giro ruso;Russian Twist;EQ_BODY;Core;Principiante;Aislamiento;secondary;65
abs-lower-left;FIT_EX038;Bird dog;Bird Dog;EQ_BODY;Core;Principiante;Estabilidad;primary;100
abs-lower-left;FIT_EX055;Plancha lateral;Side Plank;EQ_BODY;Core;Principiante;Isométrico;secondary;65
abs-lower-right;FIT_EX001;Flexión;Push-up;EQ_BODY;Empuje;Principiante;Compuesto;stabilizer;35
abs-lower-right;FIT_EX033;Plancha;Plank;EQ_BODY;Core;Principiante;Isométrico;primary;100
abs-lower-right;FIT_EX034;Crunch abdominal;Crunch;EQ_BODY;Core;Principiante;Aislamiento;secondary;65
abs-lower-right;FIT_EX035;Elevación de rodillas colgado;Hanging Knee Raise;EQ_BODY;Core;Intermedio;Compuesto;primary;100
abs-lower-right;FIT_EX036;Giro ruso;Russian Twist;EQ_BODY;Core;Principiante;Aislamiento;secondary;65
abs-lower-right;FIT_EX038;Bird dog;Bird Dog;EQ_BODY;Core;Principiante;Estabilidad;primary;100
abs-lower-right;FIT_EX055;Plancha lateral;Side Plank;EQ_BODY;Core;Principiante;Isométrico;secondary;65
abs-upper-left;FIT_EX001;Flexión;Push-up;EQ_BODY;Empuje;Principiante;Compuesto;stabilizer;35
abs-upper-left;FIT_EX023;Sentadilla frontal;Front Squat;EQ_BARBELL;Piernas;Avanzado;Compuesto;secondary;65
abs-upper-left;FIT_EX033;Plancha;Plank;EQ_BODY;Core;Principiante;Isométrico;primary;100
abs-upper-left;FIT_EX034;Crunch abdominal;Crunch;EQ_BODY;Core;Principiante;Aislamiento;primary;100
abs-upper-left;FIT_EX036;Giro ruso;Russian Twist;EQ_BODY;Core;Principiante;Aislamiento;secondary;65
abs-upper-left;FIT_EX037;Pallof press;Pallof Press;EQ_CABLE;Core;Principiante;Anti-rotación;primary;100
abs-upper-left;FIT_EX041;Sentadilla goblet;Goblet Squat;EQ_DUMBBELL;Piernas;Principiante;Compuesto;secondary;65
abs-upper-left;FIT_EX045;Remo en TRX;TRX Row;EQ_TRX;Tirón;Principiante;Compuesto;secondary;65
abs-upper-left;FIT_EX050;Woodchop en polea;Cable Woodchop;EQ_CABLE;Core;Intermedio;Compuesto;secondary;65
abs-upper-right;FIT_EX001;Flexión;Push-up;EQ_BODY;Empuje;Principiante;Compuesto;stabilizer;35
abs-upper-right;FIT_EX023;Sentadilla frontal;Front Squat;EQ_BARBELL;Piernas;Avanzado;Compuesto;secondary;65
abs-upper-right;FIT_EX033;Plancha;Plank;EQ_BODY;Core;Principiante;Isométrico;primary;100
abs-upper-right;FIT_EX034;Crunch abdominal;Crunch;EQ_BODY;Core;Principiante;Aislamiento;primary;100
abs-upper-right;FIT_EX036;Giro ruso;Russian Twist;EQ_BODY;Core;Principiante;Aislamiento;secondary;65
abs-upper-right;FIT_EX037;Pallof press;Pallof Press;EQ_CABLE;Core;Principiante;Anti-rotación;primary;100
abs-upper-right;FIT_EX041;Sentadilla goblet;Goblet Squat;EQ_DUMBBELL;Piernas;Principiante;Compuesto;secondary;65
abs-upper-right;FIT_EX045;Remo en TRX;TRX Row;EQ_TRX;Tirón;Principiante;Compuesto;secondary;65
abs-upper-right;FIT_EX050;Woodchop en polea;Cable Woodchop;EQ_CABLE;Core;Intermedio;Compuesto;secondary;65
adductors-left;FIT_EX022;Sentadilla trasera;Back Squat;EQ_BARBELL;Piernas;Intermedio;Compuesto;secondary;65
adductors-left;FIT_EX024;Prensa de piernas;Leg Press;EQ_MACHINE;Piernas;Principiante;Compuesto;secondary;65
adductors-left;FIT_EX028;Sentadilla búlgara;Bulgarian Split Squat;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;secondary;65
adductors-left;FIT_EX029;Zancadas caminando;Walking Lunge;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;secondary;65
adductors-left;FIT_EX041;Sentadilla goblet;Goblet Squat;EQ_DUMBBELL;Piernas;Principiante;Compuesto;secondary;65
adductors-left;FIT_EX053;Sentadilla libre;Bodyweight Squat;EQ_BODY;Piernas;Principiante;Compuesto;secondary;65
adductors-right;FIT_EX022;Sentadilla trasera;Back Squat;EQ_BARBELL;Piernas;Intermedio;Compuesto;secondary;65
adductors-right;FIT_EX024;Prensa de piernas;Leg Press;EQ_MACHINE;Piernas;Principiante;Compuesto;secondary;65
adductors-right;FIT_EX028;Sentadilla búlgara;Bulgarian Split Squat;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;secondary;65
adductors-right;FIT_EX029;Zancadas caminando;Walking Lunge;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;secondary;65
adductors-right;FIT_EX041;Sentadilla goblet;Goblet Squat;EQ_DUMBBELL;Piernas;Principiante;Compuesto;secondary;65
adductors-right;FIT_EX053;Sentadilla libre;Bodyweight Squat;EQ_BODY;Piernas;Principiante;Compuesto;secondary;65
biceps-left;FIT_EX006;Dominada;Pull-up;EQ_BODY;Tirón;Intermedio;Compuesto;secondary;65
biceps-left;FIT_EX007;Jalón al pecho;Lat Pulldown;EQ_CABLE;Tirón;Principiante;Compuesto;secondary;65
biceps-left;FIT_EX008;Remo con barra;Barbell Row;EQ_BARBELL;Tirón;Intermedio;Compuesto;secondary;65
biceps-left;FIT_EX009;Remo sentado en polea;Seated Cable Row;EQ_CABLE;Tirón;Principiante;Compuesto;secondary;65
biceps-left;FIT_EX010;Remo unilateral con mancuerna;One-arm Dumbbell Row;EQ_DUMBBELL;Tirón;Principiante;Compuesto;secondary;65
biceps-left;FIT_EX016;Curl bíceps con barra;Barbell Curl;EQ_BARBELL;Brazos;Principiante;Aislamiento;primary;100
biceps-left;FIT_EX017;Curl martillo;Dumbbell Hammer Curl;EQ_DUMBBELL;Brazos;Principiante;Aislamiento;primary;100
biceps-left;FIT_EX043;Remo con banda;Resistance Band Row;EQ_BAND;Tirón;Principiante;Compuesto;secondary;65
biceps-left;FIT_EX045;Remo en TRX;TRX Row;EQ_TRX;Tirón;Principiante;Compuesto;secondary;65
biceps-left;FIT_EX049;Dominada asistida;Assisted Pull-up;EQ_MACHINE;Tirón;Principiante;Compuesto;secondary;65
biceps-left;FIT_EX052;Dominada supina;Chin-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
biceps-right;FIT_EX006;Dominada;Pull-up;EQ_BODY;Tirón;Intermedio;Compuesto;secondary;65
biceps-right;FIT_EX007;Jalón al pecho;Lat Pulldown;EQ_CABLE;Tirón;Principiante;Compuesto;secondary;65
biceps-right;FIT_EX008;Remo con barra;Barbell Row;EQ_BARBELL;Tirón;Intermedio;Compuesto;secondary;65
biceps-right;FIT_EX009;Remo sentado en polea;Seated Cable Row;EQ_CABLE;Tirón;Principiante;Compuesto;secondary;65
biceps-right;FIT_EX010;Remo unilateral con mancuerna;One-arm Dumbbell Row;EQ_DUMBBELL;Tirón;Principiante;Compuesto;secondary;65
biceps-right;FIT_EX016;Curl bíceps con barra;Barbell Curl;EQ_BARBELL;Brazos;Principiante;Aislamiento;primary;100
biceps-right;FIT_EX017;Curl martillo;Dumbbell Hammer Curl;EQ_DUMBBELL;Brazos;Principiante;Aislamiento;primary;100
biceps-right;FIT_EX043;Remo con banda;Resistance Band Row;EQ_BAND;Tirón;Principiante;Compuesto;secondary;65
biceps-right;FIT_EX045;Remo en TRX;TRX Row;EQ_TRX;Tirón;Principiante;Compuesto;secondary;65
biceps-right;FIT_EX049;Dominada asistida;Assisted Pull-up;EQ_MACHINE;Tirón;Principiante;Compuesto;secondary;65
biceps-right;FIT_EX052;Dominada supina;Chin-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
calves-gastroc-lateral-left;FIT_EX031;Elevación de gemelos de pie;Standing Calf Raise;EQ_MACHINE;Piernas;Principiante;Aislamiento;primary;100
calves-gastroc-lateral-right;FIT_EX031;Elevación de gemelos de pie;Standing Calf Raise;EQ_MACHINE;Piernas;Principiante;Aislamiento;primary;100
calves-gastroc-medial-left;FIT_EX031;Elevación de gemelos de pie;Standing Calf Raise;EQ_MACHINE;Piernas;Principiante;Aislamiento;primary;100
calves-gastroc-medial-left;FIT_EX040;Subida al cajón;Step-up;EQ_DUMBBELL;Piernas;Principiante;Compuesto;secondary;65
